Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop
USA,245066,189,6075,5,10403,228588,5421,740,18
Italy,115242,,13915,,18278,83049,4053,1906,230
Spain,112065,,10348,,26743,74974,6092,2397,221
Germany,84794,,1107,,22440,61247,3936,1012,13
France,59105,,5387,,12428,41290,6399,905,83
Iran,50468,,3160,,16711,30597,3956,601,38
UK,33718,,2921,,135,30662,163,497,43
Switzerland,18827,,536,,4013,14278,348,2175,62
Turkey,18135,,356,,415,17364,1101,215,4
Belgium,15348,,1011,,2495,11842,1144,1324,87
Netherlands,14697,,1339,,250,13108,1053,858,78
Canada,11283,,173,,1979,9131,120,299,5
Austria,11129,,158,,1749,9222,227,1236,18
S. Korea,10062,86,174,5,6021,3867,55,196,3
Portugal,9034,,209,,68,8757,230,886,20
Brazil,8044,,324,,127,7593,296,38,2
Israel,6857,,36,,338,6483,107,792,4
Sweden,5568,,308,,103,5157,429,551,30
Australia,5314,,25,,585,4704,50,208,1.0
Norway,5147,,50,,32,5065,96,949,9
Czechia,3858,,44,,67,3747,72,360,4
Ireland,3849,,98,,5,3746,109,779,20
Russia,3548,,30,,235,3283,8,24,0.2
Chile,3404,,18,,335,3051,31,178,0.9
Denmark,3386,,123,,1089,2174,153,585,21
Ecuador,3163,,120,,65,2978,100,179,7
Malaysia,3116,,50,,767,2299,105,96,2
Poland,2946,,57,,56,2833,50,78,2
Romania,2738,,115,,267,2356,78,142,6
Philippines,2633,,107,,51,2475,1,24,1.0
India,2543,,72,,191,2280,,2,0.05
Japan,2495,,62,,472,1961,60,20,0.5
Luxembourg,2487,,30,,80,2377,31,3973,48
Pakistan,2421,,34,,125,2262,9,11,0.2
Saudi Arabia,1885,,21,,328,1536,31,54,0.6
Thailand,1875,,15,,505,1355,23,27,0.2
Indonesia,1790,,170,,112,1508,,7,0.6
Greece,1544,,53,,61,1430,91,148,5
Finland,1518,,19,,300,1199,65,274,3
Mexico,1510,132,50,13,35,1425,1,12,0.4
Panama,1475,,37,,9,1429,50,342,9
South Africa,1462,,5,,50,1407,7,25,0.08
Peru,1414,,55,,537,822,51,43,2
Dominican Republic,1380,,60,,16,1304,147,127,6
Iceland,1319,,4,,284,1031,12,3865,12
Argentina,1265,,36,,256,973,,28,0.8
Serbia,1171,,31,,42,1098,81,134,4
Colombia,1161,,19,,55,1087,50,23,0.4
Singapore,1049,,4,,266,779,24,179,0.7
UAE,1024,,8,,96,920,2,104,0.8
Croatia,1011,,7,,88,916,34,246,2
Algeria,986,,86,,61,839,,22,2
Qatar,949,,3,,72,874,37,329,1
Ukraine,897,,22,,19,856,,21,0.5
Slovenia,897,,17,,70,810,31,431,8
New Zealand,868,71,1,,103,764,2,180,0.2
Egypt,865,,58,,201,606,,8,0.6
Estonia,858,,11,,45,802,16,647,8
Hong Kong,802,,4,,154,644,8,107,0.5
Iraq,772,,54,,202,516,,19,1
Diamond Princess,712,,11,,619,82,10,,
Morocco,708,,44,,31,633,1,19,1
Armenia,663,,7,,33,623,30,224,2
Lithuania,649,,9,,7,633,11,238,3
Bahrain,643,,4,,381,258,3,378,2
Hungary,585,,21,,42,522,17,61,2
Bosnia and Herzegovina,533,,16,,20,497,4,162,5
Moldova,505,,6,,23,476,65,125,1
Lebanon,494,,16,,46,432,3,72,2
Latvia,458,,,,31,427,3,243,
Bulgaria,457,,10,,25,422,18,66,1
Tunisia,455,,14,,5,436,10,38,1
Kazakhstan,435,,3,,27,405,6,23,0.2
Andorra,428,,15,,10,403,12,5539,194
Slovakia,426,,1,,5,420,3,78,0.2
Azerbaijan,400,,5,,26,369,7,39,0.5
Costa Rica,396,,2,,6,388,11,78,0.4
North Macedonia,384,,11,,17,356,4,184,5
Uruguay,369,19,4,,68,297,13,106,1
Cyprus,356,,10,,28,318,11,295,8
Kuwait,342,,,,81,261,15,80,
Taiwan,339,,5,,50,284,,14,0.2
Runion,308,,,,40,268,3,344,
Cameroon,306,,7,,10,289,,12,0.3
Belarus,304,,4,,53,247,11,32,0.4
Jordan,299,,5,,45,249,5,29,0.5
Burkina Faso,288,,16,,50,222,,14,0.8
Albania,277,,16,,76,185,7,96,6
Afghanistan,273,,6,,10,257,,7,0.2
San Marino,245,,30,,21,194,15,7221,884
Cuba,233,,6,,13,214,7,21,0.5
Vietnam,233,,,,75,158,3,2,
Oman,231,,1,,57,173,3,45,0.2
Honduras,219,,14,,3,202,4,22,1
Uzbekistan,205,,2,,25,178,8,6,0.06
Ghana,204,,5,,31,168,2,7,0.2
Malta,196,,,,2,194,2,444,
Senegal,195,,1,,55,139,,12,0.06
Ivory Coast,194,,1,,15,178,,7,0.04
Channel Islands,193,,3,,,190,,1110,17
Nigeria,184,,2,,20,162,,0.9,0.01
Faeroe Islands,177,,,,81,96,1,3622,
Mauritius,169,,7,,,162,1,133,6
Palestine,161,,1,,18,142,,32,0.2
Sri Lanka,151,,4,,21,126,5,7,0.2
Venezuela,146,,5,,43,98,6,5,0.2
Montenegro,144,,2,,,142,4,229,3
Martinique,138,,3,,27,108,19,368,8
DRC,134,,13,,3,118,,1,0.1
Georgia,134,,,,26,108,6,34,
Brunei,133,,1,,56,76,3,304,2
Bolivia,132,9,9,1,1,122,3,11,0.8
Guadeloupe,128,,6,,24,98,14,320,15
Mayotte,116,,1,,10,105,3,425,4
Kyrgyzstan,116,,,,5,111,5,18,
Kenya,110,,3,,4,103,2,2,0.06
Cambodia,110,,,,34,76,1,7,
Niger,98,,5,,,93,,4,0.2
Isle of Man,95,,1,,,94,,1117,12
Trinidad and Tobago,94,,5,,1,88,,67,4
Paraguay,92,15,3,,3,86,4,13,0.4
Gibraltar,88,,,,46,42,,2612,
Rwanda,84,,,,,84,,6,
Liechtenstein,75,,,,,75,,1967,
Monaco,60,,1,,2,57,2,1529,25
Aruba,60,,,,1,59,,562,
Madagascar,59,,,,,59,6,2,
Bangladesh,56,,6,,25,25,1,0.3,0.04
Guinea,52,,,,,52,,4,
French Guiana,51,,,,15,36,,171,
Jamaica,47,,3,,2,42,,16,1
Guatemala,47,,1,,12,34,1,3,0.06
Barbados,46,,,,,46,,160,
Uganda,45,,,,,45,,1.0,
El Salvador,41,,2,,,39,4,6,0.3
Macao,41,,,,10,31,,63,
Djibouti,40,,,,,40,,40,
Togo,39,,2,,17,20,,5,0.2
Zambia,39,,1,,,38,,2,0.05
French Polynesia,37,,,,,37,1,132,
Mali,36,,3,,,33,,2,0.1
Bermuda,35,,,,11,24,,562,
Ethiopia,29,,,,3,26,2,0.3,
Cayman Islands,28,,1,,,27,,426,15
Bahamas,24,,1,,1,22,,61,3
Congo,22,,2,,2,18,,4,0.4
Saint Martin,22,,1,,2,19,,569,26
Eritrea,22,,,,,22,,6,
Gabon,21,,1,,,20,,9,0.4
Myanmar,20,,1,,,19,,0.4,0.02
Tanzania,20,,1,,2,17,,0.3,0.02
Guyana,19,,4,,,15,,24,5
Maldives,19,,,,13,6,,35,
Sint Maarten,18,,1,,6,11,,420,23
Haiti,18,2,,,1,17,,2,
New Caledonia,18,,,,1,17,,63,
Syria,16,,2,,,14,,0.9,0.1
Equatorial Guinea,15,,,,1,14,,11,
Mongolia,14,,,,2,12,,4,
Namibia,14,,,,3,11,,6,
Benin,13,,,,1,12,,1,
Saint Lucia,13,,,,1,12,,71,
Dominica,12,,,,,12,,167,
Curaao,11,,1,,3,7,,67,6
Libya,11,,1,,,10,,2,0.1
Greenland,10,,,,2,8,,176,
Grenada,10,,,,,10,,89,
Laos,10,,,,,10,,1,
Mozambique,10,,,,,10,,0.3,
Seychelles,10,,,,,10,,102,
Suriname,10,,,,,10,,17,
MS Zaandam,9,,2,,,7,,,
Zimbabwe,9,,1,,,8,,0.6,0.07
Antigua and Barbuda,9,,,,,9,,92,
Guinea-Bissau,9,,,,,9,,5,
Saint Kitts and Nevis,9,,,,,9,,169,
Eswatini,9,,,,,9,,8,
Angola,8,,2,,1,5,,0.2,0.06
Sudan,8,,2,,2,4,,0.2,0.05
Chad,8,,,,,8,,0.5,
Fiji,7,,,,,7,,8,
Vatican City,7,,,,,7,,8739,
Cabo Verde,6,,1,,,5,,11,2
Mauritania,6,,1,,2,3,,1,0.2
Nepal,6,,,,1,5,,0.2,
Liberia,6,,,,,6,,1,
St. Barth,6,,,,1,5,,607,
Nicaragua,5,,1,,,4,,0.8,0.2
Bhutan,5,,,,1,4,,6,
Montserrat,5,,,,,5,,1002,
Somalia,5,,,,1,4,,0.3,
Turks and Caicos,5,,,,,5,,129,
Botswana,4,,1,,,3,,2,0.4
Gambia,4,,1,,2,1,,2,0.4
Anguilla,3,,,,,3,,200,
Belize,3,,,,,3,,8,
British Virgin Islands,3,,,,,3,,99,
Burundi,3,,,,,3,,0.3,
CAR,3,,,,,3,,0.6,
Malawi,3,,,,,3,,0.2,
Caribbean Netherlands,2,,,,,2,,76,
St. Vincent Grenadines,2,,,,1,1,,18,
Sierra Leone,2,,,,,2,,0.3,
Papua New Guinea,1,,,,,1,,0.1,
Timor-Leste,1,,,,,1,,0.8,
China,81589,,3318,,76408,1863,429,57,2
