Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Continent
North America,1153780,2854,67177,230,182844,903759,20120,,,,,North America
Europe,1362852,15472,133737,790,496342,732773,19091,,,,,Europe
Asia,515288,7960,18429,152,259529,237330,5787,,,,,Asia
South America,166469,655,8150,6,57299,101020,9748,,,,,South America
Oceania,8331,9,110,2,7035,1186,37,,,,,Australia/Oceania
Africa,38350,658,1602,10,12752,23996,122,,,,,Africa
,721,,15,,645,61,4,,,,,
World,3245791,27608,229220,1190,1016446,2000125,54909,416,29.4,,,All
USA,1065739,1545,61715,59,147473,856551,18851,3220,186,6147444,18572,North America
Spain,239639,2740,24543,268,137984,77112,2676,5125,525,1455306,31126,Europe
Italy,203591,,27682,,71252,104657,1795,3367,458,1910761,31603,Europe
France,166420,,24087,,48228,94105,4207,2550,369,463662,7103,Europe
UK,165221,,26097,,N/A,138780,1559,2434,384,818539,12058,Europe
Germany,161845,306,6470,3,123500,31875,2415,1932,77,2547052,30400,Europe
Turkey,117589,,3081,,44040,70468,1574,1394,37,991613,11757,Asia
Russia,106498,7099,1073,101,11619,93806,2300,730,7,3490000,23915,Europe
Iran,94640,983,6028,71,75103,13509,2976,1127,72,463295,5516,Asia
Brazil,79685,324,5513,2,34132,40040,8318,375,26,339552,1597,South America
Canada,51597,,2996,,20327,28274,557,1367,79,779613,20656,North America
Belgium,48519,660,7594,93,11576,29349,769,4186,655,237963,20532,Europe
Netherlands,39316,514,4795,84,N/A,34271,804,2295,280,219744,12824,Europe
Peru,33931,,943,,10037,22951,623,1029,29,296262,8985,South America
India,33610,548,1079,,8437,24094,,24,0.8,830201,602,Asia
Switzerland,29586,179,1737,21,23100,4749,167,3419,201,266200,30758,Europe
Portugal,25045,540,989,16,1519,22537,172,2456,97,395771,38814,Europe
Ecuador,24675,,883,,1557,22235,146,1399,50,61529,3487,South America
Saudi Arabia,22753,1351,162,5,3163,19428,125,654,5,200000,5745,Asia
Sweden,21092,790,2586,124,1005,17501,531,2088,256,119500,11833,Europe
Ireland,20253,,1190,,13386,5677,129,4102,241,153954,31179,Europe
Mexico,17799,1047,1732,163,11423,4644,378,138,13,81912,635,North America
Singapore,16169,528,14,,1188,14967,22,2764,2,143919,24600,Asia
Pakistan,16117,592,358,15,4105,11654,111,73,2,174160,788,Asia
Israel,15870,36,219,4,8412,7239,117,1834,25,364467,42108,Asia
Austria,15452,50,584,4,12907,1961,128,1716,65,256399,28469,Europe
Chile,15135,250,216,,8057,6862,377,792,11,172619,9030,South America
Belarus,14027,846,89,5,2386,11552,92,1484,9,176625,18692,Europe
Japan,13965,70,425,12,2368,11172,306,110,3,164255,1299,Asia
Qatar,13409,845,10,,1372,12027,72,4654,3,94500,32801,Asia
Poland,12781,141,628,4,3236,8917,160,338,17,338027,8931,Europe
UAE,12481,552,105,7,2429,9947,1,1262,11,1122000,113443,Asia
Romania,12240,262,695,2,4017,7528,221,636,36,175374,9116,Europe
S. Korea,10765,4,247,1,9059,1459,55,210,5,619881,12091,Asia
Ukraine,10406,540,261,11,1238,8907,138,238,6,111859,2558,Europe
Indonesia,10118,347,792,8,1522,7804,,37,3,94599,346,Asia
Denmark,9158,150,452,9,6546,2160,62,1581,78,193165,33349,Europe
Serbia,9009,285,179,6,1343,7487,71,1031,20,85645,9802,Europe
Philippines,8488,276,568,10,1043,6877,31,77,5,104146,950,Asia
Norway,7710,,207,,32,7471,40,1422,38,169124,31197,Europe
Bangladesh,7667,564,168,5,160,7339,1,47,1,64666,393,Asia
Czechia,7581,2,227,,3120,4234,68,708,21,242088,22606,Europe
Australia,6753,7,91,2,5715,947,34,265,4,563641,22104,Australia/Oceania
Dominican Republic,6652,,293,,1228,5131,144,613,27,25368,2339,North America
Panama,6378,178,178,2,527,5673,92,1478,41,29837,6915,North America
Colombia,6211,4,278,,1411,4522,118,122,5,95085,1869,South America
Malaysia,6002,57,102,2,4171,1729,40,185,3,160296,4953,Asia
South Africa,5350,,103,,2073,3174,36,90,2,197127,3324,Africa
Egypt,5268,,380,,1335,3553,,51,4,90000,879,Africa
Finland,4995,89,211,5,3000,1784,48,902,38,93900,16947,Europe
Morocco,4359,38,168,,969,3222,1,118,5,33922,919,Africa
Argentina,4285,,214,,1192,2879,144,95,5,56058,1240,South America
Kuwait,4024,284,26,2,1539,2459,66,942,6,179000,41915,Asia
Algeria,3848,,444,,1702,1702,22,88,10,6500,148,Africa
Moldova,3771,,116,5,1182,2473,237,935,29,11763,2916,Europe
Luxembourg,3769,,89,,3134,546,21,6021,142,41758,66708,Europe
Kazakhstan,3356,218,25,,858,2473,41,179,1,249527,13289,Asia
Bahrain,3037,116,8,,1495,1534,1,1785,5,128481,75507,Asia
Thailand,2954,7,54,,2684,216,61,42,0.8,178083,2551,Asia
Hungary,2775,48,312,12,581,1882,54,287,32,72951,7552,Europe
Greece,2576,,139,,577,1860,41,247,13,72130,6920,Europe
Oman,2348,74,11,1,495,1842,3,460,2,,,Asia
Afghanistan,2171,232,64,4,260,1847,7,56,2,10022,257,Asia
Croatia,2076,14,69,2,1348,659,20,506,17,36221,8823,Europe
Ghana,2074,403,17,1,212,1845,4,67,0.5,113497,3653,Africa
Armenia,2066,134,32,2,929,1105,10,697,11,21125,7129,Asia
Uzbekistan,2017,15,9,,1126,882,8,60,0.3,242536,7247,Asia
Iraq,2003,,92,,1346,565,,50,2,86708,2156,Asia
Cameroon,1832,,61,,934,837,12,69,2,,,Africa
Azerbaijan,1804,38,24,1,1325,455,17,178,2,143079,14112,Asia
Iceland,1797,,10,,1656,131,,5266,29,47573,139411,Europe
Bosnia and Herzegovina,1757,80,69,4,727,961,4,536,21,30793,9386,Europe
Nigeria,1728,,51,,307,1370,2,8,0.2,13689,66,Africa
Estonia,1689,23,52,2,249,1388,9,1273,39,52741,39758,Europe
Bulgaria,1488,41,65,1,266,1157,38,214,9,45208,6506,Europe
New Zealand,1476,2,19,,1241,216,1,306,4,134570,27906,Australia/Oceania
Cuba,1467,,58,,617,792,14,130,5,45344,4003,North America
North Macedonia,1465,23,77,4,738,650,13,703,37,16050,7704,Europe
Slovenia,1429,11,91,2,233,1105,22,687,44,52948,25469,Europe
Slovakia,1396,5,23,1,524,849,8,256,4,85922,15738,Europe
Lithuania,1385,10,45,,589,751,17,509,17,125555,46121,Europe
Guinea,1351,,7,,313,1031,,103,0.5,,,Africa
Ivory Coast,1238,,14,,557,667,,47,0.5,,,Africa
Bolivia,1110,57,59,4,117,934,3,95,5,5791,496,South America
Djibouti,1077,,2,,599,476,,1090,2,12985,13143,Africa
Hong Kong,1038,,4,,846,188,4,138,0.5,154989,20674,Asia
Tunisia,980,,40,,294,646,20,83,3,22062,1867,Africa
Senegal,933,51,9,,334,590,1,56,0.5,466,28,Africa
Latvia,858,9,15,,348,495,3,455,8,57886,30689,Europe
Cyprus,843,,15,,148,680,15,698,12,53219,44079,Asia
Albania,773,7,31,1,470,272,4,269,11,8253,2868,Europe
Honduras,771,33,71,5,79,621,10,78,7,3643,368,North America
Kyrgyzstan,746,17,8,,462,276,12,114,1,51472,7889,Asia
Andorra,743,,42,,423,278,17,9616,544,1673,21653,Europe
Lebanon,725,4,24,,150,551,44,106,4,34499,5054,Asia
Niger,713,,32,,435,246,,29,1,5148,213,Africa
Costa Rica,713,,6,,323,384,8,140,1,13117,2575,North America
Diamond Princess,712,,13,,645,54,4,,,,,
Sri Lanka,653,4,7,,139,507,1,30,0.3,21157,988,Asia
Burkina Faso,641,,43,,498,100,,31,2,,,Africa
Uruguay,630,5,15,,412,203,11,181,4,19016,5474,South America
Guatemala,585,28,16,,65,504,5,33,0.9,7200,402,North America
