Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop"
World,1224940,23487,66502,1814,253823,904615,44567,157,8.5,,
USA,311656,299,8454,2,14828,288374,8206,942,26,1656897,5006
Spain,130759,4591,12418,471,38080,80261,6861,2797,266,355000,7593
Italy,124632,,15362,,20996,88274,3994,2061,254,657224,10870
Germany,97074,982,1478,34,26400,69196,3936,1159,18,918460,10962
France,89953,,7560,,15438,66955,6838,1378,116,224254,3436
Iran,58226,2483,3603,151,19736,34887,4103,693,43,186000,2214
UK,47806,5903,4932,619,135,42739,1559,704,73,195524,2880
Turkey,23934,,501,,786,22647,1311,284,6,161380,1913
Switzerland,21100,595,685,19,6415,14000,391,2438,79,158000,18256
Belgium,19691,1260,1447,164,3751,14493,1261,1699,125,70000,6040
Netherlands,17851,1224,1766,115,250,15835,1360,1042,103,75415,4401
Canada,14018,106,233,2,2603,11182,426,371,6,317972,8425
Austria,11907,126,204,18,2998,8705,244,1322,23,108416,12038
Portugal,11278,754,295,29,75,10908,267,1106,29,86370,8470
Brazil,10360,,445,,127,9788,296,49,2,54824,258
S. Korea,10237,81,183,6,6463,3591,55,200,4,461233,8996
Israel,8018,167,46,2,477,7495,127,926,5,90394,10443
Sweden,6830,387,401,28,205,6224,406,676,40,36900,3654
Australia,5687,137,34,4,2315,3338,85,223,1,297154,11653
Norway,5645,95,66,4,32,5547,98,1041,12,105865,19528
Russia,5389,658,45,2,355,4989,8,37,0.3,697000,4776
Ireland,4604,,137,,25,4442,148,932,28,30213,6119
Czechia,4475,3,62,3,78,4335,86,418,6,80304,7499
Denmark,4369,292,179,18,1327,2863,142,754,31,45270,7816
Chile,4161,,27,,528,3606,38,218,1,48613,2543
Romania,3864,251,148,2,374,3342,141,201,8,38623,2008
Poland,3834,207,84,5,134,3616,50,101,2,80757,2134
Malaysia,3662,179,61,4,1005,2596,99,113,2,51937,1605
India,3588,,99,,229,3260,,3,0.07,128320,93
Ecuador,3465,,172,,100,3193,100,196,10,11309,641
Philippines,3246,152,152,8,64,3030,1,30,1,19585,179
Japan,3139,,77,,514,2548,64,25,0.6,42882,339
Pakistan,2899,81,45,4,208,2646,18,13,0.2,34885,158
