Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Continent
North America,689860,1216,30476,99,60737,598647,14599,,,,,North America
Europe,988587,17830,90447,2128,269545,628595,28622,,,,,Europe
Asia,338442,5245,12259,191,163678,162505,6411,,,,,Asia
South America,63764,462,2804,7,22427,38533,1222,,,,,South America
Oceania,7961,37,72,,4518,3371,71,,,,,Australia/Oceania
Africa,18115,288,916,3,3890,13309,178,,,,,Africa
,721,,14,,644,63,7,,,,,
World,2107450,25078,136988,2428,525439,1445023,51110,270,17.6,,,All
USA,644823,734,28580,51,48710,567533,13487,1948,86,3265595,9866,North America
Spain,182816,2157,19130,318,74797,88889,7371,3910,409,930230,19896,Europe
Italy,165155,,21645,,38092,105418,3079,2732,358,1117404,18481,Europe
France,147863,,17167,,30955,99741,6457,2265,263,333807,5114,Europe
Germany,135383,630,3850,46,77000,54533,4288,1616,46,1728357,20629,Europe
UK,103093,4617,13729,861,N/A,89020,1559,1519,202,417649,6152,Europe
Iran,77995,1606,4869,92,52229,20897,3594,929,58,310340,3695,Asia
Turkey,69392,,1518,,5674,62200,1820,823,18,477716,5664,Asia
Belgium,34809,1236,4857,417,7562,22390,1182,3003,419,134303,11588,Europe
Netherlands,29214,1061,3315,181,250,25649,1279,1705,193,147948,8634,Europe
Brazil,29015,405,1760,3,14026,13229,296,137,8,62985,296,South America
Canada,28379,,1010,,8979,18390,557,752,27,467736,12393,North America
Russia,27938,3448,232,34,2304,25402,8,191,2,1613413,11056,Europe
Switzerland,26732,396,1269,30,15400,10063,386,3089,147,199000,22993,Europe
Portugal,18841,750,629,30,493,17719,229,1848,62,208314,20430,Europe
Austria,14412,62,393,,8098,5921,232,1600,44,156801,17410,Europe
India,12759,389,423,1,1514,10822,,9,0.3,274599,199,Asia
Israel,12591,90,140,10,2624,9827,174,1455,16,187250,21634,Asia
Ireland,12547,,444,,77,12026,158,2541,90,90646,18358,Europe
Sweden,12540,613,1333,130,381,10826,996,1242,132,74600,7387,Europe
Peru,11475,,254,,3108,8113,146,348,8,109385,3318,South America
S. Korea,10613,22,229,4,7757,2627,55,207,4,538775,10509,Asia
Japan,8626,,178,,901,7547,168,68,1,94236,745,Asia
Chile,8273,,94,,2937,5242,389,433,5,91873,4806,South America
Ecuador,7858,,388,,780,6690,135,445,22,26093,1479,South America
Poland,7771,189,292,6,774,6705,160,205,8,169071,4467,Europe
Romania,7707,491,392,20,1357,5958,243,401,20,79629,4139,Europe
Pakistan,6919,536,128,17,1645,5146,46,31,0.6,78979,358,Asia
Denmark,6879,198,321,12,3023,3535,89,1188,55,82380,14223,Europe
Norway,6798,1,150,,32,6616,64,1254,28,130216,24020,Europe
Australia,6468,21,63,,3747,2658,66,254,2,380003,14902,Australia/Oceania
Saudi Arabia,6380,518,83,4,990,5307,71,183,2,150000,4309,Asia
Czechia,6303,2,166,,831,5306,75,589,16,146004,13634,Europe
Mexico,5847,448,449,43,2125,3273,207,45,3,40091,311,North America
Philippines,5660,207,362,13,435,4863,1,52,3,48171,440,Asia
Indonesia,5516,380,496,27,548,4472,,20,2,36000,132,Asia
UAE,5365,,33,,1034,4298,1,542,3,767000,77550,Asia
Serbia,5318,445,103,4,443,4772,120,609,12,29472,3373,Europe
Malaysia,5182,110,84,1,2766,2332,56,160,3,87183,2694,Asia
Belarus,4204,476,40,4,203,3961,65,445,4,81246,8598,Europe
Ukraine,4161,397,116,8,186,3859,45,95,3,42823,979,Europe
Qatar,4103,392,7,,415,3681,37,1424,2,56381,19570,Asia
Panama,3751,,103,,75,3573,106,869,24,16854,3906,North America
Singapore,3699,,10,,652,3037,29,632,2,72680,12423,Asia
Dominican Republic,3614,,189,,208,3217,143,333,17,9275,855,North America
Luxembourg,3373,,69,,526,2778,33,5388,110,30723,49080,Europe
Finland,3369,132,75,3,1700,1594,76,608,14,49700,8970,Europe
Colombia,3105,,131,,452,2522,106,61,3,48628,956,South America
Thailand,2672,29,46,3,1593,1033,61,38,0.7,100498,1440,Asia
Argentina,2571,,115,3,631,1825,121,57,3,26457,585,South America
South Africa,2506,,34,,410,2062,7,42,0.6,90515,1526,Africa
Egypt,2505,,183,,589,1733,,24,2,25000,244,Africa
Morocco,2251,227,128,1,247,1876,1,61,3,11433,310,Africa
Greece,2192,,102,,269,1821,72,210,10,50771,4871,Europe
Algeria,2160,,336,,708,1116,60,49,8,3359,77,Africa
Moldova,2049,,51,5,235,1763,80,508,13,6271,1555,Europe
Croatia,1791,50,35,2,529,1227,31,436,9,20158,4910,Europe
Iceland,1727,,8,,1077,642,8,5061,23,37386,109558,Europe
