Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Continent
North America,914402,1491,51221,133,102638,760543,15274,,,,,North America
Europe,1168284,,111202,,360797,696285,25509,,,,,Europe
Asia,422297,10,15854,,198712,207731,6163,,,,,Asia
South America,97086,425,4593,18,41402,51091,9499,,,,,South America
Oceania,8206,5,88,,6109,2009,51,,,,,Australia/Oceania
Africa,26677,23,1244,,7322,18111,174,,,,,Africa
,721,,15,,645,61,4,,,,,
World,2637673,1954,184217,151,717625,1735831,56674,338,23.6,,,All
USA,848994,277,47676,17,84050,717268,14016,2565,144,4325342,13067,North America
Spain,208389,,21717,,85915,100757,7705,4457,464,930230,19896,Europe
Italy,187327,,25085,,54543,107699,2384,3098,415,1513251,25028,Europe
France,159877,,21340,,40657,97880,5218,2449,327,463662,7103,Europe
Germany,150648,,5315,,99400,45933,2908,1798,63,2072669,24738,Europe
UK,133495,,18100,,N/A,115051,1559,1966,267,559935,8248,Europe
Turkey,98674,,2376,,16477,79821,1814,1170,28,750944,8904,Asia
Iran,85996,,5391,,63113,17492,3311,1024,64,377396,4493,Asia
Russia,57999,,513,,4420,53066,700,397,4,2250000,15418,Europe
Brazil,46182,425,2924,18,25318,17940,8318,217,14,291922,1373,South America
Belgium,41889,,6262,,9433,26194,1020,3614,540,171400,14789,Europe
Canada,40190,,1974,,13986,24230,557,1065,52,612192,16220,North America
Netherlands,34842,,4054,,N/A,30538,1050,2033,237,171415,10004,Europe
Switzerland,28268,,1509,,19900,6859,386,3266,174,227554,26293,Europe
Portugal,21982,,785,,1143,20054,207,2156,77,284741,27925,Europe
India,21370,,681,,4370,16319,,15,0.5,462621,335,Asia
Peru,19250,,530,,7027,11693,396,584,16,170400,5168,South America
Ireland,16671,,769,,9233,6669,147,3376,156,111584,22598,Europe
Sweden,16004,,1937,,550,13517,515,1585,192,94500,9357,Europe
Austria,14925,,510,,11328,3087,176,1657,57,201794,22406,Europe
Israel,14498,,189,,5215,9094,141,1675,22,240303,27763,Asia
Saudi Arabia,12772,,114,,1812,10846,82,367,3,200000,5745,Asia
Japan,11950,,299,,1424,10227,241,94,2,130587,1033,Asia
Chile,11296,,160,,5386,5750,399,591,8,128722,6734,South America
Ecuador,10850,,537,,1262,9051,141,615,30,33389,1892,South America
S. Korea,10694,,238,,8277,2179,55,209,5,577959,11273,Asia
Mexico,10544,1043,970,113,2627,6947,378,82,8,49570,384,North America
Poland,10169,,426,,1513,8230,160,269,11,238799,6310,Europe
Singapore,10141,,12,,896,9233,27,1733,2,94796,16203,Asia
Pakistan,10076,,212,,2156,7708,58,46,1.0,118020,534,Asia
Romania,9710,,524,,2406,6780,288,505,27,106357,5529,Europe
UAE,8238,,52,,1546,6640,1,833,5,790000,79875,Asia
Denmark,7912,,384,,5087,2441,80,1366,66,108465,18726,Europe
Indonesia,7418,,635,,913,5870,,27,2,55732,204,Asia
Norway,7338,,187,,32,7119,54,1354,34,148656,27421,Europe
Belarus,7281,,58,,769,6454,92,771,6,114955,12165,Europe
Qatar,7141,,10,,689,6442,37,2479,3,70012,24301,Asia
Czechia,7132,,208,,1989,4935,80,666,19,186918,17454,Europe
Serbia,7114,,134,,1025,5955,101,814,15,48636,5566,Europe
Philippines,6710,,446,,693,5571,1,61,4,68532,625,Asia
Australia,6654,5,74,,5012,1568,47,261,3,458000,17961,Australia/Oceania
Ukraine,6592,,174,,424,5994,45,151,4,67520,1544,Europe
Malaysia,5532,,93,,3452,1987,43,171,3,113755,3515,Asia
Dominican Republic,5300,,260,,581,4459,135,489,24,18261,1683,North America
Panama,4992,171,144,3,255,4593,97,1157,33,22702,5261,North America
Colombia,4356,,206,,870,3280,98,86,4,71500,1405,South America
Finland,4129,,149,,2000,1980,63,745,27,68552,12372,Europe
Bangladesh,3772,,120,,92,3560,1,23,0.7,32630,198,Asia
Egypt,3659,,276,,935,2448,,36,3,55000,537,Africa
Luxembourg,3654,,80,,711,2863,32,5837,128,36087,57649,Europe
South Africa,3635,,65,,1055,2515,36,61,1,133774,2256,Africa
Morocco,3446,,149,,417,2880,1,93,4,19885,539,Africa
Argentina,3288,,159,,872,2257,123,73,4,39228,868,South America
Algeria,2910,,402,,1204,1304,40,66,9,6500,148,Africa
Thailand,2826,,49,,2352,425,61,40,0.7,142589,2043,Asia
Moldova,2778,,75,,560,2143,212,689,19,11763,2916,Europe
Greece,2408,,121,,577,1710,55,231,12,56944,5463,Europe
Kuwait,2248,,13,,443,1792,50,526,3,,,Asia
Hungary,2168,,225,,295,1648,82,224,23,52702,5455,Europe
Kazakhstan,2135,,19,,515,1601,32,114,1,139207,7414,Asia
Bahrain,2027,,7,,1026,994,2,1191,4,97796,57474,Asia
Croatia,1950,,48,,869,1033,19,475,12,27614,6726,Europe
Iceland,1785,,10,,1462,313,5,5231,29,44468,130312,Europe
Uzbekistan,1716,,7,,450,1259,8,51,0.2,150000,4482,Asia
Iraq,1631,,83,,1146,402,,41,2,62880,1563,Asia
Oman,1614,,8,,238,1368,3,316,2,,,Asia
Estonia,1559,,44,,184,1331,7,1175,33,43637,32895,Europe
Azerbaijan,1518,,20,,907,591,14,150,2,108221,10674,Asia
Armenia,1473,,24,,633,816,30,497,8,14966,5051,Asia
New Zealand,1451,,14,,1036,401,2,301,3,94797,19658,Australia/Oceania
Lithuania,1370,,38,,357,975,17,503,14,76973,28275,Europe
Bosnia and Herzegovina,1368,,53,,460,855,4,417,16,20125,6134,Europe
Slovenia,1353,,79,,205,1069,24,651,38,44435,21374,Europe
North Macedonia,1259,,56,,272,931,8,604,27,13000,6240,Europe
Slovakia,1244,,14,,284,946,7,228,3,52649,9643,Europe
Cuba,1189,,40,,341,808,16,105,4,30416,2685,North America
Afghanistan,1176,,40,,166,970,7,30,1,6422,165,Asia
Cameroon,1163,,43,,397,723,33,44,2,,,Africa
Ghana,1154,,9,,99,1046,4,37,0.3,68591,2207,Africa
Hong Kong,1034,,4,,678,352,8,138,0.5,131786,17579,Asia
Bulgaria,1024,,49,,174,801,37,147,7,27000,3886,Europe
Djibouti,974,,2,,183,789,,986,2,10272,10397,Africa
Ivory Coast,952,,14,,310,628,,36,0.5,,,Africa
Tunisia,909,,38,,190,681,32,77,3,18861,1596,Africa
Nigeria,873,,28,,197,648,2,4,0.1,8003,39,Africa
Cyprus,790,,13,,98,679,15,654,11,37081,30712,Asia
Latvia,761,,11,,133,617,5,403,6,39336,20855,Europe
Guinea,761,,6,,164,591,,58,0.5,,,Africa
Andorra,723,,37,,309,377,17,9357,479,1673,21653,Europe
Diamond Princess,712,,13,,645,54,4,,,,,
Lebanon,682,,22,,113,547,26,100,3,22853,3348,Asia
Costa Rica,681,,6,,180,495,6,134,1,11766,2310,North America
Niger,662,,22,,193,447,,27,0.9,4832,200,Africa
Albania,634,,27,,356,251,4,220,9,6269,2178,Europe
Kyrgyzstan,612,,7,,254,351,5,94,1,26147,4008,Asia
Burkina Faso,609,,39,,389,181,,29,2,,,Africa
Bolivia,609,,37,,44,528,3,52,3,4420,379,South America
Uruguay,549,,12,,337,200,10,158,3,14532,4183,South America
Honduras,510,,46,,30,434,10,51,5,2535,256,North America
Channel Islands,498,,28,,285,185,,2864,161,3320,19095,Europe
San Marino,488,,40,,62,386,4,14382,1179,1872,55171,Europe
Palestine,474,,4,,71,399,,93,0.8,17329,3397,Asia
Malta,444,,3,,165,276,2,1006,7,26148,59220,Europe
Senegal,442,,6,,253,183,1,26,0.4,466,28,Africa
Jordan,435,,7,,315,113,5,43,0.7,35000,3430,Asia
Taiwan,426,,6,,236,184,,18,0.3,56853,2387,Asia
Georgia,416,,5,,107,304,6,104,1,8375,2099,Asia
Runion,410,,,,238,172,2,458,,,,Africa
DRC,359,,25,,45,289,,4,0.3,,,Africa
Sri Lanka,330,,7,,105,218,2,15,0.3,7393,345,Asia
Mauritius,329,,9,,261,59,3,259,7,9755,7670,Africa
Mayotte,326,,4,,125,197,4,1195,15,2100,7698,Africa
Guatemala,316,,8,,24,284,3,18,0.4,7200,402,North America
