Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Continent
North America,556599,19758,21211,1389,35756,499632,11941,,,,,North America
Europe,849206,29097,73200,3137,205632,570374,29981,,,,,Europe
Asia,286057,11016,10576,352,142371,133110,6617,,,,,Asia
South America,46717,1741,1856,47,5198,39663,1234,,,,,South America
Oceania,7702,94,60,4,3688,3954,85,,,,,Australia/Oceania
Africa,13869,330,729,32,2388,10752,158,,,,,Africa
,721,,13,,619,89,10,,,,,
World,1760871,62036,107645,4961,395652,1257574,50026,226,13.8,,,All
USA,521714,18838,20064,1317,28580,473070,10952,1576,61,2612884,7894,North America
Spain,161852,3579,16353,272,59109,86390,7371,3462,350,355000,7593,Europe
Italy,152271,4694,19468,619,32534,100269,3381,2518,322,963473,15935,Europe
France,129654,4785,13832,635,26391,89431,6883,1986,212,333807,5114,Europe
Germany,123878,1707,2736,,53913,67229,4895,1479,33,1317887,15730,Europe
UK,78991,5233,9875,917,344,68772,1559,1164,145,334974,4934,Europe
Iran,70029,1837,4357,125,41947,23725,3987,834,52,251703,2997,Asia
Turkey,52167,5138,1101,95,2965,48101,1626,619,13,340380,4036,Asia
Belgium,28018,1351,3346,327,5986,18686,1262,2418,289,102151,8814,Europe
Switzerland,25107,556,1036,34,11100,12971,386,2901,120,190000,21954,Europe
Netherlands,24413,1316,2643,132,250,21520,1384,1425,154,101534,5926,Europe
Canada,22575,427,600,31,6013,15962,557,598,16,401552,10639,North America
Brazil,20022,233,1075,7,173,18774,296,94,5,62985,296,South America
Portugal,15987,515,470,35,266,15251,233,1568,46,155193,15220,Europe
Austria,13798,238,337,18,6604,6857,246,1532,37,140975,15653,Europe
Russia,13584,1667,106,12,1045,12433,8,93,0.7,1184442,8116,Europe
Israel,10525,117,96,1,1258,9171,180,1216,11,117339,13557,Asia
S. Korea,10480,30,211,3,7243,3026,55,204,4,510479,9957,Asia
Sweden,10151,466,887,17,381,8883,774,1005,88,54700,5416,Europe
India,8339,739,288,39,969,7082,,6,0.2,189111,137,Asia
Ireland,8089,,287,,25,7777,194,1638,58,53000,10734,Europe
Ecuador,7257,96,315,18,411,6531,184,411,18,21568,1222,South America
Chile,6927,426,73,8,1864,4990,383,362,4,76374,3995,South America
Peru,6848,951,181,12,1739,4928,142,208,5,67712,2054,South America
Norway,6403,89,117,4,32,6254,67,1181,22,124279,22924,Europe
Poland,6356,401,208,27,375,5773,160,168,5,129560,3423,Europe
Australia,6303,65,56,2,3265,2982,80,247,2,351380,13780,Australia/Oceania
Japan,6005,,99,,762,5144,109,47,0.8,64387,509,Asia
Denmark,5996,177,260,13,1955,3781,106,1035,45,67771,11700,Europe
Romania,5990,523,291,21,758,4941,208,311,15,59272,3081,Europe
Czechia,5831,99,129,10,411,5291,92,544,12,120285,11232,Europe
Pakistan,5011,316,77,11,762,4172,50,23,0.3,57836,262,Asia
Malaysia,4530,184,73,3,1995,2462,72,140,2,71897,2221,Asia
Philippines,4428,233,247,26,157,4024,1,40,2,24500,224,Asia
Saudi Arabia,4033,382,52,5,720,3261,57,116,1,115585,3320,Asia
Mexico,3844,403,233,39,633,2978,89,30,2,31492,244,North America
Indonesia,3842,330,327,21,286,3229,,14,1,19452,71,Asia
UAE,3736,376,20,4,588,3128,1,378,2,648195,65538,Asia
Serbia,3380,275,74,3,118,3188,145,387,8,16399,1877,Europe
Luxembourg,3270,47,62,8,500,2708,30,5224,99,28965,46272,Europe
Panama,2974,,74,,17,2883,104,689,17,11776,2729,North America
Finland,2905,136,49,1,300,2556,80,524,9,44354,8005,Europe
Qatar,2728,216,6,,247,2475,37,947,2,47751,16574,Asia
Dominican Republic,2620,,126,,98,2396,147,242,12,7936,732,North America
Thailand,2518,45,35,2,1135,1348,61,36,0.5,71860,1030,Asia
Ukraine,2511,308,73,4,79,2359,45,57,2,26577,608,Europe
Colombia,2473,,80,,197,2196,85,49,2,37593,739,South America
Singapore,2299,191,8,1,528,1763,31,393,1,72680,12423,Asia
Belarus,2226,245,23,4,172,2031,72,236,2,53000,5609,Europe
Greece,2081,70,93,1,269,1719,75,200,9,37344,3583,Europe
South Africa,2028,25,25,1,410,1593,7,34,0.4,75053,1265,Africa
Argentina,1975,,83,1,440,1452,115,44,2,16379,362,South America
Algeria,1825,64,275,19,460,1090,46,42,6,3359,77,Africa
Egypt,1794,,135,,384,1275,,18,1,25000,244,Africa
Iceland,1689,14,7,,841,841,11,4950,21,34635,101497,Europe
Moldova,1560,122,30,1,75,1455,80,387,7,6271,1555,Europe
Morocco,1545,97,111,4,146,1288,1,42,3,7734,210,Africa
Croatia,1534,39,21,,323,1190,32,374,5,15691,3822,Europe
Iraq,1318,39,72,2,601,645,,33,2,33889,843,Asia
New Zealand,1312,29,4,2,422,886,5,272,0.8,58746,12182,Australia/Oceania
Hungary,1310,120,85,8,115,1110,17,136,9,31961,3308,Europe
Estonia,1304,46,24,,93,1187,11,983,18,29456,22205,Europe
Slovenia,1188,28,50,5,148,990,37,571,24,34279,16489,Europe
Kuwait,1154,161,1,,133,1020,27,270,0.2,,,Asia
Azerbaijan,1058,67,11,1,200,847,27,104,1,61342,6050,Asia
Lithuania,1026,27,23,1,54,949,14,377,8,38472,14132,Europe
Bahrain,1016,91,6,,551,459,3,597,4,60425,35511,Asia
Hong Kong,1001,11,4,,336,661,14,134,0.5,96709,12900,Asia
Armenia,977,40,13,1,173,791,30,330,4,6484,2188,Asia
