Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop
USA,245442,565,6098,28,10411,228933,5421,742,18
Spain,117710,5645,10935,587,30513,76262,6416,2518,234
Italy,115242,,13915,,18278,83049,4053,1906,230
Germany,87244,2450,1138,31,24575,61531,3936,1041,14
France,59105,,5387,,12428,41290,6399,905,83
Iran,53183,2715,3294,134,17935,31954,4035,633,39
UK,38168,4450,3605,684,135,34428,163,562,53
Switzerland,19303,476,573,37,4846,13884,348,2230,66
Turkey,18135,,356,,415,17364,1101,215,4
Belgium,16770,1422,1143,132,2872,12755,1205,1447,99
Netherlands,15723,1026,1487,148,250,13986,1182,918,87
Austria,11383,254,168,10,2022,9193,245,1264,19
Canada,11283,,173,,1979,9131,120,299,5
S. Korea,10062,86,174,5,6021,3867,55,196,3
Portugal,9886,852,246,37,68,9572,245,970,24
Brazil,8076,32,329,5,127,7620,296,38,2
Israel,7030,173,39,3,338,6653,115,812,5
Sweden,6078,510,333,25,103,5642,469,602,33
Australia,5350,36,28,3,585,4737,85,210,1
Norway,5296,149,56,6,32,5208,96,977,10
Russia,4149,601,34,4,281,3834,8,28,0.2
Czechia,3869,11,46,2,71,3752,77,361,4
Ireland,3849,,98,,5,3746,109,779,20
Denmark,3672,286,139,16,1193,2340,153,634,24
Chile,3404,,18,,335,3051,31,178,0.9
Malaysia,3333,217,53,3,827,2453,108,103,2
Romania,3183,445,118,3,283,2782,83,165,6
Ecuador,3163,,120,,65,2978,100,179,7
Poland,3149,203,59,2,56,3034,50,83,2
Philippines,3018,385,136,29,52,2830,1,28,1
Japan,2617,,63,,514,2040,60,21,0.5
India,2567,24,72,,192,2303,,2,0.05
Luxembourg,2487,,30,,80,2377,31,3973,48
Pakistan,2458,37,35,1,126,2297,10,11,0.2
Saudi Arabia,2039,154,25,4,351,1663,41,59,0.7
Indonesia,1986,196,181,11,134,1671,,7,0.7
Thailand,1978,103,19,4,581,1378,23,28,0.3
Finland,1615,97,20,1,300,1295,68,291,4
Greece,1544,,53,,61,1430,91,148,5
Mexico,1510,132,50,13,633,827,1,12,0.4
Serbia,1476,305,39,8,42,1395,81,169,4
Panama,1475,,37,,9,1429,50,342,9
South Africa,1462,,5,,95,1362,7,25,0.08
Peru,1414,,55,,537,822,51,43,2
Dominican Republic,1380,,60,,16,1304,147,127,6
Iceland,1364,45,4,,309,1051,12,3997,12
Argentina,1265,,37,1,256,972,,28,0.8
Colombia,1161,,19,,55,1087,50,23,0.4
Singapore,1114,65,5,1,282,827,24,190,0.9
Croatia,1079,68,8,1,92,979,39,263,2
UAE,1024,,8,,96,920,2,104,0.8
Algeria,986,,86,,61,839,,22,2
Estonia,961,103,12,1,48,901,16,724,9
Qatar,949,,3,,72,874,37,329,1
Ukraine,942,45,23,1,19,900,16,22,0.5
Slovenia,934,37,20,3,70,844,31,449,10
New Zealand,868,71,1,,103,764,2,180,0.2
Egypt,865,,58,,201,606,,8,0.6
Hong Kong,845,43,4,,173,668,8,113,0.5
Iraq,772,,54,,202,516,,19,1
Armenia,736,73,7,,43,686,30,248,2
Morocco,735,27,47,3,49,639,1,20,1
Diamond Princess,712,,11,,619,82,10,,
Lithuania,696,47,9,,7,680,11,256,3
Bahrain,672,29,4,,382,286,3,395,2
Hungary,623,38,26,5,43,554,17,64,3
Bosnia and Herzegovina,568,35,17,1,27,524,4,173,5
Lebanon,508,14,17,1,46,445,2,74,2
Moldova,505,,6,,26,473,65,125,1
Latvia,493,35,1,1,1,491,3,261,0.5
Bulgaria,477,20,12,2,30,435,18,69,2
Kazakhstan,460,25,6,3,29,425,6,24,0.3
Tunisia,455,,14,,5,436,10,38,1
Slovakia,450,24,1,,10,439,3,82,0.2
Azerbaijan,443,43,5,,32,406,7,44,0.5
Andorra,439,11,16,1,16,407,12,5682,207
North Macedonia,430,46,11,,17,402,8,206,5
Kuwait,417,75,,,82,335,16,98,
Costa Rica,396,,2,,6,388,11,78,0.4
Uruguay,369,19,4,,68,297,13,106,1
Cyprus,356,,10,,28,318,11,295,8
Belarus,351,47,4,,53,294,11,37,0.4
Taiwan,348,9,5,,50,293,,15,0.2
Runion,308,,,,40,268,3,344,
Cameroon,306,,7,,10,289,,12,0.3
Albania,304,27,16,,89,199,7,106,6
Jordan,299,,5,,45,249,5,29,0.5
Burkina Faso,288,,16,,50,222,,14,0.8
Afghanistan,273,,6,,10,257,,7,0.2
Oman,252,21,1,,57,194,3,49,0.2
San Marino,245,,30,,21,194,15,7221,884
