Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop"
World,1328437,55575,73759,4334,277294,977384,46494,170,9.5,,
USA,356007,19334,10467,851,19247,326293,8832,1076,32,1850506,5591
Spain,135032,3386,13169,528,40437,81426,6931,2888,282,355000,7593
Italy,132547,3599,16523,636,22837,93187,3898,2192,273,721732,11937
Germany,101214,1091,1622,38,28700,70892,3936,1208,19,918460,10962
France,98010,5171,8911,833,17250,71849,7072,1502,137,224254,3436
Iran,60500,2274,3739,136,24236,32525,4083,720,45,186000,2214
UK,51608,3802,5373,439,135,46100,1559,760,79,252958,3726
Turkey,30217,3148,649,75,1326,28242,1415,358,8,202845,2405
Switzerland,21652,552,762,47,8056,12834,391,2502,88,162500,18776
Belgium,20814,1123,1632,185,3986,15196,1257,1796,141,70000,6040
Netherlands,18803,952,1867,101,250,16686,1409,1097,109,75415,4401
Canada,16498,986,321,41,3128,13049,426,437,9,330901,8767
Austria,12280,229,220,16,3463,8597,250,1363,24,111296,12357
Portugal,11730,452,311,16,140,11279,270,1150,31,91794,9002
Brazil,11516,262,506,20,127,10883,296,54,2,54824,258
S. Korea,10284,47,186,3,6598,3500,55,201,4,461233,8996
Israel,8611,181,56,7,585,7970,141,995,6,109724,12677
Sweden,7206,376,477,76,205,6524,590,714,47,36900,3654
Russia,6343,954,47,2,406,5890,8,43,0.3,758000,5194
Australia,5795,45,41,4,2432,3322,96,227,2,303536,11903
Norway,5762,75,76,5,32,5654,83,1063,14,111299,20530
Ireland,5364,370,174,16,25,5165,165,1086,35,30213,6119
Chile,4815,344,37,3,728,4050,327,252,2,54864,2870
India,4778,489,129,11,346,4303,,3,0.09,140293,102
Czechia,4735,148,78,11,121,4536,84,442,7,85014,7939
Denmark,4681,312,187,8,1378,3116,144,808,32,52936,9139
Poland,4413,311,107,13,162,4144,50,117,3,85467,2258
Romania,4057,193,168,17,406,3483,179,211,9,40987,2131
Malaysia,3793,131,62,1,1241,2490,102,117,2,55566,1717
Ecuador,3747,101,191,11,100,3456,156,212,11,13039,739
Pakistan,3662,505,52,5,259,3351,17,17,0.2,35875,162
Philippines,3660,414,163,11,73,3424,1,33,1,22958,210
Japan,3654,,85,,575,2994,69,29,0.7,46172,365
Luxembourg,2843,39,41,5,500,2302,33,4542,65,24291,38805
Peru,2561,280,92,9,997,1472,89,78,3,20414,619
Saudi Arabia,2523,121,38,4,551,1934,41,72,1,,
Indonesia,2491,218,209,11,192,2090,,9,0.8,11460,42
Thailand,2220,51,26,3,793,1401,23,32,0.4,25071,359
Serbia,2200,292,58,7,54,2088,101,252,7,8552,979
Finland,2176,249,27,-1,300,1849,81,393,5,32800,5920
Mexico,2143,253,94,15,633,1416,293,17,0.7,18034,140
UAE,2076,277,11,1,167,1898,1,210,1,220000,22244
Panama,1988,187,54,8,13,1921,78,461,13,9749,2259
Qatar,1832,228,4,,131,1697,37,636,1,38108,13227
Dominican Republic,1828,83,86,4,33,1709,147,169,8,4542,419
Greece,1755,20,79,6,269,1407,90,168,8,26193,2513
South Africa,1655,,11,,95,1549,7,28,0.2,56873,959
Iceland,1562,76,6,2,460,1096,11,4577,18,27880,81701
