Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop
USA,228408,13405,5366,264,10280,212762,5421,690,16
Italy,115242,4668,13915,760,18278,83049,4053,1906,230
Spain,110238,6120,10003,616,26743,73492,6092,2358,214
Germany,81728,3747,997,66,19175,61556,3936,975,12
France,56989,,4032,,10935,42022,6017,873,62
Iran,50468,2875,3160,124,16711,30597,3956,601,38
UK,33718,4244,2921,569,135,30662,163,497,43
Switzerland,18475,707,522,34,4013,13940,348,2135,60
Turkey,15679,,277,,333,15069,979,186,3
Belgium,15348,1384,1011,183,2495,11842,1144,1324,87
Netherlands,14697,1083,1339,166,250,13108,1053,858,78
Austria,11027,316,158,12,1749,9120,227,1224,18
Canada,10132,401,131,17,1891,8110,120,268,3
S. Korea,9976,89,169,4,5828,3979,55,195,3
Portugal,9034,783,209,22,68,8757,230,886,20
Brazil,7022,142,252,10,127,6643,296,33,1
Israel,6808,716,34,8,289,6485,107,787,4
Sweden,5466,519,282,43,103,5081,429,541,28
Australia,5137,89,25,2,345,4767,50,201,1.0
Norway,5124,247,48,4,32,5044,105,945,9
Czechia,3805,216,44,5,67,3694,72,355,4
Russia,3548,771,30,6,235,3283,8,24,0.2
Ireland,3447,,85,,5,3357,126,698,17
Chile,3404,373,18,2,335,3051,31,178,0.9
Denmark,3355,248,123,19,1089,2143,153,579,21
Ecuador,3163,405,120,22,58,2985,100,179,7
Malaysia,3116,208,50,5,767,2299,105,96,2
Romania,2738,278,94,2,267,2377,78,142,5
Poland,2692,138,51,8,56,2585,50,71,1
Philippines,2633,322,107,11,51,2475,1,24,1.0
Luxembourg,2487,168,30,1,80,2377,31,3973,48
Pakistan,2386,268,32,5,107,2247,12,11,0.1
Japan,2384,,57,,472,1855,69,19,0.5
India,2341,343,68,10,177,2096,,2,0.05
Saudi Arabia,1885,165,21,5,328,1536,31,54,0.6
Thailand,1875,104,15,3,505,1355,23,27,0.2
Indonesia,1790,113,170,13,112,1508,,7,0.6
Finland,1518,72,19,2,300,1199,62,274,3
Greece,1514,99,53,2,61,1400,91,145,5
Dominican Republic,1380,96,60,3,16,1304,147,127,6
South Africa,1380,,5,,50,1325,7,23,0.08
Mexico,1378,163,37,8,35,1306,1,11,0.3
Peru,1323,,47,9,394,882,49,40,1
Iceland,1319,99,4,2,284,1031,12,3865,12
Panama,1317,,32,,9,1276,50,305,7
Serbia,1171,111,31,3,42,1098,81,134,4
Argentina,1133,,34,2,256,843,,25,0.8
Colombia,1065,,17,,39,1009,47,21,0.3
Singapore,1049,49,4,1,266,779,24,179,0.7
Croatia,1011,48,7,1,88,916,34,246,2
Algeria,986,139,63,5,61,862,,22,1
Slovenia,897,56,17,2,70,810,31,431,8
Estonia,858,79,11,6,45,802,16,647,8
Qatar,835,,2,,71,762,37,290,0.7
UAE,814,,8,,61,745,2,82,0.8
Ukraine,804,10,20,,13,771,,18,0.5
Hong Kong,802,36,4,,154,644,8,107,0.5
New Zealand,797,89,1,,92,704,2,165,0.2
Egypt,779,,52,,179,548,,8,0.5
Iraq,772,44,54,2,202,516,,19,1
Diamond Princess,712,,11,,619,82,15,,
Morocco,676,22,40,1,29,607,1,18,1
Armenia,663,92,5,1,33,625,30,224,2
Lithuania,649,68,9,1,7,633,11,238,3
Bahrain,635,66,4,,341,290,3,373,2
Hungary,585,60,21,1,42,522,17,61,2
Bosnia and Herzegovina,532,73,16,3,20,496,4,162,5
Moldova,505,82,6,1,23,476,65,125,1
Lebanon,494,15,16,2,46,432,3,72,2
Latvia,458,12,,,1,457,3,243,
Bulgaria,457,35,10,,25,422,18,66,1
Tunisia,455,32,14,2,5,436,10,38,1
Andorra,428,38,15,1,10,403,12,5539,194
Slovakia,426,26,1,,5,420,3,78,0.2
Kazakhstan,423,43,3,,27,393,6,23,0.2
Azerbaijan,400,41,5,,26,369,7,39,0.5
North Macedonia,384,30,11,,17,356,4,184,5
Costa Rica,375,,2,,4,369,9,74,0.4
Cyprus,356,36,10,1,28,318,11,295,8
Uruguay,350,,4,2,62,284,15,101,1
