Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop"
World,1410150,64146,81012,6358,300739,1028399,47834,181,10.4,,
USA,386159,19155,12244,1373,21316,352599,9104,1167,37,2011529,6077
Spain,140511,3836,13897,556,43208,83406,7069,3005,297,355000,7593
Italy,135586,3039,17127,604,24392,94067,3792,2243,283,755445,12495
France,109069,11059,10328,1417,19337,79404,7131,1671,158,224254,3436
Germany,106504,3129,1941,131,36081,68482,4895,1271,23,918460,10962
Iran,62589,2089,3872,133,27039,31678,3987,745,46,211136,2514
UK,55242,3634,6159,786,135,48948,1559,814,91,266694,3929
Turkey,34109,3892,725,76,1582,31802,1474,404,9,228868,2714
Switzerland,22253,596,821,56,8704,12728,391,2571,95,167429,19346
Belgium,22194,1380,2035,403,4157,16002,1260,1915,176,80512,6947
Netherlands,19580,777,2101,234,250,17229,1424,1143,123,86589,5053
Canada,17825,1158,374,51,3922,13529,426,472,10,346507,9181
Austria,12613,316,243,23,4046,8324,243,1400,27,115235,12795
Portugal,12442,712,345,34,184,11913,271,1220,34,121256,11892
Brazil,12377,194,582,18,127,11668,296,58,3,54824,258
S. Korea,10331,47,192,6,6694,3445,55,202,4,461233,8996
Israel,9006,102,61,4,683,8262,153,1040,7,109724,12677
Sweden,7693,487,591,114,205,6897,640,762,59,54700,5416
Russia,7497,1154,58,11,494,6945,8,51,0.4,795000,5448
Australia,5919,24,48,3,2547,3324,93,232,2,310700,12184
Norway,5903,38,89,13,32,5782,78,1089,16,113896,21009
Ireland,5709,345,210,36,25,5474,165,1156,43,30213,6119
India,5311,533,150,14,421,4740,,4,0.1,140293,102
Chile,5116,301,43,6,898,4175,337,268,2,57122,2988
Denmark,5071,390,203,16,1491,3377,127,875,35,52936,9139
Czechia,4944,122,88,10,172,4684,86,462,8,91247,8521
Poland,4848,435,129,22,191,4528,50,128,3,92215,2437
Romania,4417,360,197,21,460,3760,274,230,10,43578,2265
Pakistan,4009,243,56,3,429,3524,28,18,0.3,39183,177
Malaysia,3963,170,63,1,1321,2579,92,122,2,55566,1717
Japan,3906,,92,,592,3222,79,31,0.7,46172,365
Philippines,3764,104,177,14,84,3503,1,34,2,22958,210
Ecuador,3747,,191,,100,3456,156,212,11,13039,739
Luxembourg,2970,127,44,3,500,2426,35,4745,70,25702,41059
Peru,2954,393,92,,997,1865,89,90,3,20414,619
Saudi Arabia,2795,190,41,3,615,2139,41,80,1,,
Indonesia,2738,247,221,12,204,2313,,10,0.8,14354,52
Serbia,2447,247,61,3,118,2268,109,280,7,9626,1102
Mexico,2439,296,125,31,633,1681,89,19,1.0,20475,159
Finland,2308,132,34,7,300,1974,81,417,6,34900,6299
Thailand,2258,38,27,1,888,1343,61,32,0.4,71860,1030
Panama,2100,,55,,14,2031,88,487,13,10297,2386
UAE,2076,,11,,167,1898,1,210,1,220000,22244
Qatar,2057,225,6,2,150,1901,37,714,2,41818,14515
Dominican Republic,1956,128,98,12,33,1825,147,180,9,4542,419
Greece,1832,77,81,2,269,1482,90,176,8,28584,2742
South Africa,1749,63,13,1,95,1641,7,29,0.2,58098,980
Argentina,1628,,56,3,338,1234,96,36,1,11778,261
Iceland,1586,24,6,,559,1021,11,4648,18,28991,84957
Colombia,1579,,46,,88,1445,76,31,0.9,27685,544
Singapore,1481,106,6,,377,1098,29,253,1,65000,11110
Algeria,1468,45,193,20,113,1162,46,33,4,3359,77
Ukraine,1462,143,45,7,28,1389,16,33,1,6385,146
Egypt,1322,,85,,259,978,,13,0.8,25000,244
Croatia,1282,60,18,2,167,1097,35,312,4,12322,3002
Morocco,1184,64,90,10,93,1001,1,32,2,5437,147
New Zealand,1160,54,1,,241,918,14,241,0.2,42826,8881
Estonia,1149,41,21,2,69,1059,12,866,16,23546,17750
Iraq,1122,91,65,1,373,684,,28,2,26331,655
Slovenia,1059,38,36,6,102,921,30,509,17,29455,14168
Moldova,1056,91,22,3,40,994,80,262,5,5108,1266
Hong Kong,936,21,4,,236,696,12,125,0.5,96709,12900
Lithuania,880,37,15,,8,857,11,323,6,27807,10215
Belarus,861,161,13,,54,794,31,91,1,43000,4551
Armenia,853,20,8,,87,758,30,288,3,5140,1735
Hungary,817,73,47,9,71,699,17,85,5,23746,2458
