Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop"
World,1450092,19173,83474,1440,309321,1057297,47999,186,10.7,,
USA,400549,214,12857,16,21711,365981,9169,1210,39,2082443,6291
Spain,146690,4748,14555,510,48021,84114,7069,3137,311,355000,7593
Italy,135586,,17127,,24392,94067,3792,2243,283,755445,12495
Germany,109178,1515,2066,50,36081,71031,4895,1303,25,918460,10962
France,109069,,10328,,19337,79404,7131,1671,158,224254,3436
Iran,64586,1997,3993,121,27039,33554,3987,769,48,211136,2514
UK,55242,,6159,,135,48948,1559,814,91,266694,3929
Turkey,34109,,725,,1582,31802,1474,404,9,222868,2643
Belgium,23403,1209,2240,205,4681,16482,1276,2019,193,80512,6947
Switzerland,22789,536,858,37,8704,13227,391,2633,99,171938,19867
Netherlands,20549,969,2248,147,250,18051,1424,1199,131,86589,5053
Canada,17897,,381,,4028,13488,426,474,10,348105,9223
Brazil,14152,118,699,13,127,13326,296,67,3,54824,258
Portugal,13141,699,380,35,196,12565,245,1289,37,128784,12630
Austria,12852,213,273,30,4512,8067,267,1427,30,120755,13408
S. Korea,10384,53,200,8,6776,3408,55,203,4,477304,9310
Israel,9404,156,72,7,801,8531,147,1086,8,117339,13557
Russia,8672,1175,63,5,580,8029,8,59,0.4,910221,6237
Sweden,8419,726,687,96,205,7527,678,834,68,54700,5416
Norway,6086,,93,4,32,5961,78,1123,17,113896,21009
Australia,6013,25,50,1,2813,3150,87,236,2,319368,12524
Ireland,5709,,210,,25,5474,165,1156,43,42484,8604
India,5480,129,164,4,468,4848,,4,0.1,140293,102
Denmark,5386,315,218,15,1621,3547,127,930,38,58419,10086
Chile,5116,,43,,898,4175,337,268,2,57122,2988
Czechia,5033,16,91,3,181,4761,103,470,8,98681,9215
Poland,5000,152,136,7,222,4642,160,132,4,99284,2623
Romania,4761,344,215,18,528,4018,162,247,11,47207,2454
Japan,4257,,93,,622,3542,80,34,0.7,55311,437
Pakistan,4183,148,58,1,467,3658,25,19,0.3,42159,191
Malaysia,4119,156,65,2,1487,2567,76,127,2,58240,1799
Ecuador,3995,,220,,140,3635,156,226,12,14406,817
Philippines,3870,106,182,5,96,3592,1,35,2,24500,224
Luxembourg,2970,,44,,500,2426,35,4745,70,25702,41059
Indonesia,2956,218,240,19,222,2494,,11,0.9,14354,52
Peru,2954,,107,,1301,1546,109,90,3,21555,654
Saudi Arabia,2932,137,41,,615,2276,41,84,1,,
Mexico,2785,346,141,16,633,2011,89,22,1,25410,197
Serbia,2666,219,65,4,118,2483,112,305,7,10761,1232
