Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop"
World,1139120,22477,61144,1986,236214,841762,39664,146,7.8,,
USA,277613,452,7406,14,12294,257913,5787,839,22,1356085,4097
Spain,124736,5537,11744,546,34219,78773,6416,2668,251,355000,7593
Italy,119827,,14681,,19758,85388,4068,1982,243,619849,10252
Germany,92050,891,1295,20,24575,66180,3936,1099,15,918460,10962
France,82165,,6507,,14008,61650,6662,1259,100,224254,3436
Iran,55743,2560,3452,158,19736,32555,4103,664,41,80000,952
UK,41903,3735,4313,708,135,37455,163,617,64,183190,2698
Turkey,20921,,425,,484,20012,1251,248,5,141716,1680
Switzerland,20278,672,620,29,4846,14812,391,2343,72,145780,16844
Belgium,18431,1661,1283,140,3247,13901,1245,1590,111,62867,5424
Netherlands,16627,904,1651,164,250,14726,1324,970,96,75415,4401
Canada,12549,174,208,,2322,10019,120,332,6,302745,8021
Austria,11781,257,186,18,2507,9088,245,1308,21,104134,11562
Portugal,10524,638,266,20,75,10183,251,1032,26,81087,7952
S. Korea,10156,94,177,3,6325,3654,55,198,3,455032,8875
Brazil,9216,22,365,2,127,8724,296,43,2,54824,258
Israel,7589,161,44,4,427,7118,115,877,5,90394,10443
Sweden,6443,312,373,15,205,5865,520,638,37,36900,3654
Australia,5550,96,30,2,585,4935,85,218,1,285675,11203
Norway,5519,149,61,2,32,5426,98,1018,11,105865,19528
Russia,4731,582,43,9,333,4355,8,32,0.3,639000,4379
Ireland,4273,,120,,25,4128,148,865,24,30213,6119
Czechia,4194,4,56,3,74,4064,87,392,5,74170,6926
Denmark,4077,320,161,22,1283,2633,142,704,28,40863,7055
Chile,3737,,22,,427,3288,31,195,1,35142,1838
Romania,3613,430,141,8,329,3143,119,188,7,36092,1876
Poland,3503,120,73,2,116,3314,50,93,2,72901,1926
Malaysia,3483,150,57,4,915,2511,99,108,2,49570,1532
Ecuador,3368,,145,,65,3158,100,191,8,10317,585
Philippines,3094,76,144,8,57,2893,1,28,1,5530,50
India,3082,23,86,,229,2767,,2,0.06,116608,84
Japan,2935,,69,,514,2352,60,23,0.5,39446,312
Pakistan,2708,22,41,1,130,2537,13,12,0.2,30308,137
Luxembourg,2612,,31,,500,2081,33,4173,50,21463,34287
Saudi Arabia,2179,140,29,4,420,1730,41,63,0.8,,
Indonesia,2092,106,191,10,150,1751,,8,0.7,7193,26
Thailand,2067,89,20,1,612,1435,23,30,0.3,23669,339
Finland,1882,267,25,5,300,1557,72,340,5,29000,5234
Mexico,1688,178,60,10,633,995,1,13,0.5,15668,122
Panama,1673,,41,,10,1622,50,388,10,7333,1700
Greece,1643,30,67,4,78,1498,92,158,6,22437,2153
Serbia,1624,148,44,5,54,1526,89,186,5,6401,733
Peru,1595,,61,,537,997,51,48,2,16518,501
UAE,1505,241,10,1,125,1370,2,152,1,220000,22244
South Africa,1505,,9,,95,1401,7,25,0.2,50361,849
Dominican Republic,1488,,68,,16,1404,147,137,6,4200,387
Iceland,1417,53,4,,396,1017,12,4152,12,23640,69276
Argentina,1353,,42,,266,1045,,30,0.9,7385,163
Colombia,1267,,25,,55,1187,50,25,0.5,21202,417
Algeria,1171,,105,,62,1004,,27,2,3359,77
Croatia,1126,47,12,4,119,995,39,274,3,9833,2395
Singapore,1114,,6,1,282,826,24,190,1,39000,6666
Ukraine,1096,24,28,1,23,1045,16,25,0.6,5040,115
Qatar,1075,,3,,93,979,37,373,1,28413,9862
Estonia,1018,57,13,1,59,946,20,767,10,19091,14392
Egypt,985,,66,,216,703,,10,0.6,25000,244
Slovenia,977,43,22,2,79,876,31,470,11,27109,13040
New Zealand,950,82,1,,127,822,1,197,0.2,33116,6867
Hong Kong,862,17,4,,173,685,8,115,0.5,90000,12005
Morocco,858,67,50,2,62,746,1,23,1,4026,109
Iraq,820,,54,,226,540,,20,1,,
Lithuania,771,75,10,1,7,754,11,283,4,21376,7852
Armenia,770,34,7,,43,720,30,260,2,3994,1348
Diamond Princess,712,,11,,619,82,10,,,,
Bahrain,688,16,4,,399,285,3,404,2,39256,23070
Hungary,678,55,32,6,58,588,17,70,3,19424,2011
Bosnia and Herzegovina,617,38,19,2,28,570,4,188,6,4696,1431
Moldova,591,,10,2,26,555,65,147,2,169,42
Kazakhstan,525,61,5,2,36,484,6,28,0.3,316,17
Azerbaijan,521,78,5,,32,484,17,51,0.5,35000,3452
Lebanon,520,12,17,,50,453,26,76,2,9022,1322
Cameroon,509,,8,,17,484,,19,0.3,,
Latvia,509,16,1,,1,507,3,270,0.5,19380,10275
Bulgaria,498,13,17,3,34,447,21,72,2,566,81
Tunisia,495,,18,,5,472,26,42,2,5736,485
Kuwait,479,62,1,1,93,385,17,112,0.2,,
Slovakia,471,21,1,,10,460,3,86,0.2,13631,2497
Andorra,466,27,17,1,21,428,12,6031,220,,
North Macedonia,430,,12,,20,398,8,206,6,4506,2163
Costa Rica,416,,2,,11,403,13,82,0.4,3845,755
Cyprus,396,,11,,28,357,11,328,9,9447,7825
