Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Continent
North America,1152151,1225,67112,165,182743,902296,19940,,,,,North America
Europe,1347380,,132947,,483885,730548,24182,,,,,Europe
Asia,507336,8,18278,1,256106,232952,5774,,,,,Asia
South America,165876,62,8148,4,57286,100442,9748,,,,,South America
Oceania,8324,2,109,1,7005,1210,41,,,,,Australia/Oceania
Africa,37693,,1592,,12630,23471,122,,,,,Africa
,721,,15,,645,61,4,,,,,
World,3219481,1297,228201,171,1000300,1990980,59811,413,29.3,,,All
USA,1064194,,61656,,147411,855127,18671,3215,186,6139911,18549,North America
Spain,236899,,24275,,132929,79695,7764,5067,519,1414477,30253,Europe
Italy,203591,,27682,,71252,104657,1795,3367,458,1910761,31603,Europe
France,166420,,24087,,48228,94105,4207,2550,369,463662,7103,Europe
UK,165221,,26097,,N/A,138780,1559,2434,384,818539,12058,Europe
Germany,161539,,6467,,120400,34672,2415,1928,77,2547052,30400,Europe
Turkey,117589,,3081,,44040,70468,1574,1394,37,991613,11757,Asia
Russia,99399,,972,,10286,88141,2300,681,7,3303717,22638,Europe
Iran,93657,,5957,,73791,13909,2965,1115,71,453386,5398,Asia
Brazil,79361,,5511,,34132,39718,8318,373,26,339552,1597,South America
Canada,51597,,2996,,20327,28274,557,1367,79,758412,20095,North America
Belgium,47859,,7501,,11283,29075,797,4129,647,226724,19563,Europe
Netherlands,38802,,4711,,N/A,33841,804,2265,275,213372,12453,Europe
Peru,33931,,943,,10037,22951,623,1029,29,296262,8985,South America
India,33062,,1079,,8437,23546,,24,0.8,770764,559,Asia
Switzerland,29407,,1716,,22600,5091,185,3398,198,260500,30100,Europe
Ecuador,24675,,883,,1557,22235,146,1399,50,61529,3487,South America
Portugal,24505,,973,,1470,22062,169,2403,95,379551,37223,Europe
