Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop
USA,277161,,7392,,12283,257486,5787,837,22
Italy,119827,,14681,,19758,85388,4068,1982,243
Spain,119199,,11198,,30513,77488,6416,2549,240
Germany,91159,,1275,,24575,65309,3936,1088,15
France,64338,,6507,,14008,43823,6662,986,100
Iran,53183,,3294,,17935,31954,4035,633,39
UK,38168,,3605,,135,34428,163,562,53
Turkey,20921,,425,,484,20012,1251,248,5
Switzerland,19606,,591,,4846,14169,348,2265,68
Belgium,16770,,1143,,2872,12755,1205,1447,99
Netherlands,15723,,1487,,250,13986,1324,918,87
Canada,12375,,208,,2186,9981,120,328,6
Austria,11524,,168,,2022,9334,245,1280,19
S. Korea,10156,94,177,3,6325,3654,55,198,3
Portugal,9886,,246,,68,9572,245,970,24
Brazil,9194,,363,,127,8704,296,43,2
Israel,7428,,40,,403,6985,113,858,5
Sweden,6131,,358,,205,5568,469,607,35
Australia,5454,,28,,585,4841,85,214,1
Norway,5370,,59,,32,5279,96,991,11
Ireland,4273,,120,,25,4128,148,865,24
Czechia,4190,,53,,72,4065,77,391,5
Russia,4149,,34,,281,3834,8,28,0.2
Denmark,3757,,139,,1193,2425,153,649,24
Chile,3737,,22,,427,3288,31,195,1
Poland,3383,,71,,56,3256,50,89,2
Ecuador,3368,,145,,65,3158,100,191,8
Malaysia,3333,,53,,827,2453,108,103,2
Romania,3183,,133,,283,2767,83,165,7
Philippines,3018,,136,,52,2830,1,28,1
Pakistan,2686,,40,,126,2520,10,12,0.2
Japan,2617,,63,,514,2040,60,21,0.5
Luxembourg,2612,,31,,500,2081,33,4173,50
India,2567,,72,,192,2303,,2,0.05
Saudi Arabia,2039,,25,,351,1663,41,59,0.7
Indonesia,1986,,181,,134,1671,,7,0.7
Thailand,1978,,19,,612,1347,23,28,0.3
Mexico,1688,178,60,10,633,995,1,13,0.5
Panama,1673,,41,,10,1622,50,388,10
Finland,1615,,20,,300,1295,72,291,4
Greece,1613,,63,,78,1472,92,155,6
Peru,1595,,61,,537,997,51,48,2
South Africa,1505,,9,,95,1401,7,25,0.2
Dominican Republic,1488,,68,,16,1404,147,137,6
Serbia,1476,,39,,54,1383,81,169,4
Iceland,1364,,4,,309,1051,12,3997,12
Argentina,1353,,42,,266,1045,,30,0.9
Colombia,1267,,25,,55,1187,50,25,0.5
UAE,1264,,9,,108,1147,2,128,0.9
Algeria,1171,,105,,62,1004,,27,2
Singapore,1114,,5,,282,827,24,190,0.9
Croatia,1079,,8,,92,979,39,263,2
Qatar,1075,,3,,93,979,37,373,1
Ukraine,1072,,27,,22,1023,16,25,0.6
Egypt,985,,66,,216,703,,10,0.6
Estonia,961,,12,,48,901,16,724,9
New Zealand,950,82,1,,127,822,1,197,0.2
Slovenia,934,,20,,70,844,31,449,10
Hong Kong,845,,4,,173,668,8,113,0.5
Iraq,820,,54,,226,540,,20,1
Morocco,791,,48,,57,686,1,21,1
Armenia,736,,7,,43,686,30,248,2
Diamond Princess,712,,11,,619,82,10,,
Lithuania,696,,9,,7,680,11,256,3
Bahrain,672,,4,,382,286,3,395,2
Hungary,623,,26,,43,554,17,64,3
Moldova,591,,8,,26,557,65,147,2
Bosnia and Herzegovina,579,,17,,27,535,4,176,5
Cameroon,509,,8,,17,484,,19,0.3
Lebanon,508,,17,,50,441,26,74,2
Tunisia,495,,18,,5,472,26,42,2
Latvia,493,,1,,1,491,3,261,0.5
Bulgaria,485,,14,,30,441,21,70,2
Kazakhstan,464,,6,,29,429,6,25,0.3
Slovakia,450,,1,,10,439,3,82,0.2
Azerbaijan,443,,5,,32,406,7,44,0.5
Andorra,439,,16,,16,407,12,5682,207
North Macedonia,430,,12,,20,398,8,206,6
Kuwait,417,,,,82,335,16,98,
Costa Rica,416,,2,,11,403,13,82,0.4
Cyprus,396,,11,,28,357,11,328,9
Uruguay,386,,4,,86,296,13,111,1
Belarus,351,,4,,53,294,11,37,0.4
Taiwan,348,,5,,50,293,,15,0.2
Runion,321,,,,40,281,3,359,
Jordan,310,,5,,58,247,5,30,0.5
Albania,304,,17,,89,198,7,106,6
Burkina Faso,302,,16,,50,236,,14,0.8
Afghanistan,281,,6,,10,265,,7,0.2
Cuba,269,,6,,15,248,8,24,0.5
Oman,252,,1,,57,194,3,49,0.2
San Marino,251,,32,,26,193,13,7397,943
Vietnam,239,,,,85,154,3,2,
Channel Islands,232,,4,,13,215,,1334,23
Uzbekistan,227,,2,,25,200,8,7,0.06
Honduras,222,,15,,3,204,10,22,2
Ivory Coast,218,,1,,19,198,,8,0.04
Nigeria,210,,4,,25,181,,1,0.02
Senegal,207,,1,,66,140,1,12,0.06
Ghana,205,,5,,31,169,2,7,0.2
Malta,202,,,,2,200,2,457,
Palestine,194,,1,,21,172,,38,0.2
Mauritius,186,,7,,,179,1,146,6
Faeroe Islands,179,,,,91,88,1,3663,
Montenegro,174,,2,,1,171,4,277,3
Sri Lanka,159,,4,,24,131,5,7,0.2
Georgia,155,,,,28,127,6,39,
Venezuela,153,,7,,52,94,6,5,0.2
DRC,148,,16,,3,129,,2,0.2
Martinique,143,,3,,27,113,18,381,8
Bolivia,139,7,10,1,1,128,3,12,0.9
Brunei,134,,1,,65,68,3,306,2
Guadeloupe,130,,7,,24,99,14,325,17
Kyrgyzstan,130,,1,,6,123,5,20,0.2
Mayotte,128,,2,,10,116,3,469,7
Kenya,122,,4,,4,114,2,2,0.07
Niger,120,,5,,,115,,5,0.2
Isle of Man,114,,1,,,113,,1341,12
Cambodia,114,,,,35,79,1,7,
Trinidad and Tobago,98,,6,,1,91,,70,4
Paraguay,96,4,3,,12,81,2,13,0.4
Gibraltar,95,,,,46,49,,2820,
Rwanda,89,,,,,89,,7,
Liechtenstein,75,,,,,75,,1967,
Guinea,73,,,,2,71,,6,
Madagascar,70,,,,,70,6,3,
Monaco,64,,1,,3,60,2,1631,25
Aruba,62,,,,1,61,,581,
Bangladesh,61,,6,,26,29,1,0.4,0.04
French Guiana,57,,,,22,35,1,191,
Jamaica,53,,3,,7,43,,18,1
Barbados,51,,,,,51,,177,
Guatemala,50,,1,,12,37,1,3,0.06
Djibouti,49,,,,8,41,,50,
Uganda,48,,,,,48,,1,
El Salvador,46,,3,,,43,4,7,0.5
Macao,42,,,,10,32,,65,
Togo,40,,3,,17,20,,5,0.4
Mali,39,,3,,,36,,2,0.1
Zambia,39,,1,,2,36,,2,0.05
French Polynesia,39,,,,,39,1,139,
Bermuda,35,,,,14,21,,562,
Ethiopia,35,,,,3,32,2,0.3,
Cayman Islands,29,,1,,1,27,,441,15
Bahamas,24,,3,,,21,1,61,8
Guyana,23,,4,,,19,,29,5
Sint Maarten,23,,4,,6,13,,536,93
Congo,22,,2,,2,18,,4,0.4
Saint Martin,22,,1,,2,19,,569,26
Eritrea,22,,,,,22,,6,
Gabon,21,,1,,1,19,,9,0.4
Myanmar,20,,1,,,19,,0.4,0.02
Tanzania,20,,1,,3,16,,0.3,0.02
Maldives,19,,,,13,6,,35,
Haiti,18,,,,1,17,,2,
New Caledonia,18,,,,1,17,,63,
Libya,17,,1,,,16,,2,0.1
Syria,16,,2,,,14,,0.9,0.1
Benin,16,,,,2,14,,1,
Equatorial Guinea,16,,,,1,15,,11,
Antigua and Barbuda,15,,,,,15,1,153,
Guinea-Bissau,15,,,,,15,,8,
Dominica,14,,,,,14,,194,
Mongolia,14,,,,2,12,,4,
Namibia,14,,,,3,11,,6,
Saint Lucia,13,,,,1,12,,71,
Grenada,12,,,,,12,2,107,
Curaao,11,,1,,3,7,,67,6
Sudan,10,,2,,2,6,,0.2,0.05
Suriname,10,,1,,,9,,17,2
Greenland,10,,,,3,7,,176,
Laos,10,,,,,10,,1,
Mozambique,10,,,,,10,,0.3,
Seychelles,10,,,,,10,,102,
MS Zaandam,9,,2,,,7,,,
Zimbabwe,9,,1,,,8,,0.6,0.07
Saint Kitts and Nevis,9,,,,,9,,169,
Eswatini,9,,,,,9,,8,
Angola,8,,2,,1,5,,0.2,0.06
CAR,8,,,,,8,,2,
Chad,8,,,,,8,,0.5,
Fiji,7,,,,,7,,8,
Vatican City,7,,,,,7,,8739,
Liberia,7,,,,,7,,1,
St. Vincent Grenadines,7,,,,1,6,,63,
Somalia,7,,,,1,6,,0.4,
Cabo Verde,6,,1,,,5,,11,2
Mauritania,6,,1,,2,3,,1,0.2
Nepal,6,,,,1,5,,0.2,
Montserrat,6,,,,,6,,1202,
St. Barth,6,,,,1,5,,607,
Nicaragua,5,,1,,,4,,0.8,0.2
Bhutan,5,,,,2,3,,6,
Turks and Caicos,5,,,,,5,,129,
Botswana,4,,1,,,3,,2,0.4
Gambia,4,,1,,2,1,,2,0.4
Belize,4,,,,,4,,10,
Anguilla,3,,,,,3,,200,
British Virgin Islands,3,,,,,3,,99,
Burundi,3,,,,,3,,0.3,
Malawi,3,,,,,3,,0.2,
Caribbean Netherlands,2,,,,,2,,76,
Sierra Leone,2,,,,,2,,0.3,
Falkland Islands,1,,,,,1,,287,
Papua New Guinea,1,,,,,1,,0.1,
Timor-Leste,1,,,,,1,,0.8,
China,81639,19,3326,4,76755,1558,331,57,2
