Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,Reported1st case
USA,188530,24742,3889,748,7251,177390,4576,570,12,Jan 20
Italy,105792,4053,12428,837,15729,77635,4023,1750,206,Jan 29
Spain,95923,7967,8464,748,19259,68200,5607,2052,181,Jan 30
Germany,71808,4923,775,130,16100,54933,2675,857,9,Jan 26
France,52128,7578,3523,499,9444,39161,5565,799,54,Jan 23
Iran,44605,3110,2898,141,14656,27051,3703,531,35,Feb 18
UK,25150,3009,1789,381,135,23226,163,370,26,Jan 30
Switzerland,16605,683,433,74,1823,14349,301,1919,50,Feb 24
Turkey,13531,2704,214,46,243,13074,622,160,3,Mar 09
Belgium,12775,876,705,192,1696,10374,1021,1102,61,Feb 03
Netherlands,12595,845,1039,175,250,11306,1053,735,61,Feb 26
Austria,10180,562,128,20,1095,8957,198,1130,14,Feb 24
S. Korea,9786,125,162,4,5408,4216,55,191,3,Jan 19
Canada,8612,1164,101,12,1242,7269,120,228,3,Jan 24
Portugal,7443,1035,160,20,43,7240,188,730,16,Mar 01
Brazil,5717,1087,201,38,127,5389,296,27,0.9,Feb 24
Israel,5358,663,20,4,224,5114,94,619,2,Feb 20
Australia,4763,303,20,1,345,4398,28,187,0.8,Jan 24
Norway,4641,196,39,7,13,4589,97,856,7,Feb 25
Sweden,4435,407,180,34,16,4239,358,439,18,Jan 30
Czechia,3308,307,31,8,45,3232,64,309,3,Feb 29
Ireland,3235,325,71,17,5,3159,103,655,14,Feb 28
Denmark,2860,283,90,13,1,2769,145,494,16,Feb 26
Malaysia,2766,140,43,6,537,2186,94,85,1,Jan 24
Chile,2738,289,12,4,156,2570,14,143,0.6,Mar 02
Russia,2337,501,17,8,121,2199,8,16,0.1,Jan 30
Poland,2311,256,33,2,7,2271,50,61,0.9,Mar 03
Ecuador,2302,336,79,17,58,2165,100,130,4,Feb 28
Romania,2245,136,82,17,220,1943,62,117,4,Feb 25
Japan,2229,276,66,10,424,1739,69,18,0.5,Jan 14
Luxembourg,2178,190,23,1,80,2075,31,3479,37,Feb 28
Philippines,2084,538,88,10,49,1947,1,19,0.8,Jan 29
Pakistan,1938,221,26,5,76,1836,12,9,0.1,Feb 25
Thailand,1651,127,10,1,342,1299,23,24,0.1,Jan 12
Saudi Arabia,1563,110,10,2,165,1388,31,45,0.3,Mar 01
Indonesia,1528,114,136,14,81,1311,,6,0.5,Mar 01
Finland,1418,66,17,4,10,1391,56,256,3,Jan 28
India,1397,146,35,3,123,1239,,1,0.03,Jan 29
South Africa,1353,27,5,2,31,1317,7,23,0.08,Mar 04
