Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Continent
North America,725294,734,36754,45,70345,618195,14453,,,,,North America
Europe,1015516,9,92224,,275293,647999,27806,,,,,Europe
Asia,346018,48,12427,1,165863,167728,6471,,,,,Asia
South America,67640,49,3059,2,25983,38598,7601,,,,,South America
Oceania,7974,8,74,2,4564,3336,70,,,,,Australia/Oceania
Africa,19034,41,969,1,4603,13462,180,,,,,Africa
,721,,14,,644,63,7,,,,,
World,2182197,889,145521,51,547295,1489381,56588,280,18.7,,,All
USA,677570,,34617,,57508,585445,13369,2047,105,3398140,10266,North America
Spain,184948,,19315,,74797,90836,7371,3956,413,930230,19896,Europe
Italy,168941,,22170,,40164,106607,2936,2794,367,1178403,19490,Europe
France,165027,,17920,,32812,114295,6248,2528,275,333807,5114,Europe
Germany,137698,,4052,,77000,56646,4288,1643,48,1728357,20629,Europe
UK,103093,,13729,,N/A,89020,1559,1519,202,417649,6152,Europe
Iran,77995,,4869,,52229,20897,3594,929,58,310340,3695,Asia
Turkey,74193,,1643,,7089,65461,1854,880,19,518143,6144,Asia
Belgium,34809,,4857,,7562,22390,1182,3003,419,134303,11588,Europe
Brazil,30683,,1947,,14026,14710,6634,144,9,62985,296,South America
Canada,30106,,1195,,9729,19182,557,798,32,487625,12920,North America
Netherlands,29214,,3315,,250,25649,1279,1705,193,147948,8634,Europe
Russia,27938,,232,,2304,25402,8,191,2,1613413,11056,Europe
Switzerland,26732,,1281,,15900,9551,386,3089,148,206400,23849,Europe
Portugal,18841,,629,,493,17719,229,1848,62,208314,20430,Europe
Austria,14476,,410,,8986,5080,238,1607,46,162816,18078,Europe
India,13430,,448,,1768,11214,,10,0.3,302956,220,Asia
Ireland,13271,,486,,77,12708,156,2688,98,90646,18358,Europe
Israel,12758,,142,,2818,9798,181,1474,16,187250,21634,Asia
Sweden,12540,,1333,,550,10657,522,1242,132,74600,7387,Europe
Peru,12491,,274,,6120,6097,169,379,8,121468,3684,South America
S. Korea,10635,22,230,1,7829,2576,55,207,4,546463,10659,Asia
Japan,9231,,190,,935,8106,193,73,2,100703,796,Asia
Chile,8807,,105,,3299,5403,384,461,5,98424,5149,South America
Ecuador,8225,,403,,838,6984,168,466,23,27868,1580,South America
Poland,7918,,314,,774,6830,160,209,8,169071,4467,Europe
Romania,7707,,392,,1357,5958,243,401,20,79629,4139,Europe
Pakistan,6919,,128,,1645,5146,46,31,0.6,78979,358,Asia
Norway,6905,,152,,32,6721,64,1274,28,133707,24664,Europe
Denmark,6879,,321,,3023,3535,92,1188,55,82380,14223,Europe
Australia,6468,,63,,3747,2658,66,254,2,380003,14902,Australia/Oceania
Czechia,6433,,169,,972,5292,75,601,16,146004,13634,Europe
Saudi Arabia,6380,,83,,990,5307,71,183,2,150000,4309,Asia
Mexico,6297,450,486,37,2125,3686,207,49,4,40091,311,North America
UAE,5825,,35,,1095,4695,1,589,4,767000,77550,Asia
Philippines,5660,,362,,435,4863,1,52,3,48171,440,Asia
Indonesia,5516,,496,,548,4472,,20,2,36000,132,Asia
Serbia,5318,,103,,443,4772,120,609,12,29472,3373,Europe
Malaysia,5182,,84,,2766,2332,56,160,3,87183,2694,Asia
Singapore,4427,,10,,683,3734,29,757,2,72680,12423,Asia
Belarus,4204,,40,,203,3961,65,445,4,81246,8598,Europe
Ukraine,4161,,116,,186,3859,45,95,3,42823,979,Europe
Qatar,4103,,7,,415,3681,37,1424,2,56381,19570,Asia
Panama,4016,265,109,6,98,3809,99,931,25,17850,4137,North America
Dominican Republic,3755,,196,,215,3344,121,346,18,12229,1127,North America
Luxembourg,3444,,69,,552,2823,35,5502,110,31660,50577,Europe
Finland,3369,,75,,1700,1594,76,608,14,49700,8970,Europe
Colombia,3233,,144,,550,2539,98,64,3,52085,1024,South America
Egypt,2673,,196,,596,1881,,26,2,25000,244,Africa
Thailand,2672,,46,,1593,1033,61,38,0.7,100498,1440,Asia
Argentina,2669,,122,,631,1916,121,59,3,26457,585,South America
South Africa,2605,,48,,903,1654,7,44,0.8,95060,1603,Africa
Morocco,2283,,130,,249,1904,1,62,4,11996,325,Africa
Algeria,2268,,348,,783,1137,60,52,8,3359,77,Africa
Greece,2207,,105,,269,1833,69,212,10,50771,4871,Europe
Moldova,2154,,54,,235,1865,80,534,13,9208,2283,Europe
Croatia,1791,,35,,529,1227,31,436,9,20158,4910,Europe
Iceland,1739,,8,,1144,587,6,5096,23,38204,111955,Europe
Bahrain,1700,,7,,703,990,3,999,4,76630,45035,Asia
Hungary,1652,,142,,199,1311,60,171,15,38489,3984,Europe
Bangladesh,1572,,60,,49,1463,1,10,0.4,17003,103,Asia
Kuwait,1524,,3,,225,1296,32,357,0.7,,,Asia
Iraq,1434,,80,,856,498,,36,2,49260,1225,Asia
Estonia,1434,,36,,133,1265,10,1081,27,36024,27156,Europe
New Zealand,1409,8,11,2,816,582,2,292,2,74401,15429,Australia/Oceania
Kazakhstan,1402,,17,,277,1108,22,75,0.9,85735,4566,Asia
Uzbekistan,1349,,4,,129,1216,8,40,0.1,100000,2988,Asia
Azerbaijan,1283,,15,,460,808,28,127,1,75397,7436,Asia
Slovenia,1268,,61,,174,1033,31,610,29,38137,18344,Europe
