Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop"
World,1274543,1681,69487,62,264838,940218,45900,164,8.9,,
USA,336830,157,9618,2,17977,309235,8702,1018,29,1772369,5355
Spain,131646,,12641,,38080,80925,6861,2816,270,355000,7593
Italy,128948,,15887,,21815,91246,3977,2133,263,691461,11436
Germany,100123,,1584,,28700,69839,3936,1195,19,918460,10962
France,92839,,8078,,16183,68578,6838,1422,124,224254,3436
Iran,58226,,3603,,22011,32612,4103,693,43,186000,2214
UK,47806,,4934,,135,42737,1559,704,73,195524,2880
Turkey,27069,,574,,1042,25453,1381,321,7,181445,2151
Switzerland,21100,,715,,6415,13970,391,2438,83,158000,18256
Belgium,19691,,1447,,3751,14493,1261,1699,125,70000,6040
Netherlands,17851,,1766,,250,15835,1385,1042,103,75415,4401
Canada,15512,,280,,2942,12290,426,411,7,330901,8767
Austria,12051,,204,,2998,8849,244,1338,23,108416,12038
Brazil,11281,27,487,1,127,10667,296,53,2,54824,258
Portugal,11278,,295,,75,10908,267,1106,29,86370,8470
S. Korea,10284,47,186,3,6598,3500,55,201,4,461233,8996
Israel,8611,181,51,2,477,8083,141,995,6,109724,12677
Sweden,6830,,401,,205,6224,541,676,40,36900,3654
Australia,5788,38,39,2,2315,3434,95,227,2,301087,11807
Norway,5759,72,71,,32,5656,89,1062,13,105865,19528
Russia,5389,,45,,355,4989,8,37,0.3,697000,4776
Ireland,4994,,158,,25,4811,165,1011,32,30213,6119
Czechia,4587,,67,,96,4424,86,428,6,80304,7499
Chile,4471,,34,,618,3819,307,234,2,51956,2718
Denmark,4369,,179,,1327,2863,142,754,31,49249,8503
India,4314,25,118,,328,3868,,3,0.09,140293,102
Poland,4102,,94,,134,3874,50,108,2,80757,2134
Romania,3864,,156,5,374,3334,141,201,8,38623,2008
Malaysia,3662,,61,,1005,2596,99,113,2,51937,1605
Japan,3654,,85,,575,2994,69,29,0.7,44639,353
Ecuador,3646,,180,,100,3366,100,207,10,12386,702
Philippines,3414,168,152,,64,3198,1,31,1,22958,210
Pakistan,3277,120,50,3,257,2970,17,15,0.2,35875,162
Luxembourg,2804,,36,,500,2268,33,4479,58,23687,37840
Saudi Arabia,2402,,34,,488,1880,41,69,1.0,,
Peru,2281,,83,,989,1209,81,69,3,19410,589
Indonesia,2273,,198,,164,1911,,8,0.7,9712,36
Thailand,2220,51,26,3,793,1401,23,32,0.4,25071,359
Mexico,2143,253,94,15,633,1416,293,17,0.7,18034,140
Panama,1988,187,54,8,13,1921,78,461,13,9749,2259
Finland,1927,,28,,300,1599,73,348,5,31714,5724
Serbia,1908,,51,,54,1803,98,218,6,7360,842
UAE,1799,,10,,144,1645,1,182,1,220000,22244
Dominican Republic,1745,,82,,17,1646,147,161,8,4542,419
Greece,1735,,73,,78,1584,93,166,7,25453,2442
South Africa,1655,,11,,95,1549,7,28,0.2,56873,959
Qatar,1604,,4,,123,1477,37,557,1,35757,12411
Argentina,1554,,46,,280,1228,86,34,1,8488,188
Iceland,1486,,4,,428,1054,11,4355,12,25394,74416
Colombia,1485,,35,,88,1362,50,29,0.7,23706,466
Algeria,1320,,152,,90,1078,46,30,3,3359,77
Singapore,1309,,6,,320,983,25,224,1,40000,6837
Ukraine,1308,,37,,28,1243,16,30,0.8,5493,126
Croatia,1182,,15,,125,1042,39,288,4,10874,2649
Egypt,1173,,78,,247,848,,11,0.8,25000,244
New Zealand,1106,67,1,,176,929,3,229,0.2,39918,8278
Estonia,1097,,15,,62,1020,17,827,11,21004,15834
Morocco,1021,,70,,76,875,1,28,2,4848,131
Slovenia,997,,28,,79,890,31,480,13,27764,13355
Iraq,961,,61,,279,621,,24,2,,
Hong Kong,891,,4,,206,681,8,119,0.5,96709,12900
Moldova,864,,15,,30,819,80,214,4,,
Armenia,822,,7,,57,758,30,277,2,4666,1575
Lithuania,811,,14,1,7,790,11,298,5,23645,8686
Hungary,744,11,38,4,67,639,17,77,4,22282,2307
Diamond Princess,712,,11,,619,82,10,,,,
Bahrain,700,,4,,431,265,3,411,2,44386,26085
Bosnia and Herzegovina,654,,23,,30,601,4,199,7,5934,1809
Cameroon,650,,9,,17,624,,24,0.3,,
Azerbaijan,584,,7,,32,545,17,58,0.7,40000,3945
Kazakhstan,584,,6,,42,536,6,31,0.3,5093,271
Tunisia,574,,22,,5,547,39,49,2,7145,605
Belarus,562,,8,,52,502,11,59,0.8,32000,3386
Kuwait,556,,1,,99,456,17,130,0.2,,
North Macedonia,555,,18,,23,514,15,266,9,5291,2540
Bulgaria,541,10,21,1,37,483,22,78,3,15899,2288
Latvia,533,,1,,1,531,4,283,0.5,20680,10964
Lebanon,527,,18,,54,455,28,77,3,9411,1379
Andorra,501,,18,,26,457,12,6484,233,,
Slovakia,485,,1,,10,474,3,89,0.2,15155,2776
Costa Rica,454,,2,,16,436,14,89,0.4,5098,1001
Cyprus,446,,9,,37,400,11,369,7,10946,9066
Uruguay,406,,6,,104,296,14,117,2,5208,1499
Uzbekistan,390,48,2,,30,358,8,12,0.06,,
Afghanistan,367,18,7,,17,343,,9,0.2,,
Taiwan,363,,5,,54,304,,15,0.2,37219,1563
Albania,361,,20,,104,237,7,125,7,2396,833
Burkina Faso,345,,17,,90,238,,17,0.8,,
Jordan,345,,5,,110,230,5,34,0.5,,
Runion,344,,,,40,304,4,384,,,
Cuba,320,,8,,15,297,11,28,0.7,5234,462
Channel Islands,309,,6,,27,276,,1777,35,,
Honduras,298,30,22,,6,270,10,30,2,,
Oman,298,,2,,61,235,3,58,0.4,,
San Marino,266,,32,,35,199,14,7839,943,586,17270
Ivory Coast,261,,3,,37,221,,10,0.1,,
Vietnam,241,,,,91,150,8,2,,88551,910
Palestine,237,,1,,25,211,,46,0.2,12738,2497
Nigeria,232,,5,,33,194,2,1,0.02,4000,19
Mauritius,227,,7,,7,213,1,178,6,,
Malta,227,,,,5,222,3,514,,10358,23459
Senegal,222,,2,,82,138,1,13,0.1,,
Kyrgyzstan,216,69,4,3,33,179,5,33,0.6,9618,1474
Ghana,214,,5,,31,178,2,7,0.2,,
Montenegro,214,,2,,1,211,4,341,3,1637,2606
Niger,184,,10,,13,161,,8,0.4,4012,166
Bolivia,183,26,11,1,2,170,3,16,0.9,591,51
Faeroe Islands,181,,,,99,82,1,3704,,4890,100076
Sri Lanka,176,,5,,33,138,5,8,0.2,3248,152
Georgia,174,,2,,36,136,6,44,0.5,2762,692
Venezuela,159,,7,,52,100,6,6,0.2,1779,63
DRC,154,,18,,3,133,,2,0.2,,
Martinique,149,,4,,50,95,21,397,11,,
Mayotte,147,,2,,14,131,3,539,7,479,1756
Kenya,142,,4,,4,134,2,3,0.07,3836,71
Guadeloupe,135,,7,,31,97,14,337,17,,
Brunei,135,,1,,73,61,3,309,2,8129,18581
Isle of Man,127,,1,,,126,,1494,12,1334,15688
Guinea,121,,,,5,116,,9,,,
Cambodia,114,,,,53,61,1,7,,5768,345
Paraguay,113,9,5,2,12,96,8,16,0.7,1877,263
Trinidad and Tobago,105,1,7,,1,97,,75,5,825,590
Rwanda,104,,,,4,100,,8,,,
Gibraltar,103,,,,52,51,,3057,,1345,39922
Bangladesh,88,,10,1,33,45,1,0.5,0.06,2914,18
Liechtenstein,77,,1,,,76,,2020,26,900,23605
Monaco,73,,1,,3,69,4,1860,25,,
Madagascar,72,,,,2,70,6,3,,,
Guatemala,70,,3,,15,52,3,4,0.2,1134,63
El Salvador,69,7,3,,2,64,4,11,0.5,,
French Guiana,68,,,,27,41,1,228,,,
Aruba,64,,,,1,63,,599,,869,8139
Djibouti,59,,,,9,50,,60,,,
Jamaica,58,,3,,8,47,,20,1,540,182
Barbados,56,,1,,6,49,4,195,3,527,1834
Uganda,52,,,,,52,,1,,2629,57
Congo,45,,5,,2,38,,8,0.9,,
Mali,45,,5,,1,39,,2,0.2,,
Togo,44,,3,,20,21,,5,0.4,,
Macao,44,,,,10,34,,68,,,
Ethiopia,43,,2,,4,37,1,0.4,0.02,1843,16
French Polynesia,41,,,,,41,,146,,612,2179
Cayman Islands,39,,1,,1,37,,593,15,365,5554
Zambia,39,,1,,3,35,,2,0.05,619,34
Sint Maarten,37,12,6,2,1,30,,863,140,105,2449
Bermuda,37,,,,14,23,,594,,298,4785
Saint Martin,32,,2,,7,23,6,828,52,,
Bahamas,29,,5,,4,20,1,74,13,,
Guyana,29,5,4,,,25,,37,5,110,140
Eritrea,29,,,,,29,,8,,,
Tanzania,22,,1,,3,18,,0.4,0.02,,
Benin,22,,,,5,17,,2,,,
Gabon,21,,1,,1,19,,9,0.4,,
Haiti,21,,1,,1,19,,2,0.09,247,22
Myanmar,21,,1,,,20,,0.4,0.02,,
Syria,19,,2,,2,15,,1,0.1,,
Maldives,19,,,,13,6,,35,,,
Libya,18,,1,,,17,,3,0.1,294,43
Guinea-Bissau,18,,,,,18,,9,,,
New Caledonia,18,,,,1,17,,63,,1983,6946
Equatorial Guinea,16,,,,1,15,,11,,,
Namibia,16,,,,3,13,,6,,301,118
Antigua and Barbuda,15,,,,,15,1,153,,40,408
Mongolia,15,1,,,2,13,,5,,,
Angola,14,,2,,2,10,,0.4,0.06,,
Dominica,14,,,,,14,,194,,255,3542
Fiji,14,2,,,,14,,16,,,
Saint Lucia,14,,,,1,13,,76,,,
Liberia,13,,3,,3,7,,3,0.6,,
Sudan,12,,2,,2,8,,0.3,0.05,,
Grenada,12,,,,,12,2,107,,45,400
Curaao,11,,1,,5,5,,67,6,,
Greenland,11,,,,3,8,,194,,542,9547
Laos,11,,,,,11,,2,,604,83
Suriname,10,,1,,,9,,17,2,,
Mozambique,10,,,,1,9,,0.3,,338,11
Saint Kitts and Nevis,10,,,,,10,,188,,149,2801
Seychelles,10,,,,,10,,102,,,
MS Zaandam,9,,2,,,7,,,,,
Zimbabwe,9,,1,,,8,,0.6,0.07,316,21
Nepal,9,,,,1,8,,0.3,,1642,56
Chad,9,,,,,9,,0.5,,,
Eswatini,9,,,,,9,,8,,,
CAR,8,,,,,8,,2,,,
Cabo Verde,7,,1,,,6,,13,2,,
Vatican City,7,,,,,7,,8739,,,
St. Vincent Grenadines,7,,,,1,6,,63,,,
Somalia,7,,,,1,6,,0.4,,,
Botswana,6,,1,,,5,,3,0.4,966,411
Mauritania,6,,1,,2,3,,1,0.2,67,14
Nicaragua,6,,1,,,5,,0.9,0.2,,
Montserrat,6,,,,,6,,1202,,,
St. Barth,6,,,,1,5,,607,,,
Sierra Leone,6,,,,,6,,0.8,,,
Belize,5,,1,1,,4,1,13,3,102,257
Turks and Caicos,5,,1,,,4,,129,26,,
Bhutan,5,,,,2,3,,6,,,
Gambia,4,,1,,2,1,,2,0.4,,
Malawi,4,,,,,4,,0.2,,,
Western Sahara,4,,,,,4,,7,,,
Anguilla,3,,,,,3,,200,,,
British Virgin Islands,3,,,,,3,,99,,,
Burundi,3,,,,,3,,0.3,,,
Caribbean Netherlands,2,,,,,2,,76,,10,381
Falkland Islands,2,,,,,2,,575,,,
Papua New Guinea,1,,,,,1,,0.1,,72,8
Saint Pierre Miquelon,1,,,,,1,,173,,,
South Sudan,1,,,,,1,,0.09,,,
Timor-Leste,1,,,,,1,,0.8,,,
China,81708,39,3331,2,77078,1299,265,57,2,,
