Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Continent
North America,1085122,20519,61274,1319,167034,856814,15438,,,,,North America
Europe,1300838,24030,123920,2035,446387,730531,25070,,,,,Europe
Asia,483053,10786,17575,332,236485,228993,5977,,,,,Asia
South America,143841,5921,6716,427,51529,85596,9771,,,,,South America
Oceania,8290,4,102,1,6838,1350,46,,,,,Australia/Oceania
Africa,33786,1129,1463,36,10448,21875,140,,,,,Africa
,721,,15,,645,61,4,,,,,
World,3055651,62389,211065,4150,919366,1925220,56446,392,27.1,,,All
USA,1004942,17782,56527,1114,137591,810824,14175,3036,171,5661256,17103,North America
Spain,229422,2793,23521,331,120832,85069,7764,4907,503,1345560,28779,Europe
Italy,199414,1739,26977,333,66624,105813,1956,3298,446,1789662,29600,Europe
France,165842,3742,23293,437,45513,97036,4608,2541,357,463662,7103,Europe
Germany,158389,619,6050,74,114500,37839,2570,1890,72,2072669,24738,Europe
UK,157149,4309,21092,360,N/A,135713,1559,2315,311,719910,10605,Europe
Turkey,112261,2131,2900,95,33791,75570,1736,1331,34,918885,10895,Asia
Iran,91472,991,5806,96,70933,14733,3011,1089,69,432329,5147,Asia
Russia,87147,6198,794,47,7346,79007,2300,597,5,3019434,20690,Europe
Brazil,66501,3642,4543,272,31142,30816,8318,313,21,291922,1373,South America
Canada,48242,1347,2702,142,18100,27440,557,1278,72,717451,19009,North America
Belgium,46687,553,7207,113,10878,28602,903,4028,622,214042,18468,Europe
Netherlands,38245,400,4518,43,N/A,33477,905,2232,264,193950,11319,Europe
India,29451,1561,939,58,7137,21375,,21,0.7,665819,482,Asia
Switzerland,29164,103,1665,55,22200,5299,185,3370,192,245300,28343,Europe
Peru,28699,1182,782,54,8425,19492,598,870,24,239563,7266,South America
Portugal,24027,163,928,25,1357,21742,176,2356,91,360155,35321,Europe
Ecuador,23240,521,663,87,1557,21020,146,1317,38,61529,3487,South America
Ireland,19648,386,1102,15,9233,9313,146,3979,223,127319,25785,Europe
Sweden,18926,286,2274,80,1005,15647,399,1874,225,94500,9357,Europe
Saudi Arabia,18811,1289,144,5,2531,16136,117,540,4,200000,5745,Asia
Israel,15555,112,204,3,7200,8151,129,1797,24,302691,34971,Asia
Austria,15274,49,549,7,12362,2363,140,1696,61,232537,25819,Europe
Mexico,14677,835,1351,46,8354,4972,378,114,10,67635,525,North America
Singapore,14423,799,14,2,1095,13314,20,2465,2,121774,20815,Asia
Pakistan,13915,587,292,11,3029,10594,111,63,1,150756,682,Asia
Chile,13813,482,198,9,7327,6288,426,723,10,161235,8434,South America
Japan,13441,,372,,1809,11260,296,106,3,149074,1179,Asia
Poland,11902,285,562,27,2466,8874,160,314,15,297859,7870,Europe
Romania,11339,303,641,22,3141,7557,227,589,33,143834,7477,Europe
Belarus,11289,826,75,3,1740,9474,92,1195,8,153845,16281,Europe
Qatar,11244,957,10,,1066,10168,72,3903,3,85709,29749,Asia
UAE,10839,490,82,6,2090,8667,1,1096,8,1057326,106904,Asia
S. Korea,10738,10,243,1,8764,1731,55,209,5,601660,11735,Asia
Indonesia,9096,214,765,22,1151,7180,,33,3,75157,275,Asia
Ukraine,9009,392,220,11,864,7925,110,206,5,93519,2138,Europe
Denmark,8698,123,427,5,5959,2312,72,1502,74,155810,26900,Europe
Serbia,8275,233,162,6,1209,6904,85,947,19,67917,7773,Europe
Philippines,7777,198,511,10,932,6334,31,71,5,89889,820,Asia
Norway,7554,27,205,4,32,7317,52,1393,38,164316,30310,Europe
Czechia,7431,27,222,2,2826,4383,73,694,21,218474,20401,Europe
Australia,6720,4,83,,5586,1051,43,264,3,517063,20277,Australia/Oceania
Dominican Republic,6293,158,282,4,993,5018,144,580,26,22498,2074,North America
Bangladesh,5913,497,152,7,131,5630,1,36,0.9,50401,306,Asia
Malaysia,5820,40,99,1,3957,1764,37,180,3,144686,4470,Asia
Panama,5779,241,165,6,369,5245,85,1339,38,26642,6175,North America
Colombia,5379,,244,,1133,4002,117,106,5,87199,1714,South America
South Africa,4793,247,90,3,1473,3230,36,81,2,178470,3009,Africa
Egypt,4782,248,337,20,1236,3209,,47,3,90000,879,Africa
Finland,4695,119,193,3,2500,2002,56,847,35,82437,14878,Europe
Morocco,4120,55,162,1,695,3263,1,112,4,29254,793,Africa
Argentina,3892,,192,,1140,2560,144,86,4,49905,1104,South America
Luxembourg,3729,6,88,,3123,518,20,5957,141,39102,62465,Europe
Algeria,3517,135,432,7,1558,1527,40,80,10,6500,148,Africa
Moldova,3481,73,102,6,925,2454,212,863,25,11763,2916,Europe
Kuwait,3288,213,22,2,1012,2254,64,770,5,,,Asia
Thailand,2931,9,52,1,2609,270,61,42,0.7,178083,2551,Asia
