Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop"
World,1117918,1275,59203,42,229000,829715,39391,143,7.6,,
USA,277475,314,7402,10,12283,257790,5787,838,22,1355091,4094
Italy,119827,,14681,,19758,85388,4068,1982,243,619849,10252
Spain,119199,,11198,,30513,77488,6416,2549,240,355000,7593
Germany,91159,,1275,,24575,65309,3936,1088,15,918460,10962
France,82165,,6507,,14008,61650,6662,1259,100,224254,3436
Iran,53183,,3294,,17935,31954,4035,633,39,80000,952
UK,38168,,3605,,135,34428,163,562,53,173784,2560
Turkey,20921,,425,,484,20012,1251,248,5,141716,1680
Switzerland,19606,,591,,4846,14169,348,2265,68,139330,16099
Belgium,16770,,1143,,2872,12755,1205,1447,99,62867,5424
Netherlands,15723,,1487,,250,13986,1324,918,87,46810,2732
Canada,12549,174,208,,2186,10155,120,332,6,302745,8021
Austria,11524,,168,,2022,9334,245,1280,19,98343,10919
S. Korea,10156,94,177,3,6325,3654,55,198,3,455032,8875
Portugal,9886,,246,,68,9572,245,970,24,52086,5108
Brazil,9216,22,365,2,127,8724,296,43,2,54824,258
Israel,7428,,40,,403,6985,113,858,5,90394,10443
Sweden,6131,,358,,205,5568,469,607,35,36900,3654
Australia,5454,,30,2,585,4839,85,214,1,277355,10877
Norway,5370,,59,,32,5279,96,991,11,101986,18812
Ireland,4273,,120,,25,4128,148,865,24,30213,6119
Czechia,4190,,53,,72,4065,77,391,5,67281,6283
Russia,4149,,34,,281,3834,8,28,0.2,575000,3940
Denmark,3757,,139,,1193,2425,153,649,24,40863,7055
Chile,3737,,22,,427,3288,31,195,1,35142,1838
Poland,3383,,71,,56,3256,50,89,2,66938,1769
Ecuador,3368,,145,,65,3158,100,191,8,10317,585
Malaysia,3333,,53,,827,2453,108,103,2,47723,1474
Romania,3183,,133,,283,2767,83,165,7,31657,1646
India,3082,23,86,,229,2767,,2,0.06,116608,84
Philippines,3018,,136,,52,2830,1,28,1,5265,48
Japan,2935,,69,,514,2352,60,23,0.5,39446,312
Pakistan,2708,22,40,,130,2538,10,12,0.2,30308,137
Luxembourg,2612,,31,,500,2081,33,4173,50,21463,34287
Thailand,2067,89,20,1,612,1435,23,30,0.3,23669,339
Saudi Arabia,2039,,25,,351,1663,41,59,0.7,,
Indonesia,1986,,181,,134,1671,,7,0.7,7193,26
Mexico,1688,178,60,10,633,995,1,13,0.5,15668,122
Panama,1673,,41,,10,1622,50,388,10,7333,1700
Finland,1615,,20,,300,1295,72,291,4,26500,4783
Greece,1613,,63,,78,1472,92,155,6,22437,2153
Peru,1595,,61,,537,997,51,48,2,16518,501
South Africa,1505,,9,,95,1401,7,25,0.2,50361,849
Dominican Republic,1488,,68,,16,1404,147,137,6,4200,387
Serbia,1476,,39,,54,1383,81,169,4,5756,659
Iceland,1364,,4,,309,1051,12,3997,12,22195,65042
Argentina,1353,,42,,266,1045,,30,0.9,7385,163
Colombia,1267,,25,,55,1187,50,25,0.5,21202,417
UAE,1264,,9,,108,1147,2,128,0.9,220000,22244
Algeria,1171,,105,,62,1004,,27,2,3359,77
Singapore,1114,,6,1,282,826,24,190,1,39000,6666
Croatia,1079,,8,,92,979,39,263,2,8352,2034
Qatar,1075,,3,,93,979,37,373,1,28413,9862
Ukraine,1072,,27,,22,1023,16,25,0.6,4404,101
Egypt,985,,66,,216,703,,10,0.6,25000,244
Estonia,961,,12,,48,901,16,724,9,18290,13788
New Zealand,950,82,1,,127,822,1,197,0.2,33116,6867
Slovenia,934,,20,,70,844,31,449,10,25921,12468
Hong Kong,845,,4,,173,668,8,113,0.5,90000,12005
Iraq,820,,54,,226,540,,20,1,,
Morocco,791,,48,,57,686,1,21,1,3910,106
Lithuania,771,75,9,,7,755,11,283,3,18432,6771
Armenia,736,,7,,43,686,30,248,2,3994,1348
Diamond Princess,712,,11,,619,82,10,,,,
Hungary,678,55,32,6,58,588,17,70,3,19424,2011
Bahrain,672,,4,,382,286,3,395,2,37996,22330
Moldova,591,,8,,26,557,65,147,2,169,42
Bosnia and Herzegovina,579,,17,,27,535,4,176,5,4696,1431
Cameroon,509,,8,,17,484,,19,0.3,,
Lebanon,508,,17,,50,441,26,74,2,7828,1147
Kazakhstan,500,36,6,,35,459,6,27,0.3,316,17
Tunisia,495,,18,,5,472,26,42,2,5736,485
Latvia,493,,1,,1,491,3,261,0.5,18198,9648
Bulgaria,485,,14,,30,441,21,70,2,566,81
Slovakia,450,,1,,10,439,3,82,0.2,11742,2151
Azerbaijan,443,,5,,32,406,7,44,0.5,35000,3452
Andorra,439,,16,,16,407,12,5682,207,,
North Macedonia,430,,12,,20,398,8,206,6,4506,2163
Kuwait,417,,1,1,82,334,16,98,0.2,,
Costa Rica,416,,2,,11,403,13,82,0.4,3845,755
Cyprus,396,,11,,28,357,11,328,9,9447,7825
Uruguay,386,,4,,86,296,13,111,1,4786,1378
Belarus,351,,4,,53,294,11,37,0.4,32000,3386
Taiwan,348,,5,,50,293,,15,0.2,34557,1451
Runion,321,,,,40,281,3,359,,,
Jordan,310,,5,,58,247,5,30,0.5,239,23
Albania,304,,17,,89,198,7,106,6,2031,706
Burkina Faso,302,,16,,50,236,,14,0.8,,
Afghanistan,299,18,6,,10,283,,8,0.2,,
