Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop
USA,235385,20382,5604,502,10324,219457,5421,711,17
Italy,115242,4668,13915,760,18278,83049,4053,1906,230
Spain,110238,6120,10096,709,26743,73399,6092,2358,216
Germany,84264,6283,1074,143,21400,61790,3936,1006,13
France,59105,2116,4503,471,12428,42174,6017,905,69
Iran,50468,2875,3160,124,16711,30597,3956,601,38
UK,33718,4244,2921,569,135,30662,163,497,43
Switzerland,18827,1059,536,48,4013,14278,348,2175,62
Turkey,18135,2456,356,79,415,17364,783,215,4
Belgium,15348,1384,1011,183,2495,11842,1144,1324,87
Netherlands,14697,1083,1339,166,250,13108,1053,858,78
Austria,11076,365,158,12,1749,9169,227,1230,18
Canada,11068,1337,134,20,1891,9043,120,293,4
S. Korea,9976,89,169,4,5828,3979,55,195,3
Portugal,9034,783,209,22,68,8757,230,886,20
Brazil,7031,151,252,10,127,6652,296,33,1
Israel,6808,716,34,8,289,6485,107,787,4
Sweden,5466,519,282,43,103,5081,429,541,28
Australia,5139,91,25,2,345,4769,50,202,1.0
Norway,5131,254,50,6,32,5049,96,946,9
Ireland,3849,402,98,13,5,3746,109,779,20
Czechia,3805,216,44,5,67,3694,72,355,4
Russia,3548,771,30,6,235,3283,8,24,0.2
Chile,3404,373,18,2,335,3051,31,178,0.9
Denmark,3386,279,123,19,1089,2174,153,585,21
Ecuador,3163,405,120,22,58,2985,100,179,7
Malaysia,3116,208,50,5,767,2299,105,96,2
Romania,2738,278,114,22,267,2357,78,142,6
Poland,2692,138,51,8,56,2585,50,71,1
Philippines,2633,322,107,11,51,2475,1,24,1.0
Luxembourg,2487,168,30,1,80,2377,31,3973,48
Pakistan,2386,268,33,6,107,2246,9,11,0.1
Japan,2384,,57,,472,1855,69,19,0.5
India,2341,343,68,10,177,2096,,2,0.05
Saudi Arabia,1885,165,21,5,328,1536,31,54,0.6
Thailand,1875,104,15,3,505,1355,23,27,0.2
Indonesia,1790,113,170,13,112,1508,,7,0.6
Greece,1544,129,53,2,61,1430,91,148,5
Finland,1518,72,19,2,300,1199,65,274,3
South Africa,1462,82,5,,50,1407,7,25,0.08
Peru,1414,91,47,9,394,973,49,43,1
Dominican Republic,1380,96,60,3,16,1304,147,127,6
Mexico,1378,163,37,8,35,1306,1,11,0.3
Iceland,1319,99,4,2,284,1031,12,3865,12
Panama,1317,,32,,9,1276,50,305,7
Serbia,1171,111,31,3,42,1098,81,134,4
Argentina,1133,,34,2,256,843,,25,0.8
Colombia,1065,,17,,39,1009,47,21,0.3
Singapore,1049,49,4,1,266,779,24,179,0.7
Croatia,1011,48,7,1,88,916,34,246,2
Algeria,986,139,63,5,61,862,,22,1
Slovenia,897,56,17,2,70,810,31,431,8
Estonia,858,79,11,6,45,802,16,647,8
Egypt,850,71,52,,179,619,,8,0.5
Qatar,835,,2,,71,762,37,290,0.7
UAE,814,,8,,61,745,2,82,0.8
Ukraine,804,10,20,,13,771,,18,0.5
Hong Kong,802,36,4,,154,644,8,107,0.5
New Zealand,797,89,1,,92,704,2,165,0.2
Iraq,772,44,54,2,202,516,,19,1
Diamond Princess,712,,11,,619,82,15,,
Morocco,691,37,44,5,30,617,1,19,1
Armenia,663,92,5,1,33,625,30,224,2
Lithuania,649,68,9,1,7,633,11,238,3
Bahrain,643,74,4,,381,258,3,378,2
Hungary,585,60,21,1,42,522,17,61,2
Bosnia and Herzegovina,532,73,16,3,20,496,4,162,5
Moldova,505,82,6,1,23,476,65,125,1
Lebanon,494,15,16,2,46,432,3,72,2
Latvia,458,12,,,1,457,3,243,
Bulgaria,457,35,10,,25,422,18,66,1
Tunisia,455,32,14,2,5,436,10,38,1
Kazakhstan,435,55,3,,27,405,6,23,0.2
Andorra,428,38,15,1,10,403,12,5539,194
Slovakia,426,26,1,,5,420,3,78,0.2
Azerbaijan,400,41,5,,26,369,7,39,0.5
North Macedonia,384,30,11,,17,356,4,184,5
Costa Rica,375,,2,,4,369,9,74,0.4
Cyprus,356,36,10,1,28,318,11,295,8
Uruguay,350,,4,2,62,284,15,101,1
Kuwait,342,25,,,81,261,15,80,
Taiwan,339,10,5,,50,284,,14,0.2
Runion,308,27,,,40,268,3,344,
Belarus,304,141,4,2,53,247,11,32,0.4
Jordan,299,21,5,,45,249,5,29,0.5
Burkina Faso,288,6,16,,50,222,,14,0.8
Cameroon,284,51,7,1,10,267,,11,0.3
Albania,277,18,16,1,67,194,7,96,6
Afghanistan,258,21,4,,10,244,,7,0.1
San Marino,236,,28,,13,195,16,6955,825
Cuba,233,21,6,,13,214,7,21,0.5
Oman,231,21,1,,57,173,3,45,0.2
Vietnam,227,9,,,75,152,3,2,
Honduras,219,47,14,4,3,202,4,22,1
Ghana,204,9,5,,31,168,2,7,0.2
Malta,196,8,,,2,194,2,444,
Senegal,195,5,1,,55,139,,12,0.06
Channel Islands,193,21,3,,,190,,1110,17
Uzbekistan,190,9,2,,25,163,8,6,0.06
Ivory Coast,190,,1,,9,180,,7,0.04
Faeroe Islands,177,4,,,81,96,1,3622,
Nigeria,174,,2,,9,163,,0.8,0.01
Mauritius,169,8,7,1,,162,1,133,6
Palestine,160,26,1,,18,141,,31,0.2
Sri Lanka,151,5,4,1,21,126,5,7,0.2
Venezuela,144,,3,,43,98,6,5,0.1
Montenegro,144,21,2,,,142,4,229,3
Martinique,135,,3,,27,105,16,360,8
Georgia,134,17,,,26,108,6,34,
Brunei,133,2,1,,56,76,3,304,2
Guadeloupe,128,3,6,,24,98,14,320,15
DRC,123,14,11,2,3,109,,1,0.1
Bolivia,123,8,8,1,1,114,3,11,0.7
Mayotte,116,15,1,,10,105,3,425,4
Kyrgyzstan,116,5,,,5,111,5,18,
Kenya,110,29,3,2,4,103,2,2,0.06
Cambodia,110,1,,,34,76,1,7,
Isle of Man,95,27,1,,,94,,1117,12
Trinidad and Tobago,90,,5,,1,84,,64,4
Gibraltar,88,7,,,46,42,,2612,
Rwanda,84,2,,,,84,,6,
Paraguay,77,8,3,,2,72,4,11,0.4
Liechtenstein,75,3,,,,75,,1967,
Niger,74,,5,,,69,,3,0.2
Monaco,60,5,1,,2,57,2,1529,25
Aruba,60,5,,,1,59,,562,
Madagascar,59,2,,,,59,6,2,
Bangladesh,56,2,6,,25,25,1,0.3,0.04
Guinea,52,22,,,,52,,4,
French Guiana,51,,,,15,36,,171,
Guatemala,47,8,1,,12,34,1,3,0.06
Barbados,45,,,,,45,,157,
Jamaica,44,,3,,2,39,,15,1
Uganda,44,,,,,44,,1.0,
El Salvador,41,8,2,,,39,4,6,0.3
Macao,41,,,,10,31,,63,
Djibouti,40,7,,,,40,,40,
Togo,39,3,2,,17,20,,5,0.2
Zambia,39,3,1,1,,38,,2,0.05
French Polynesia,37,,,,,37,1,132,
Mali,36,5,3,,,33,,2,0.1
Bermuda,32,,,,10,22,,514,
Ethiopia,29,,,,3,26,2,0.3,
Congo,22,,2,,2,18,,4,0.4
