Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop"
World,1161889,45246,62444,3274,241691,857754,39915,149,8.0,,
USA,293481,16320,7896,492,14405,271180,6199,887,24,1405020,4245
Spain,124736,5537,11744,546,34219,78773,6416,2668,251,355000,7593
Italy,124632,4805,15362,681,20996,88274,3994,2061,254,657224,10870
Germany,92150,991,1330,55,26400,64420,3936,1100,16,918460,10962
France,82165,,6507,,14008,61650,6662,1259,100,224254,3436
Iran,55743,2560,3452,158,19736,32555,4103,664,41,80000,952
UK,41903,3735,4313,708,135,37455,163,617,64,183190,2698
Turkey,20921,,425,,484,20012,1251,248,5,141716,1680
Switzerland,20278,672,641,50,4846,14791,391,2343,74,153440,17729
Belgium,18431,1661,1283,140,3247,13901,1245,1590,111,62867,5424
Netherlands,16627,904,1651,164,250,14726,1360,970,96,75415,4401
Canada,12924,549,214,6,2322,10388,120,342,6,302745,8021
Austria,11781,257,186,18,2507,9088,245,1308,21,104134,11562
Portugal,10524,638,266,20,75,10183,251,1032,26,81087,7952
S. Korea,10156,94,177,3,6325,3654,55,198,3,455032,8875
Brazil,9391,197,376,13,127,8888,296,44,2,54824,258
Israel,7589,161,44,4,427,7118,115,877,5,90394,10443
Sweden,6443,312,373,15,205,5865,379,638,37,36900,3654
Norway,5550,180,62,3,32,5456,98,1024,11,105865,19528
Australia,5550,96,30,2,585,4935,85,218,1,285675,11203
Russia,4731,582,43,9,333,4355,8,32,0.3,639000,4379
Czechia,4362,172,59,6,78,4225,87,407,6,74170,6926
Ireland,4273,,120,,25,4128,148,865,24,30213,6119
Chile,4161,424,27,5,528,3606,38,218,1,48613,2543
Denmark,4077,320,161,22,1283,2633,142,704,28,40863,7055
Poland,3627,244,79,8,116,3432,50,96,2,72901,1926
Romania,3613,430,146,13,329,3138,119,188,8,36092,1876
Malaysia,3483,150,57,4,915,2511,99,108,2,49570,1532
Ecuador,3368,,145,,65,3158,100,191,8,10317,585
Philippines,3094,76,144,8,57,2893,1,28,1,5530,50
India,3082,23,86,,229,2767,,2,0.06,116608,84
Japan,2935,,69,,514,2352,60,23,0.5,39446,312
Pakistan,2748,62,41,1,130,2577,13,12,0.2,30308,137
Luxembourg,2612,,31,,500,2081,33,4173,50,21463,34287
Saudi Arabia,2179,140,29,4,420,1730,41,63,0.8,,
Indonesia,2092,106,191,10,150,1751,,8,0.7,7193,26
Thailand,2067,89,20,1,674,1373,23,30,0.3,23669,339
Finland,1882,267,25,5,300,1557,72,340,5,29000,5234
Mexico,1688,178,60,10,633,995,1,13,0.5,15668,122
Greece,1673,60,68,5,78,1527,92,161,7,22437,2153
Panama,1673,,41,,13,1619,50,388,10,7333,1700
Serbia,1624,148,44,5,54,1526,89,186,5,6401,733
Peru,1595,,61,,537,997,51,48,2,16518,501
UAE,1505,241,10,1,125,1370,2,152,1,220000,22244
South Africa,1505,,9,,95,1401,7,25,0.2,50361,849
Dominican Republic,1488,,68,,16,1404,147,137,6,4200,387
Iceland,1417,53,4,,396,1017,12,4152,12,23640,69276
Argentina,1353,,42,,266,1045,,30,0.9,7385,163
Colombia,1267,,25,,55,1187,50,25,0.5,21202,417
Algeria,1251,80,130,25,90,1031,,29,3,3359,77
Singapore,1189,75,6,1,297,886,24,203,1,39000,6666
Croatia,1126,47,12,4,119,995,39,274,3,9833,2395
Ukraine,1096,24,28,1,23,1045,16,25,0.6,5040,115
Qatar,1075,,3,,93,979,37,373,1,28413,9862
Estonia,1039,78,13,1,59,967,20,783,10,19091,14392
Egypt,985,,66,,216,703,,10,0.6,25000,244
Slovenia,977,43,22,2,79,876,31,470,11,27109,13040
New Zealand,950,82,1,,127,822,1,197,0.2,33116,6867
Iraq,878,58,56,2,259,563,,22,1,,
Hong Kong,862,17,4,,173,685,8,115,0.5,90000,12005
Morocco,858,67,50,2,62,746,1,23,1,4070,110
Lithuania,771,75,10,1,7,754,11,283,4,21376,7852
Armenia,770,34,7,,43,720,30,260,2,3994,1348
Moldova,752,161,12,4,29,711,65,186,3,169,42
Diamond Princess,712,,11,,619,82,10,,,,
Bahrain,688,16,4,,423,261,3,404,2,39379,23143
Hungary,678,55,32,6,58,588,17,70,3,19424,2011
Bosnia and Herzegovina,617,38,19,2,28,570,4,188,6,4696,1431
Kazakhstan,525,61,5,2,36,484,6,28,0.3,316,17
Azerbaijan,521,78,5,,32,484,17,51,0.5,35000,3452
Lebanon,520,12,17,,54,449,26,76,2,9022,1322
Cameroon,509,,8,,17,484,,19,0.3,,
Latvia,509,16,1,,1,507,3,270,0.5,19380,10275
Bulgaria,503,18,17,3,34,452,26,72,2,566,81
Tunisia,495,,18,,5,472,26,42,2,5736,485
North Macedonia,483,53,17,5,20,446,11,232,8,4920,2362
Kuwait,479,62,1,1,93,385,17,112,0.2,,
Slovakia,471,21,1,,10,460,3,86,0.2,13631,2497
Andorra,466,27,17,1,21,428,12,6031,220,,
Belarus,440,89,5,1,53,382,11,47,0.5,32000,3386
Cyprus,426,30,11,,28,387,11,353,9,9447,7825
Costa Rica,416,,2,,11,403,13,82,0.4,3845,755
Uruguay,386,,4,,86,296,13,111,1,4786,1378
Taiwan,355,7,5,,50,300,,15,0.2,35442,1488
Albania,333,29,18,1,99,216,7,116,6,2247,781
Runion,321,,,,40,281,3,359,,,
Burkina Faso,318,16,16,,66,236,,15,0.8,,
Jordan,310,,5,,58,247,5,30,0.5,239,23
Afghanistan,299,18,7,1,10,282,,8,0.2,,
Cuba,288,19,6,,15,267,11,25,0.5,3342,295
Oman,277,25,1,,61,215,3,54,0.2,,
Honduras,264,42,15,,3,246,10,27,2,,
Uzbekistan,263,36,2,,25,236,8,8,0.06,,
San Marino,251,,32,,26,193,13,7397,943,586,17270
Vietnam,240,1,,,90,150,3,2,,75458,775
Channel Islands,232,,5,1,13,214,,1334,29,,
Senegal,219,12,2,1,72,145,1,13,0.1,195,12
Ivory Coast,218,,1,,19,198,,8,0.04,,
Palestine,216,22,1,,21,194,,42,0.2,7553,1481
Malta,213,11,,,2,211,3,482,,9703,21975
Nigeria,210,,4,,25,181,2,1,0.02,,
Ghana,205,,5,,31,169,2,7,0.2,,
Montenegro,197,23,2,,1,194,4,314,3,1193,1899
Mauritius,196,10,7,,,189,1,154,6,,
Faeroe Islands,181,2,,,93,88,2,3704,,4800,98234
Sri Lanka,162,3,5,1,27,130,5,8,0.2,,
Georgia,157,2,1,1,31,125,6,39,0.3,,
Venezuela,153,,7,,52,94,6,5,0.2,1779,63
DRC,148,,16,,3,129,,2,0.2,,
Kyrgyzstan,144,14,1,,9,134,5,22,0.2,9618,1474
Martinique,143,,3,,27,113,18,381,8,,
Bolivia,139,7,10,1,1,128,3,12,0.9,591,51
Brunei,135,1,1,,66,68,3,309,2,7801,17832
Guadeloupe,130,,7,,24,99,14,325,17,,
Mayotte,128,,2,,10,116,3,469,7,479,1756
Kenya,126,4,4,,4,118,2,2,0.07,2201,41
Isle of Man,126,12,1,,,125,,1482,12,1319,15512
Niger,120,,5,,,115,,5,0.2,3729,154
Cambodia,114,,,,50,64,1,7,,5768,345
Trinidad and Tobago,101,3,6,,1,94,,72,4,722,516
Gibraltar,98,3,,,52,46,,2909,,1269,37666
Paraguay,96,4,3,,12,81,2,13,0.4,116,16
Rwanda,89,,,,,89,,7,,,
Liechtenstein,77,2,,,,77,,2020,,900,23605
Guinea,73,,,,2,71,,6,,,
Bangladesh,70,9,8,2,30,32,1,0.4,0.05,2086,13
Madagascar,70,,,,,70,6,3,,,
Monaco,64,,1,,3,60,2,1631,25,,
Aruba,62,,,,1,61,,581,,836,7830
French Guiana,57,,,,22,35,1,191,,,
El Salvador,56,10,3,,,53,4,9,0.5,,
Jamaica,53,,3,,7,43,,18,1,540,182
Barbados,51,,,,,51,,177,,382,1329
Guatemala,50,,1,,12,37,1,3,0.06,,
Djibouti,50,1,,,8,42,,51,,,
Uganda,48,,,,,48,,1,,,
Macao,43,1,,,10,33,,66,,,
Mali,41,2,3,,1,37,,2,0.1,,
Togo,41,1,3,,17,21,,5,0.4,,
Zambia,39,,1,,2,36,,2,0.05,619,34
French Polynesia,39,,,,,39,1,139,,554,1972
Ethiopia,38,3,,,4,34,1,0.3,,1222,11
Bermuda,35,,,,14,21,,562,,272,4368
Cayman Islands,29,,1,,1,27,,441,15,265,4032
Bahamas,24,,3,,,21,1,61,8,,
Saint Martin,24,2,2,1,5,17,6,621,52,18,466
Guyana,23,,4,,,19,,29,5,83,106
Sint Maarten,23,,4,,6,13,,536,93,82,1912
Congo,22,,2,,2,18,,4,0.4,,
Eritrea,22,,,,,22,,6,,,
Gabon,21,,1,,1,19,,9,0.4,,
Myanmar,21,1,1,,,20,,0.4,0.02,,
Tanzania,20,,1,,3,16,,0.3,0.02,,
Haiti,20,2,,,1,19,,2,,200,18
Maldives,19,,,,13,6,,35,,,
New Caledonia,18,,,,1,17,,63,,1390,4869
Libya,17,,1,,,16,,2,0.1,131,19
Syria,16,,2,,2,12,,0.9,0.1,,
Benin,16,,,,2,14,,1,,,
Equatorial Guinea,16,,,,1,15,,11,,,
Antigua and Barbuda,15,,,,,15,1,153,,40,408
Guinea-Bissau,15,,,,,15,,8,,,
Dominica,14,,,,,14,,194,,,
Mongolia,14,,,,2,12,,4,,,
Namibia,14,,,,3,11,,6,,301,118
Saint Lucia,13,,,,1,12,,71,,,
Fiji,12,5,,,,12,,13,,,
Grenada,12,,,,,12,2,107,,45,400
Curaao,11,,1,,3,7,,67,6,,
Sudan,10,,2,,2,6,,0.2,0.05,,
Liberia,10,3,1,1,,9,,2,0.2,,
Suriname,10,,1,,,9,,17,2,,
Greenland,10,,,,3,7,,176,,542,9547
Laos,10,,,,,10,,1,,437,60
Mozambique,10,,,,1,9,,0.3,,338,11
Seychelles,10,,,,,10,,102,,,
MS Zaandam,9,,2,,,7,,,,,
Zimbabwe,9,,1,,,8,,0.6,0.07,316,21
Nepal,9,3,,,1,8,,0.3,,1356,47
Chad,9,1,,,,9,,0.5,,,
Saint Kitts and Nevis,9,,,,,9,,169,,113,2124
Eswatini,9,,,,,9,,8,,,
Angola,8,,2,,1,5,,0.2,0.06,,
CAR,8,,,,,8,,2,,,
Cabo Verde,7,1,1,,,6,,13,2,,
Vatican City,7,,,,,7,,8739,,,
St. Vincent Grenadines,7,,,,1,6,,63,,,
Somalia,7,,,,1,6,,0.4,,,
Mauritania,6,,1,,2,3,,1,0.2,,
Montserrat,6,,,,,6,,1202,,,
St. Barth,6,,,,1,5,,607,,,
Nicaragua,5,,1,,,4,,0.8,0.2,,
Bhutan,5,,,,2,3,,6,,,
Turks and Caicos,5,,,,,5,,129,,,
Botswana,4,,1,,,3,,2,0.4,175,74
Gambia,4,,1,,2,1,,2,0.4,,
Belize,4,,,,,4,,10,,25,63
Malawi,4,1,,,,4,,0.2,,,
Sierra Leone,4,2,,,,4,,0.5,,2,0.3
Anguilla,3,,,,,3,,200,,,
British Virgin Islands,3,,,,,3,,99,,,
Burundi,3,,,,,3,,0.3,,2,0.2
Caribbean Netherlands,2,,,,,2,,76,,10,381
Falkland Islands,1,,,,,1,,287,,,
Papua New Guinea,1,,,,,1,,0.1,,,
Timor-Leste,1,,,,,1,,0.8,,,
China,81639,19,3326,4,76755,1558,331,57,2,,
