Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Continent
North America,1120338,1224,64399,135,176202,879737,16563,,,,,North America
Europe,1322706,,126422,,459794,736490,24626,,,,,Europe
Asia,494805,31,17912,2,246046,230847,5832,,,,,Asia
South America,155553,350,7588,20,54282,93683,9775,,,,,South America
Oceania,8314,2,107,,6933,1274,45,,,,,Australia/Oceania
Africa,35678,,1527,,11868,22283,120,,,,,Africa
,721,,15,,645,61,4,,,,,
World,3138115,1607,217970,157,955770,1964375,56965,403,28.0,,,All
USA,1035765,,59266,,142238,834261,15298,3129,179,5919847,17885,North America
Spain,232128,,23822,,123903,84403,7764,4965,510,1345560,28779,Europe
Italy,201505,,27359,,68941,105205,1863,3333,453,1846934,30547,Europe
France,165911,,23660,,46886,95365,4387,2542,362,463662,7103,Europe
UK,161145,,21678,,N/A,139123,1559,2374,319,763387,11245,Europe
Germany,159912,,6314,,117400,36198,2409,1909,75,2072669,24738,Europe
Turkey,114653,,2992,,38809,72852,1621,1359,35,948115,11242,Asia
Russia,93558,,867,,8456,84235,2300,641,6,3139258,21511,Europe
Iran,92584,,5877,,72439,14268,2983,1102,70,442590,5269,Asia
Brazil,73235,336,5083,20,32544,35608,8318,345,24,339552,1597,South America
Canada,50026,,2859,,19190,27977,557,1325,76,740859,19629,North America
Belgium,47334,,7331,,10943,29060,876,4084,633,220204,19000,Europe
Netherlands,38416,,4566,,N/A,33600,861,2242,266,209726,12240,Europe
India,31324,,1008,,7747,22569,,23,0.7,716733,519,Asia
Peru,31190,,854,,9179,21157,600,946,26,267612,8116,South America
Switzerland,29264,,1699,,22600,4965,185,3381,196,256500,29637,Europe
Portugal,24322,,948,,1389,21985,172,2385,93,379551,37223,Europe
Ecuador,24258,,871,,1557,21830,146,1375,49,61529,3487,South America
Saudi Arabia,20077,,152,,2784,17141,118,577,4,200000,5745,Asia
Ireland,19877,,1159,,9233,9485,141,4025,235,153954,31179,Europe
Sweden,19621,,2355,,1005,16261,524,1943,233,119500,11833,Europe
Mexico,16752,1223,1569,135,11423,3760,378,130,12,77005,597,North America
