Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop"
World,1358469,12465,75895,1241,290572,992002,47540,174,9.7,,
USA,367650,646,10943,72,19810,336897,8983,1111,33,1933423,5841
Spain,140510,3835,13798,457,43208,83504,7069,3005,295,355000,7593
Italy,132547,,16523,,22837,93187,3898,2192,273,721732,11937
Germany,103375,,1810,,36081,65484,4895,1234,22,918460,10962
France,98010,,8911,,17250,71849,7072,1502,137,224254,3436
Iran,62589,2089,3872,133,24236,34481,4083,745,46,186000,2214
UK,51608,,5373,,135,46100,1559,760,79,252958,3726
Turkey,30217,,649,,1326,28242,1415,358,8,202845,2405
Belgium,22194,1380,2035,403,4157,16002,1260,1915,176,70000,6040
Switzerland,21855,198,784,19,8056,13015,391,2525,91,162500,18776
Netherlands,18803,,1867,,250,16686,1409,1097,109,86589,5053
Canada,16667,,323,,3616,12728,426,442,9,330901,8767
Austria,12399,102,243,23,4046,8110,243,1377,27,115235,12795
Brazil,12240,57,566,2,127,11547,296,58,3,54824,258
Portugal,11730,,311,,140,11279,270,1150,31,110000,10788
S. Korea,10331,47,192,6,6694,3445,55,202,4,461233,8996
Israel,9006,102,59,2,683,8264,153,1040,7,109724,12677
Russia,7497,1154,58,11,494,6945,8,51,0.4,795000,5448
Sweden,7206,,477,,205,6524,590,714,47,54700,5416
Australia,5908,13,46,1,2547,3315,93,232,2,310700,12184
Norway,5866,1,78,2,32,5756,83,1082,14,111299,20530
Ireland,5364,,174,,25,5165,165,1086,35,30213,6119
Denmark,4978,297,187,,1378,3413,144,859,32,52936,9139
India,4858,80,137,1,382,4339,,4,0.10,140293,102
Czechia,4828,6,80,2,127,4621,86,451,7,91247,8521
Chile,4815,,37,,728,4050,327,252,2,54864,2870
Poland,4532,119,111,4,191,4230,50,120,3,85467,2258
Romania,4057,,182,6,406,3469,179,211,9,40987,2131
Malaysia,3963,170,63,1,1321,2579,92,122,2,55566,1717
Pakistan,3918,152,54,1,429,3435,28,18,0.2,39183,177
Japan,3906,,92,,592,3222,79,31,0.7,46172,365
Philippines,3764,104,177,14,84,3503,1,34,2,22958,210
Ecuador,3747,,191,,100,3456,156,212,11,13039,739
Luxembourg,2843,,41,,500,2302,33,4542,65,24291,38805
Saudi Arabia,2752,147,38,,551,2163,41,79,1,,
Indonesia,2738,247,221,12,204,2313,,10,0.8,13186,48
Peru,2561,,92,,997,1472,89,78,3,20414,619
Mexico,2439,296,125,31,633,1681,89,19,1.0,20475,159
Finland,2308,132,27,,300,1981,81,417,5,34884,6296
Thailand,2258,38,27,1,824,1407,30,32,0.4,25071,359
Serbia,2200,,58,,118,2024,101,252,7,8552,979
Panama,2100,,55,,14,2031,88,487,13,10297,2386
UAE,2076,,11,,167,1898,1,210,1,220000,22244
Qatar,1832,,4,,131,1697,37,636,1,38108,13227
Dominican Republic,1828,,86,,33,1709,147,169,8,4542,419
Greece,1755,,79,,269,1407,90,168,8,26193,2513
South Africa,1686,,12,,95,1579,7,28,0.2,58098,980
Argentina,1628,,53,,325,1250,94,36,1,10709,237
