Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,Reported1st case
USA,215081,78,5109,7,8878,201094,5005,650,15,Jan 20
Italy,110574,,13155,,16847,80572,4035,1829,218,Jan 29
Spain,104118,,9387,,22647,72084,5872,2227,201,Jan 30
Germany,77981,,931,,18700,58350,3408,931,11,Jan 26
France,56989,,4032,,10935,42022,6017,873,62,Jan 23
Iran,47593,,3036,,15473,29084,3871,567,36,Feb 18
UK,29474,,2352,,135,26987,163,434,35,Jan 30
Switzerland,17768,,488,,2967,14313,348,2053,56,Feb 24
Turkey,15679,,277,,333,15069,847,186,3,Mar 09
Belgium,13964,,828,,2132,11004,1088,1205,71,Feb 03
Netherlands,13614,,1173,,250,12191,1053,795,68,Feb 26
Austria,10711,,146,,1436,9129,215,1189,16,Feb 24
S. Korea,9976,89,169,4,5828,3979,55,195,3,Jan 19
Canada,9731,,129,15,1736,7866,120,258,3,Jan 24
Portugal,8251,,187,,43,8021,230,809,18,Mar 01
Brazil,6931,51,244,2,127,6560,296,33,1,Feb 24
Israel,6092,,26,,241,5825,95,704,3,Feb 20
Australia,5105,57,23,,345,4737,50,200,0.9,Jan 24
Sweden,4947,,239,,103,4605,393,490,24,Jan 30
Norway,4877,,44,,13,4820,105,900,8,Feb 25
Czechia,3589,,39,,61,3489,70,335,4,Feb 29
Ireland,3447,,85,,5,3357,103,698,17,Feb 28
Denmark,3107,,104,,894,2109,145,536,18,Feb 26
Chile,3031,,16,,234,2781,31,159,0.8,Mar 02
Malaysia,2908,,45,,645,2218,102,90,1,Jan 24
Russia,2777,,24,,190,2563,8,19,0.2,Jan 30
Ecuador,2758,,98,,58,2602,100,156,6,Feb 28
Poland,2554,,43,,56,2455,50,67,1,Mar 03
Romania,2460,,92,,252,2116,57,128,5,Feb 25
Japan,2384,,57,,472,1855,69,19,0.5,Jan 14
Luxembourg,2319,,29,,80,2210,31,3705,46,Feb 28
Philippines,2311,,96,,50,2165,1,21,0.9,Jan 29
Pakistan,2118,,27,,94,1997,12,10,0.1,Feb 25
India,1998,,58,,148,1792,,1,0.04,Jan 29
Thailand,1771,,12,,505,1254,23,25,0.2,Jan 12
Saudi Arabia,1720,,16,,264,1440,31,49,0.5,Mar 01
Indonesia,1677,,157,,103,1417,,6,0.6,Mar 01
Finland,1446,,17,,10,1419,62,261,3,Jan 28
Greece,1415,,51,,52,1312,90,136,5,Feb 25
South Africa,1380,,5,,50,1325,7,23,0.08,Mar 04
Peru,1323,,38,,394,891,49,40,1,Mar 05
