Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop"
World,1363678,17674,76404,1750,293843,993431,47618,175,9.8,,
USA,368174,1170,10966,95,19814,337394,8983,1112,33,1938109,5855
Spain,140510,3835,13798,457,43208,83504,7069,3005,295,355000,7593
Italy,132547,,16523,,22837,93187,3898,2192,273,721732,11937
Germany,104199,824,1842,32,36081,66276,4895,1244,22,918460,10962
France,98010,,8911,,17250,71849,7072,1502,137,224254,3436
Iran,62589,2089,3872,133,27039,31678,3987,745,46,211136,2514
UK,51608,,5373,,135,46100,1559,760,79,252958,3726
Turkey,30217,,649,,1326,28242,1415,358,8,202845,2405
Switzerland,22242,585,787,22,8056,13399,391,2570,91,167429,19346
Belgium,22194,1380,2035,403,4157,16002,1260,1915,176,80512,6947
Netherlands,19580,777,2101,234,250,17229,1409,1143,123,86589,5053
Canada,16667,,323,,3616,12728,426,442,9,330901,8767
Austria,12519,222,243,23,4046,8230,243,1390,27,115235,12795
Portugal,12442,712,345,34,184,11913,271,1220,34,121256,11892
Brazil,12240,57,566,2,127,11547,296,58,3,54824,258
S. Korea,10331,47,192,6,6694,3445,55,202,4,461233,8996
Israel,9006,102,60,3,683,8263,153,1040,7,109724,12677
Sweden,7693,487,591,114,205,6897,640,762,59,54700,5416
Russia,7497,1154,58,11,494,6945,8,51,0.4,795000,5448
Australia,5908,13,48,3,2547,3313,93,232,2,310700,12184
Norway,5866,1,83,7,32,5751,83,1082,15,111299,20530
Ireland,5364,,174,,25,5165,165,1086,35,30213,6119
Denmark,4978,297,203,16,1491,3284,127,859,35,52936,9139
India,4911,133,137,1,382,4392,,4,0.10,140293,102
Czechia,4828,6,80,2,127,4621,86,451,7,91247,8521
Chile,4815,,37,,728,4050,327,252,2,54864,2870
Poland,4532,119,111,4,191,4230,50,120,3,92215,2437
Romania,4417,360,197,21,460,3760,274,230,10,43578,2265
Pakistan,4005,239,55,2,429,3521,28,18,0.2,39183,177
Malaysia,3963,170,63,1,1321,2579,92,122,2,55566,1717
Japan,3906,,92,,592,3222,79,31,0.7,46172,365
Philippines,3764,104,177,14,84,3503,1,34,2,22958,210
Ecuador,3747,,191,,100,3456,156,212,11,13039,739
Luxembourg,2843,,41,,500,2302,33,4542,65,24291,38805
Saudi Arabia,2795,190,41,3,615,2139,41,80,1,,
Indonesia,2738,247,221,12,204,2313,,10,0.8,14354,52
Peru,2561,,92,,997,1472,89,78,3,20414,619
Serbia,2447,247,61,3,118,2268,109,280,7,9626,1102
Mexico,2439,296,125,31,633,1681,89,19,1.0,20475,159
Finland,2308,132,34,7,300,1974,81,417,6,34900,6299
Thailand,2258,38,27,1,824,1407,30,32,0.4,25071,359
Panama,2100,,55,,14,2031,88,487,13,10297,2386
UAE,2076,,11,,167,1898,1,210,1,220000,22244
Qatar,1832,,4,,131,1697,37,636,1,38108,13227
Dominican Republic,1828,,86,,33,1709,147,169,8,4542,419
Greece,1755,,81,2,269,1405,90,168,8,26193,2513
South Africa,1749,63,13,1,95,1641,7,29,0.2,58098,980
Argentina,1628,,54,1,338,1236,96,36,1,11778,261
Iceland,1586,24,6,,559,1021,11,4648,18,28991,84957
Colombia,1579,,46,,88,1445,50,31,0.9,27685,544
Ukraine,1462,143,45,7,28,1389,16,33,1,6385,146
Algeria,1423,,173,,90,1160,46,32,4,3359,77
Singapore,1375,,6,,344,1025,25,235,1,65000,11110
Egypt,1322,,85,,259,978,,13,0.8,25000,244
Croatia,1282,60,18,2,167,1097,35,312,4,12322,3002
New Zealand,1160,54,1,,241,918,14,241,0.2,42826,8881
Estonia,1149,41,21,2,69,1059,12,866,16,23546,17750
Morocco,1141,21,83,3,88,970,1,31,2,5272,143
Slovenia,1059,38,30,,102,927,30,509,14,28253,13590
Iraq,1031,,64,,344,623,,26,2,,
Moldova,965,,21,2,40,904,80,239,5,,
Hong Kong,936,21,4,,236,696,12,125,0.5,96709,12900
Lithuania,880,37,15,,8,857,11,323,6,27807,10215
Belarus,860,160,13,,54,793,31,91,1,43000,4551
Armenia,853,20,8,,87,758,30,288,3,5140,1735
Hungary,817,73,47,9,71,699,17,85,5,23746,2458
Bahrain,756,,4,,458,294,4,444,2,47684,28023
Bosnia and Herzegovina,754,80,33,4,68,653,4,230,10,5934,1809
Kuwait,743,78,1,,105,637,23,174,0.2,,
Azerbaijan,717,76,8,1,44,665,23,71,0.8,53300,5257
Diamond Princess,712,,11,,619,82,10,,,,
Kazakhstan,685,23,6,,50,629,16,36,0.3,54767,2917
Cameroon,658,,9,,17,632,,25,0.3,,
North Macedonia,599,29,26,3,30,543,15,288,12,5879,2822
Tunisia,596,,22,,5,569,39,50,2,7725,654
Slovakia,581,47,2,,13,566,3,106,0.4,17639,3231
Bulgaria,565,16,22,,42,501,26,81,3,15899,2288
Lebanon,548,7,19,,60,469,27,80,3,10221,1497
Latvia,548,6,2,1,16,530,5,291,1,22575,11969
Andorra,525,,21,,31,473,12,6795,272,,
Uzbekistan,504,47,2,,30,472,8,15,0.06,,
Costa Rica,467,,2,,18,447,14,92,0.4,5363,1053
Cyprus,465,,9,,45,411,11,385,7,11664,9661
Afghanistan,423,56,14,3,18,391,,11,0.4,,
Uruguay,415,,6,,123,286,14,119,2,5385,1550
Albania,383,6,22,1,131,230,7,133,8,2753,957
Taiwan,376,3,5,,61,310,,16,0.2,39011,1638
Oman,371,40,2,,67,302,3,73,0.4,,
Burkina Faso,364,,18,,108,238,,17,0.9,,
Cuba,363,13,9,,18,336,12,32,0.8,5234,462
Jordan,349,,6,,126,217,5,34,0.6,17000,1666
Runion,349,,,,40,309,4,390,,,
