Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Continent
North America,464888,1124,15678,51,28522,420688,10229,,,,,North America
Europe,745062,1124,61275,9,168370,515417,30154,,,,,Europe
Asia,253534,1124,9538,10,125226,118770,6433,,,,,Asia
South America,35516,1124,1397,3,3525,30594,1118,,,,,South America
Oceania,7377,1124,51,,3131,4195,91,,,,,Australia/Oceania
Africa,11986,,576,,1467,9943,142,,,,,Africa
,721,,13,,619,89,10,,,,,
World,1519084,1124,88528,73,330860,1099696,48177,195,11.4,,,All
USA,435160,233,14797,9,22891,397472,9279,1315,45,2226116,6725,North America
Spain,148220,,14792,,48021,85407,7069,3170,316,355000,7593,Europe
Italy,139422,,17669,,26491,95262,3693,2306,292,807125,13349,Europe
Germany,113296,,2349,,46300,64647,4895,1352,28,1317887,15730,Europe
France,112950,,10869,,21254,80827,7148,1730,167,224254,3436,Europe
Iran,64586,,3993,,29812,30781,3987,769,48,211136,2514,Asia
UK,60733,,7097,,135,53501,1559,895,105,282074,4155,Europe
Turkey,38226,,812,,1846,35568,1492,453,10,247768,2938,Asia
Belgium,23403,,2240,,4681,16482,1276,2019,193,84248,7269,Europe
Switzerland,23280,,895,,9800,12585,391,2690,103,171938,19867,Europe
Netherlands,20549,,2248,,250,18051,1424,1199,131,101534,5926,Europe
Canada,19438,,435,8,4653,14350,518,515,12,370315,9812,North America
Brazil,16188,,820,,127,15241,296,76,4,54824,258,South America
Portugal,13141,,380,,196,12565,245,1289,37,131127,12860,Europe
Austria,12942,,273,,4512,8157,267,1437,30,120755,13408,Europe
S. Korea,10423,39,204,4,6973,3246,55,203,4,477304,9310,Asia
Israel,9404,,73,,801,8530,147,1086,8,117339,13557,Asia
Russia,8672,,63,,580,8029,8,59,0.4,910221,6237,Europe
Sweden,8419,,687,,205,7527,678,834,68,54700,5416,Europe
Ireland,6074,,235,,25,5814,165,1230,48,42484,8604,Europe
Australia,6052,,50,,2813,3189,87,237,2,319784,12541,Australia/Oceania
Norway,6042,,101,,32,5909,78,1115,19,113896,21009,Europe
India,5916,,178,,506,5232,,4,0.1,167235,121,Asia
Chile,5546,,48,,1115,4383,362,290,3,60391,3159,South America
Denmark,5402,,218,,1621,3563,127,933,38,64002,11050,Europe
