Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop
USA,245380,503,6095,25,10411,228874,5421,741,18
Spain,117710,5645,10935,587,30513,76262,6092,2518,234
Italy,115242,,13915,,18278,83049,4053,1906,230
Germany,84794,,1107,,22440,61247,3936,1012,13
France,59105,,5387,,12428,41290,6399,905,83
Iran,50468,,3160,,16711,30597,3956,601,38
UK,33718,,2921,,135,30662,163,497,43
Switzerland,19106,279,565,29,4846,13695,348,2208,65
Turkey,18135,,356,,415,17364,1101,215,4
Belgium,16770,1422,1143,132,2872,12755,1205,1447,99
Netherlands,14697,,1339,,250,13108,1053,858,78
Canada,11283,,173,,1979,9131,120,299,5
Austria,11238,109,158,,2022,9058,227,1248,18
S. Korea,10062,86,174,5,6021,3867,55,196,3
Portugal,9034,,209,,68,8757,230,886,20
Brazil,8066,22,327,3,127,7612,296,38,2
Israel,7030,173,36,,338,6656,115,812,4
Sweden,5568,,308,,103,5157,429,551,30
Australia,5350,36,28,3,585,4737,50,210,1
Norway,5255,108,51,1,32,5172,96,969,9
Russia,4149,601,34,4,281,3834,8,28,0.2
Czechia,3869,11,46,2,71,3752,77,361,4
Ireland,3849,,98,,5,3746,109,779,20
Denmark,3672,286,123,,1089,2460,153,634,21
Chile,3404,,18,,335,3051,31,178,0.9
Malaysia,3333,217,53,3,827,2453,108,103,2
Ecuador,3163,,120,,65,2978,100,179,7
Poland,3149,203,59,2,56,3034,50,83,2
Philippines,3018,385,136,29,52,2830,1,28,1
Romania,2738,,116,1,267,2355,78,142,6
Japan,2617,,63,,472,2082,60,21,0.5
India,2567,24,72,,192,2303,,2,0.05
Luxembourg,2487,,30,,80,2377,31,3973,48
Pakistan,2450,29,35,1,126,2289,10,11,0.2
Indonesia,1986,196,181,11,134,1671,,7,0.7
Thailand,1978,103,19,4,581,1378,23,28,0.3
Saudi Arabia,1885,,21,,328,1536,31,54,0.6
Finland,1615,97,19,,300,1296,65,291,3
Greece,1544,,53,,61,1430,91,148,5
Mexico,1510,132,50,13,633,827,1,12,0.4
Panama,1475,,37,,9,1429,50,342,9
South Africa,1462,,5,,95,1362,7,25,0.08
Peru,1414,,55,,537,822,51,43,2
Dominican Republic,1380,,60,,16,1304,147,127,6
Iceland,1319,,4,,284,1031,12,3865,12
Argentina,1265,,37,1,256,972,,28,0.8
Serbia,1171,,31,,42,1098,81,134,4
Colombia,1161,,19,,55,1087,50,23,0.4
Singapore,1114,65,5,1,266,843,24,190,0.9
UAE,1024,,8,,96,920,2,104,0.8
Croatia,1011,,7,,88,916,34,246,2
Algeria,986,,86,,61,839,,22,2
Estonia,961,103,12,1,48,901,16,724,9
Qatar,949,,3,,72,874,37,329,1
Ukraine,942,45,23,1,19,900,16,22,0.5
Slovenia,897,,17,,70,810,31,431,8
New Zealand,868,71,1,,103,764,2,180,0.2
Egypt,865,,58,,201,606,,8,0.6
Hong Kong,845,43,4,,154,687,8,113,0.5
Iraq,772,,54,,202,516,,19,1
Armenia,736,73,7,,43,686,30,248,2
Morocco,735,27,47,3,34,654,1,20,1
Diamond Princess,712,,11,,619,82,10,,
Lithuania,696,47,9,,7,680,11,256,3
Bahrain,643,,4,,381,258,3,378,2
Hungary,623,38,26,5,43,554,17,64,3
Bosnia and Herzegovina,543,10,16,,27,500,4,166,5
Lebanon,508,14,17,1,46,445,2,74,2
Moldova,505,,6,,23,476,65,125,1
Latvia,493,35,,,31,462,3,261,
Bulgaria,477,20,12,2,30,435,18,69,2
Tunisia,455,,14,,5,436,10,38,1
Kazakhstan,453,18,3,,29,421,6,24,0.2
Slovakia,450,24,1,,5,444,3,82,0.2
Azerbaijan,443,43,5,,32,406,7,44,0.5
Andorra,428,,15,,10,403,12,5539,194
Kuwait,417,75,,,82,335,16,98,
Costa Rica,396,,2,,6,388,11,78,0.4
North Macedonia,384,,11,,17,356,8,184,5
Uruguay,369,19,4,,68,297,13,106,1
Cyprus,356,,10,,28,318,11,295,8
Taiwan,348,9,5,,50,293,,15,0.2
Runion,308,,,,40,268,3,344,
Cameroon,306,,7,,10,289,,12,0.3
Albania,304,27,16,,89,199,7,106,6
Belarus,304,,4,,53,247,11,32,0.4
Jordan,299,,5,,45,249,5,29,0.5
Burkina Faso,288,,16,,50,222,,14,0.8
Afghanistan,273,,6,,10,257,,7,0.2
Oman,252,21,1,,57,194,3,49,0.2
San Marino,245,,30,,21,194,15,7221,884
Cuba,233,,6,,13,214,7,21,0.5
Vietnam,233,,,,85,148,3,2,
Honduras,222,3,15,1,3,204,10,22,2
Uzbekistan,221,16,2,,25,194,8,7,0.06
Ghana,204,,5,,31,168,2,7,0.2
Malta,196,,,,2,194,2,444,
Senegal,195,,1,,55,139,,12,0.06
Ivory Coast,194,,1,,15,178,,7,0.04
Channel Islands,193,,3,,,190,,1110,17
Nigeria,184,,2,,20,162,,0.9,0.01
Faeroe Islands,179,2,,,91,88,1,3663,
Palestine,171,10,1,,18,152,,34,0.2
Mauritius,169,,7,,,162,1,133,6
Montenegro,160,16,2,,,158,4,255,3
Sri Lanka,151,,4,,22,125,5,7,0.2
Georgia,148,14,,,27,121,6,37,
Venezuela,146,,5,,43,98,6,5,0.2
Martinique,138,,3,,27,108,19,368,8
DRC,134,,13,,3,118,,1,0.1
Brunei,133,,1,,56,76,3,304,2
Bolivia,132,9,9,1,1,122,3,11,0.8
Kyrgyzstan,130,14,1,1,5,124,5,20,0.2
