Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Continent
North America,1065724,1121,60007,52,147251,858466,16402,,,,,North America
Europe,1276808,,121885,,436194,718729,25260,,,,,Europe
Asia,472280,13,17245,2,228210,226825,6051,,,,,Asia
South America,138255,335,6309,20,49664,82282,9700,,,,,South America
Oceania,8289,3,102,1,6834,1353,46,,,,,Australia/Oceania
Africa,32657,,1427,,10018,21212,140,,,,,Africa
,721,,15,,645,61,4,,,,,
World,2994734,1472,206990,75,878816,1908928,57603,384,26.6,,,All
USA,987160,,55413,,118781,812966,15143,2982,167,5470464,16527,North America
Spain,226629,,23190,,117727,85712,7764,4847,496,1199548,25656,Europe
Italy,197675,,26644,,64928,106103,2009,3269,441,1757659,29071,Europe
France,162100,,22856,,44903,94341,4682,2483,350,463662,7103,Europe
Germany,157770,,5976,,112000,39794,2570,1883,71,2072669,24738,Europe
UK,152840,,20732,,N/A,131764,1559,2251,305,669850,9867,Europe
Turkey,110130,,2805,,29140,78185,1776,1306,33,898742,10656,Asia
Iran,90481,,5710,,69657,15114,3079,1077,68,421313,5016,Asia
Russia,80949,,747,,6767,73435,2300,555,5,2877699,19719,Europe
Brazil,63100,241,4286,15,30152,28662,8318,297,20,291922,1373,South America
Canada,46895,,2560,,17321,27014,557,1243,68,707508,18746,North America
Belgium,46134,,7094,,10785,28255,891,3981,612,189067,16313,Europe
Netherlands,37845,,4475,,N/A,33120,934,2209,261,193950,11319,Europe
Switzerland,29061,,1610,,21800,5651,204,3358,186,245300,28343,Europe
India,27890,,881,,6523,20486,,20,0.6,625309,453,Asia
Peru,27517,,728,,8088,18701,554,835,22,232747,7059,South America
Portugal,23864,,903,,1329,21632,182,2340,89,330512,32414,Europe
Ecuador,22719,,576,,1366,20777,127,1288,33,56513,3203,South America
Ireland,19262,,1087,,9233,8942,142,3901,220,127319,25785,Europe
Sweden,18640,,2194,,1005,15441,399,1846,217,94500,9357,Europe
Saudi Arabia,17522,,139,,2357,15026,115,503,4,200000,5745,Asia
Israel,15443,,201,,6731,8511,133,1784,23,302691,34971,Asia
Austria,15225,,542,,12282,2401,145,1690,60,227631,25274,Europe
Mexico,14677,835,1351,46,8354,4972,378,114,10,67635,525,North America
Singapore,13624,,12,,1060,12552,22,2329,2,121774,20815,Asia
Japan,13441,,372,,1809,11260,296,106,3,149074,1179,Asia
Chile,13331,,189,,7024,6118,418,697,10,155975,8159,South America
Pakistan,13328,,281,,2936,10111,111,60,1,144365,654,Asia
Poland,11617,,535,,2265,8817,160,307,14,290633,7679,Europe
Romania,11036,,619,,3054,7363,236,574,32,136518,7096,Europe
S. Korea,10738,10,243,1,8764,1731,55,209,5,601660,11735,Asia
Belarus,10463,,72,,1695,8696,92,1107,8,147525,15612,Europe
UAE,10349,,76,,1978,8295,1,1046,8,1057326,106904,Asia
Qatar,10287,,10,,1012,9265,72,3571,3,82289,28562,Asia
Indonesia,8882,,743,,1107,7032,,32,3,72099,264,Asia
Ukraine,8617,,209,,840,7568,107,197,5,89373,2044,Europe
Denmark,8575,,422,,5805,2348,70,1480,73,146915,25364,Europe
Serbia,8042,,156,,1182,6704,85,920,18,64303,7360,Europe
Philippines,7579,,501,,862,6216,1,69,5,84789,774,Asia
Norway,7527,,201,,32,7294,49,1388,37,155125,28614,Europe
Czechia,7404,,220,,2545,4639,79,691,21,215116,20087,Europe
Australia,6719,3,83,,5584,1052,43,263,3,515079,20199,Australia/Oceania
Dominican Republic,6135,,278,,910,4947,144,566,26,22498,2074,North America
Malaysia,5780,,98,,3862,1820,36,179,3,131491,4063,Asia
Panama,5779,241,165,6,338,5276,85,1339,38,25400,5887,North America
Bangladesh,5416,,145,,122,5149,1,33,0.9,46589,283,Asia
Colombia,5379,,244,,1133,4002,117,106,5,87199,1714,South America
Finland,4576,,190,,2500,1886,62,826,34,80300,14493,Europe
South Africa,4546,,87,,1473,2986,36,77,1,168643,2843,Africa
Egypt,4534,,317,,1176,3041,,44,3,90000,879,Africa
Morocco,4065,,161,,593,3311,1,110,4,27399,742,Africa
Argentina,3892,,192,,1107,2593,144,86,4,49905,1104,South America
Luxembourg,3723,,88,,3104,531,22,5947,141,39003,62307,Europe
Moldova,3408,,96,,895,2417,212,845,24,11763,2916,Europe
Algeria,3382,,425,,1508,1449,40,77,10,6500,148,Africa
Kuwait,3075,,20,,806,2249,61,720,5,,,Asia
Thailand,2922,,51,,2594,277,61,42,0.7,142589,2043,Asia
Kazakhstan,2717,,25,,682,2010,31,145,1,196298,10454,Asia
Bahrain,2647,,8,,1189,1450,2,1556,5,114110,67061,Asia
Greece,2517,,134,,577,1806,46,241,13,64608,6199,Europe
Hungary,2500,,272,,485,1743,61,259,28,63505,6574,Europe
Croatia,2030,,55,,1103,872,23,494,13,31622,7703,Europe
Oman,1998,,10,,333,1655,3,391,2,,,Asia
Uzbekistan,1869,,8,,789,1072,8,56,0.2,242536,7247,Asia
Iraq,1820,,87,,1263,470,,45,2,71471,1777,Asia
Iceland,1792,,10,,1608,174,3,5251,29,46352,135833,Europe
Armenia,1746,,28,,833,885,10,589,9,17931,6051,Asia
Azerbaijan,1645,,21,,1139,485,15,162,2,120479,11883,Asia
Estonia,1643,,49,,233,1361,6,1239,37,47933,36134,Europe
Cameroon,1621,,56,,786,779,12,61,2,,,Africa
Ghana,1550,,11,,155,1384,4,50,0.4,100622,3238,Africa
Afghanistan,1531,,50,,207,1274,7,39,1,8090,208,Asia
Bosnia and Herzegovina,1516,,59,,624,833,4,462,18,25830,7873,Europe
New Zealand,1469,,19,1,1180,270,1,305,4,123920,25698,Australia/Oceania
Lithuania,1438,,41,,467,930,17,528,15,104488,38382,Europe
Slovenia,1396,,82,,221,1093,23,671,39,48973,23557,Europe
North Macedonia,1386,,61,,500,825,13,665,29,15120,7257,Europe
Slovakia,1379,,18,,394,967,5,253,3,70928,12991,Europe
Cuba,1369,,54,,501,814,11,121,5,39828,3516,North America
Bulgaria,1300,,56,,205,1039,41,187,8,27000,3886,Europe
Nigeria,1273,,40,,239,994,2,6,0.2,10918,53,Africa
Ivory Coast,1150,,14,,468,668,,44,0.5,,,Africa
Hong Kong,1038,,4,,772,262,4,138,0.5,145640,19426,Asia
Djibouti,1023,,2,,411,610,,1035,2,11741,11884,Africa
Guinea,996,,7,,208,781,,76,0.5,,,Africa
Bolivia,950,84,50,4,80,820,3,81,4,4995,428,South America
Tunisia,949,,38,,216,695,20,80,3,20818,1761,Africa
Cyprus,817,,14,,148,655,15,677,12,43542,36064,Asia
Latvia,812,,12,,267,533,6,430,6,47671,25274,Europe
Andorra,738,,40,,344,354,17,9552,518,1673,21653,Europe
Albania,726,,28,,410,288,4,252,10,7279,2529,Europe
Diamond Princess,712,,13,,645,54,4,,,,,
Lebanon,707,,24,,145,538,44,104,4,27827,4077,Asia
Niger,696,,29,,350,317,,29,1,5013,207,Africa
Costa Rica,695,,6,,264,425,8,136,1,12467,2447,North America
Kyrgyzstan,682,,8,,370,304,13,105,1,45627,6994,Asia
Senegal,671,,9,,283,379,1,40,0.5,466,28,Africa
Burkina Faso,632,,42,,453,137,,30,2,,,Africa
Honduras,627,,59,,65,503,10,63,6,3457,349,North America
Uruguay,606,10,15,1,375,216,10,174,4,17063,4912,South America
San Marino,538,,41,,64,433,4,15856,1208,2074,61124,Europe
Channel Islands,525,,35,,332,158,,3020,201,5342,30725,Europe
Sri Lanka,523,,7,,120,396,2,24,0.3,13850,647,Asia
Georgia,486,,6,,149,331,6,122,2,9699,2431,Asia
Guatemala,473,,13,,45,415,5,26,0.7,7200,402,North America
Malta,448,,4,,282,162,2,1015,9,27981,63371,Europe
Jordan,447,,7,,337,103,5,44,0.7,63737,6247,Asia
DRC,442,,28,,50,364,,5,0.3,,,Africa
Somalia,436,,23,,10,403,2,27,1,,,Africa
Taiwan,429,,6,,281,142,,18,0.3,60459,2539,Asia
Runion,417,,,,300,117,2,466,,,,Africa
Mayotte,401,,4,,144,253,4,1470,15,2500,9164,Africa
Mali,389,,23,,112,254,,19,1,2172,107,Africa
Kenya,355,,14,,106,235,2,7,0.3,17992,335,Africa
Jamaica,350,45,7,,28,315,,118,2,3262,1102,North America
Palestine,342,,2,,83,257,,67,0.4,27000,5293,Asia
Mauritius,332,,9,,299,24,3,261,7,14445,11358,Africa
Venezuela,325,,10,,137,178,3,11,0.4,423592,14896,South America
Montenegro,321,,7,,153,161,7,511,11,5085,8096,Europe
Isle of Man,308,,18,,247,43,22,3622,212,2854,33563,Europe
Tanzania,299,,10,,48,241,7,5,0.2,,,Africa
El Salvador,298,,8,,83,207,4,46,1,18686,2881,North America
Vietnam,270,,,,225,45,8,3,,212965,2188,Asia
Equatorial Guinea,258,,1,,8,249,,184,0.7,854,609,Africa
Sudan,237,,21,,20,196,,5,0.5,,,Africa
Paraguay,228,,9,,85,134,1,32,1,7630,1070,South America
Maldives,214,,,,17,197,2,396,,5296,9798,Asia
Congo,200,,6,,19,175,,36,1,,,Africa
Rwanda,191,,,,92,99,,15,,6959,537,Africa
Faeroe Islands,187,,,,178,9,,3827,,6588,134826,Europe
Gabon,176,,3,,30,143,1,79,1,572,257,Africa
Martinique,175,,14,,77,84,7,466,37,,,North America
Guadeloupe,149,,12,,82,55,11,372,30,,,North America
Myanmar,146,,5,,10,131,,3,0.09,6678,123,Asia
Gibraltar,141,,,,131,10,,4185,,2198,65240,Europe
Brunei,138,,1,,123,14,2,315,2,12981,29672,Asia
Liberia,124,,12,,25,87,,25,2,,,Africa
Madagascar,124,,,,71,53,1,4,,2357,85,Africa
Ethiopia,123,,3,,41,79,,1,0.03,13645,119,Africa
Cambodia,122,,,,117,5,1,7,,5768,345,Asia
Trinidad and Tobago,115,,8,,54,53,,82,6,1514,1082,North America
French Guiana,111,,1,,87,23,,372,3,,,South America
Bermuda,109,,5,,39,65,10,1750,80,1173,18835,North America
Cabo Verde,106,,1,,1,104,,191,2,791,1423,Africa
Aruba,100,,2,,73,25,4,937,19,1622,15192,North America
Togo,98,,6,,62,30,,12,0.7,5951,719,Africa
Monaco,94,,4,,42,48,1,2395,102,,,Europe
Sierra Leone,93,,4,,10,79,,12,0.5,,,Africa
Zambia,88,,3,,42,43,1,5,0.2,2586,141,Africa
Liechtenstein,82,,1,,55,26,,2151,26,900,23605,Europe
Bahamas,80,,11,,22,47,1,203,28,,,North America
