Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Continent
North America,1322033,2996,76950,176,234976,1010107,17297,,,,,North America
Europe,1485934,16023,142791,648,564380,778763,16897,,,,,Europe
Asia,581494,8655,20213,135,309044,252237,5325,,,,,Asia
South America,224738,464,11298,30,78397,135043,9938,,,,,South America
Africa,48455,380,1858,10,16484,30113,129,,,,,Africa
Oceania,8437,23,116,1,7283,1038,29,,,,,Australia/Oceania
,721,,15,,645,61,4,,,,,
World,3671812,28541,253241,1000,1211209,2207362,49619,471,32.5,,,All
USA,1214023,1188,69974,53,188069,955980,16050,3668,211,7485256,22614,North America
Spain,250561,2260,25613,185,154718,70230,2254,5359,548,1932455,41332,Europe
Italy,211938,,29079,,82879,99980,1479,3505,481,2191403,36244,Europe
UK,190584,,28734,,N/A,161506,1559,2807,423,1291591,19026,Europe
France,169462,,25201,,51371,92890,3696,2596,386,1100228,16856,Europe
Germany,166199,47,6993,,135100,24106,1949,1984,83,2547052,30400,Europe
Russia,155370,10102,1451,95,19865,134054,2300,1065,10,4460357,30564,Europe
Turkey,127659,,3461,,68166,56032,1384,1514,41,1171138,13886,Asia
Brazil,108620,354,7367,24,45815,55438,8318,511,35,339552,1597,South America
Iran,99970,1323,6340,63,80475,13155,2685,1190,75,519543,6186,Asia
Canada,60772,,3854,,26017,30901,557,1610,102,919368,24359,North America
Belgium,50509,242,8016,92,12441,30052,646,4358,692,456194,39362,Europe
Peru,47372,,1344,,14427,31601,694,1437,41,385492,11692,South America
India,46476,39,1571,5,12849,32056,,34,1,1191946,864,Asia
Netherlands,41087,317,5168,86,N/A,35669,683,2398,302,235909,13768,Europe
Ecuador,31881,,1569,,3433,26879,159,1807,89,80171,4544,South America
Saudi Arabia,30251,1595,200,9,5431,24620,143,869,6,376607,10818,Asia
Switzerland,30009,28,1790,6,25200,3019,141,3467,207,286403,33092,Europe
Portugal,25702,178,1074,11,1743,22885,134,2521,105,450000,44132,Europe
Mexico,24905,1434,2271,117,15938,6696,378,193,18,100041,776,North America
Sweden,23216,495,2854,85,4074,16288,435,2299,283,148500,14704,Europe
Ireland,21772,,1319,,13386,7067,93,4409,267,169377,34302,Europe
Pakistan,21501,560,486,10,5782,15233,111,97,2,222404,1007,Asia
Chile,20643,,270,,10415,9958,464,1080,14,214131,11202,South America
Singapore,19410,632,18,,1457,17935,22,3318,3,143919,24600,Asia
Belarus,18350,861,107,4,3771,14472,92,1942,11,211369,22369,Europe
Qatar,17142,951,12,,1924,15206,72,5950,4,109762,38098,Asia
Israel,16268,22,237,2,10223,5808,89,1879,27,414349,47871,Asia
Austria,15650,29,606,6,13462,1582,104,1738,67,285883,31742,Europe
UAE,15192,462,146,9,3153,11893,1,1536,15,1200000,121330,Asia
Japan,15078,,536,,4156,10386,328,119,4,184586,1459,Asia
