Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Continent
North America,1546707,2251,93547,357,369406,1083754,17647,,,,,North America
Europe,1675742,,155762,,685246,834734,13420,,,,,Europe
South America,335757,133,18114,6,119730,197913,10109,,,,,South America
Asia,701565,33,22852,1,394533,284180,4922,,,,,Asia
Africa,70985,,2407,,24819,43759,219,,,,,Africa
Oceania,8581,16,119,1,7770,692,21,,,,,Australia/Oceania
,721,,15,,651,55,4,,,,,
World,4340058,2433,292816,365,1602155,2445087,46342,557,37.6,,,All
USA,1408636,,83425,,296746,1028465,16473,4256,252,9935720,30017,North America
Spain,269520,,26920,,180470,62130,1534,5765,576,2467761,52781,Europe
Russia,232243,,2116,,43512,186615,2300,1591,14,5805404,39781,Europe
UK,226463,,32692,,N/A,193427,1559,3336,482,2007146,29566,Europe
Italy,221216,,30911,,109039,81266,952,3659,511,2673655,44221,Europe
France,178225,,26991,,57785,93449,2542,2730,414,1384633,21213,Europe
Brazil,177602,,12404,,72597,92601,8318,836,58,735224,3459,South America
Germany,173171,,7738,,147200,18233,1539,2067,92,2755770,32891,Europe
Turkey,141475,,3894,,98889,38692,1045,1677,46,1440671,17082,Asia
Iran,110767,,6733,,88357,15677,2713,1319,80,615477,7328,Asia
India,74292,,2415,,24420,47457,,54,2,1759579,1275,Asia
Peru,72059,,2057,,23324,46678,797,2185,62,532169,16140,South America
Canada,71157,,5169,,34042,31946,502,1885,137,1145683,30356,North America
Belgium,53779,,8761,,13732,31286,465,4640,756,595531,51385,Europe
Netherlands,42984,,5510,,N/A,37224,463,2509,322,270351,15778,Europe
Saudi Arabia,42925,,264,,15257,27404,147,1233,8,482374,13856,Asia
Mexico,38324,1997,3926,353,25935,8463,378,297,30,135116,1048,North America
Pakistan,32674,,724,,8555,23395,111,148,3,305851,1385,Asia
Chile,31721,,335,,14125,17261,494,1659,18,303340,15868,South America
Ecuador,30419,,2327,,3433,24659,181,1724,132,85223,4830,South America
Switzerland,30380,,1867,,26800,1713,89,3510,216,316852,36611,Europe
Portugal,27913,,1163,,3013,23737,113,2737,114,553855,54317,Europe
Sweden,27272,,3313,,4971,18988,360,2700,328,177500,17576,Europe
Qatar,25149,,14,,3019,22116,72,8729,5,135294,46960,Asia
Belarus,24873,,142,,6974,17757,92,2632,15,284445,30102,Europe
Singapore,24671,,21,,3851,20799,20,4217,4,175604,30016,Asia
Ireland,23242,,1488,,17110,4644,72,4707,301,258808,52414,Europe
UAE,19661,,203,,6012,13446,1,1988,21,1500000,151662,Asia
Poland,16921,,839,,6131,9951,160,447,22,507778,13417,Europe
Bangladesh,16660,,250,,3147,13263,1,101,2,136638,830,Asia
Israel,16529,,260,,12083,4186,67,1910,30,469800,54277,Asia
Ukraine,16023,,425,,3373,12225,211,366,10,187307,4283,Europe
Japan,15968,,657,,8531,6780,249,126,5,223649,1768,Asia
Austria,15961,,623,,14148,1190,59,1772,69,329314,36564,Europe
Romania,15778,,1002,,7685,7091,238,820,52,269183,13992,Europe
Indonesia,14749,,1007,,3063,10679,,54,4,165128,604,Asia
Colombia,12272,,493,,2971,8808,130,241,10,165738,3257,South America
Philippines,11350,,751,,2106,8493,31,104,7,181668,1658,Asia
South Africa,11350,,206,,4357,6787,77,191,3,369697,6233,Africa
S. Korea,10962,26,259,1,9695,1008,55,214,5,695920,13574,Asia
Dominican Republic,10900,,402,,3221,7277,131,1005,37,42615,3928,North America
Denmark,10591,,527,,8580,1484,43,1828,91,334260,57709,Europe
Kuwait,10277,,75,,3101,7101,158,2406,18,196397,45988,Asia
Serbia,10243,,220,,3600,6423,23,1172,25,151304,17317,Europe
Egypt,10093,,544,,2326,7223,41,99,5,90000,879,Africa
Panama,8783,167,252,3,6021,2510,87,2036,58,44561,10328,North America
Czechia,8198,,283,,4865,3050,42,766,26,314138,29334,Europe
Norway,8157,,228,,32,7897,23,1505,42,205239,37858,Europe
Australia,6980,16,98,1,6270,612,18,274,4,904110,35455,Australia/Oceania
Malaysia,6742,,109,,5223,1410,16,208,3,271721,8395,Asia
Argentina,6563,,319,,1862,4382,170,145,7,87547,1937,South America
Morocco,6418,,188,,2991,3239,1,174,5,71815,1946,Africa
Algeria,6067,,515,,2998,2554,22,138,12,6500,148,Africa
Finland,6003,,275,,4300,1428,34,1083,50,126500,22831,Europe
Bahrain,5531,,9,,2192,3330,5,3251,5,197898,116303,Asia
Kazakhstan,5279,,32,,2223,3024,31,281,2,422011,22475,Asia
Moldova,5154,,182,,2069,2903,251,1278,45,20447,5069,Europe
Ghana,5127,,22,,494,4611,5,165,0.7,162184,5219,Africa
Afghanistan,4963,,127,,610,4226,7,127,3,18098,465,Asia
Nigeria,4787,,158,,959,3670,7,23,0.8,28418,138,Africa
Luxembourg,3894,,102,,3610,182,22,6221,163,56394,90089,Europe
Oman,3721,,17,,1250,2454,27,729,3,50000,9791,Asia
Armenia,3538,,47,,1430,2061,10,1194,16,33313,11242,Asia
Hungary,3313,,425,,1007,1881,45,343,44,114719,11875,Europe
Thailand,3017,,56,,2798,163,61,43,0.8,286008,4098,Asia
Bolivia,2964,133,128,6,313,2523,3,254,11,7651,655,South America
Iraq,2913,,112,,1903,898,,72,3,132457,3293,Asia
Greece,2744,,152,,1374,1218,32,263,15,106054,10175,Europe
Azerbaijan,2693,,33,,1680,980,28,266,3,202282,19951,Asia
Cameroon,2689,,125,,1524,1040,28,101,5,,,Africa
Uzbekistan,2519,,10,,2010,499,8,75,0.3,325000,9710,Asia
Guinea,2298,,11,,816,1471,,175,0.8,,,Africa
Croatia,2207,,91,,1808,308,11,538,22,47480,11566,Europe
Bosnia and Herzegovina,2158,,117,,1168,873,4,658,36,43451,13244,Europe
Honduras,2100,,116,,206,1778,10,212,12,5653,571,North America
Bulgaria,2023,,95,,476,1452,51,291,14,58713,8450,Europe
Senegal,1995,,19,,742,1234,6,119,1,18969,1133,Africa
Ivory Coast,1857,,21,,820,1016,,70,0.8,14618,554,Africa
Cuba,1804,,78,,1277,449,4,159,7,71157,6282,North America
Iceland,1801,,10,,1776,15,,5278,29,54791,160563,Europe
Estonia,1746,,61,,777,908,5,1316,46,64975,48981,Europe
North Macedonia,1674,,92,,1205,377,21,804,44,19430,9326,Europe
Sudan,1661,,80,,173,1408,,38,2,,,Africa
New Zealand,1497,,21,,1402,74,2,310,4,203045,42106,Australia/Oceania
Lithuania,1491,,50,,850,591,17,548,18,192386,70671,Europe
Slovakia,1465,,27,,983,455,6,268,5,122708,22475,Europe
Slovenia,1461,,102,,259,1100,9,703,49,64547,31048,Europe
Djibouti,1256,,3,,886,367,,1271,3,16093,16288,Africa
Guatemala,1199,85,27,1,120,1052,5,67,2,7200,402,North America
Somalia,1170,,52,,126,992,2,74,3,,,Africa
DRC,1102,,44,,146,912,,12,0.5,,,Africa
Mayotte,1095,,12,,492,591,9,4014,44,4000,14662,Africa
Hong Kong,1048,,4,,991,53,1,140,0.5,168291,22448,Asia
Kyrgyzstan,1037,,12,,709,316,13,159,2,59490,9118,Asia
Tunisia,1032,,45,,740,247,5,87,4,33880,2867,Africa
El Salvador,998,,20,,349,629,15,154,3,44926,6926,North America
Latvia,950,,18,,627,305,2,504,10,79047,41908,Europe
Maldives,904,,3,,29,872,2,1672,6,11775,21784,Asia
Cyprus,903,,16,,449,438,10,748,13,78338,64884,Asia
Sri Lanka,889,,9,,366,514,1,42,0.4,37662,1759,Asia
Albania,876,,31,,682,163,1,304,11,10802,3754,Europe
Lebanon,870,,26,,234,610,3,127,4,53269,7804,Asia
Gabon,863,,9,,137,717,1,388,4,5530,2485,Africa
