#,Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent
,North America,1662832,2524,101950,288,422630,1138252,17398,,,,,,North America
,Europe,1761424,72,161678,6,756375,843371,11759,,,,,,Europe
,South America,425165,618,22436,30,147172,255557,10423,,,,,,South America
,Asia,780079,1998,24342,40,446182,309555,4941,,,,,,Asia
,Africa,83365,2,2726,,32107,48532,288,,,,,,Africa
,Oceania,8647,9,119,,7897,631,16,,,,,,Australia/Oceania
,,721,,15,,651,55,4,,,,,,
,World,4722233,5223,313266,364,1813014,2595953,44829,606,40.2,,,,All
1,USA,1507773,,90113,,339232,1078428,16248,4558,272,11949625,36127,330764077,North America
2,Spain,276505,,27563,,192253,56689,1208,5914,590,3037840,64977,46752605,Europe
3,Russia,272043,,2537,,63166,206340,2300,1864,17,6656340,45614,145926952,Europe
4,UK,240161,,34466,,N/A,N/A,1559,3540,508,2489563,36696,67842296,Europe
5,Brazil,233511,369,15662,29,89672,128177,8318,1100,74,735224,3462,212372688,South America
6,Italy,224760,,31763,,122810,70187,775,3717,525,2944859,48698,60472408,Europe
7,France,179365,,27625,,61066,90674,2132,2749,423,1384633,21218,65256039,Europe
8,Germany,176244,,8027,,153400,14817,1203,2104,96,3147771,37585,83751395,Europe
9,Turkey,148067,,4096,,108137,35834,906,1758,49,1589625,18874,84225118,Asia
10,Iran,118392,,6937,,93147,18308,2716,1412,83,672679,8022,83856767,Asia
11,India,90927,279,2872,1,34224,53831,,66,2,2227642,1616,1378307692,Asia
12,Peru,88541,,2523,,28272,57746,840,2690,77,630482,19156,32913388,South America
13,Canada,75864,,5679,,37819,32366,502,2012,151,1265502,33567,37700962,North America
14,Belgium,54989,,9005,,14460,31524,364,4747,777,663755,57302,11583464,Europe
15,Saudi Arabia,52016,,302,,23666,28048,166,1497,9,565228,16268,34744365,Asia
16,Mexico,47144,2112,5045,278,31848,10251,378,366,39,163691,1271,128762855,North America
17,Netherlands,43870,,5670,,N/A,N/A,346,2561,331,287943,16809,17130286,Europe
18,Chile,41428,,421,,18014,22993,751,2169,22,350325,18346,19095791,South America
19,Pakistan,40151,1352,873,39,11341,27937,111,182,4,373410,1695,220333311,Asia
20,Ecuador,32763,,2688,,3433,26642,197,1861,153,93344,5301,17608766,South America
21,Qatar,30972,,15,,3788,27169,158,10774,5,152704,53118,2874781,Asia
22,Switzerland,30572,,1879,,27400,1293,69,3536,217,339364,39247,8646793,Europe
23,Sweden,29677,,3674,,4971,21032,278,2941,364,177500,17589,10091512,Europe
24,Portugal,28810,,1203,,3822,23785,115,2824,118,600061,58828,10200225,Europe
25,Belarus,28681,,160,,9498,19023,92,3035,17,335057,35457,9449695,Europe
26,Singapore,27356,,22,,8342,18992,16,4681,4,246254,42133,5844637,Asia
27,Ireland,24048,,1533,,19470,3045,69,4877,311,258808,52488,4930848,Europe
28,UAE,22627,,214,,7931,14482,1,2291,22,1560923,158063,9875312,Asia
