#,Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent
,North America,1635117,2950,99934,301,408578,1126605,17295,,,,,,North America
,Europe,1751668,10539,160700,218,746719,844249,12182,,,,,,Europe
,South America,403345,2273,21460,157,139719,242166,10271,,,,,,South America
,Asia,763296,5372,24048,85,434297,304951,4932,,,,,,Asia
,Africa,80123,343,2651,12,30470,47002,287,,,,,,Africa
,Oceania,8639,18,119,,7881,639,19,,,,,,Australia/Oceania
,,721,,15,,651,55,4,,,,,,
,World,4642909,21495,308927,773,1768315,2565667,44990,596,39.6,,,,All
1,USA,1484287,2,88507,,327751,1068029,16139,4488,268,11090900,33532,330758784,North America
2,Spain,274367,,27459,,188967,57941,1320,5868,587,3037840,64977,46752556,Europe
3,Russia,272043,9200,2537,119,63166,206340,2300,1864,17,6600000,45228,145926781,Europe
4,UK,236711,,33998,,N/A,N/A,1559,3489,501,2353078,34685,67841324,Europe
5,Italy,223885,,31610,,120205,72070,808,3702,523,2875680,47553,60472650,Europe
6,Brazil,220291,2068,14962,145,84970,120359,8318,1037,70,735224,3462,212368566,South America
7,France,179506,,27529,,60448,91529,2203,2751,422,1384633,21219,65255646,Europe
8,Germany,175699,,8001,,152600,15098,1294,2098,96,3147771,37585,83750665,Europe
9,Turkey,146457,,4055,,106133,36269,944,1739,48,1547389,18373,84222640,Asia
10,Iran,116635,,6902,,91836,17897,2727,1391,82,658604,7854,83853830,Asia
11,India,86508,724,2760,7,30773,52975,,63,2,2134277,1549,1378270651,Asia
12,Peru,84495,,2392,,27147,54956,851,2567,73,605383,18394,32912133,South America
13,Canada,74613,,5562,,36895,32156,502,1979,148,1225049,32495,37700059,North America
14,Belgium,54989,345,9005,46,14460,31524,364,4747,777,663755,57303,11583327,Europe
15,Saudi Arabia,49176,,292,,21869,27015,167,1415,8,530265,15263,34742883,Asia
16,Mexico,45032,2437,4767,290,30451,9814,378,350,37,163691,1271,128759156,North America
17,Netherlands,43681,,5643,,N/A,N/A,378,2550,329,287943,16809,17130183,Europe
