#,Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent
,North America,1821895,26695,111512,1717,497776,1212607,18345,,,,,,North America
,Europe,1868113,19791,168419,1614,849067,850627,10477,,,,,,Europe
,South America,565570,16946,28840,762,209241,327489,10700,,,,,,South America
,Asia,911947,24690,26655,411,531629,353663,4869,,,,,,Asia
,Africa,105593,3909,3193,78,42761,59639,290,,,,,,Africa
,Oceania,8703,15,122,1,8035,546,8,,,,,,Australia/Oceania
,,721,,15,,651,55,4,,,,,,
,World,5282542,92046,338756,4583,2139160,2804626,44693,678,43.5,,,,All
1,USA,1642652,21750,97538,1184,396075,1149039,17207,4966,295,13818030,41773,330790544,North America
2,Russia,326448,8894,3249,150,99825,223374,2300,2237,22,8126626,55689,145927804,Europe
3,Brazil,319069,8148,20541,459,125960,172568,8318,1502,97,735224,3462,212393298,South America
4,Spain,281904,1787,28628,688,196958,56318,1152,6030,612,3037840,64977,46752851,Europe
5,UK,254195,3287,36393,351,N/A,N/A,1559,3747,536,3231921,47635,67847158,Europe
6,Italy,228658,652,32616,130,136720,59322,595,3781,539,3318778,54882,60471198,Europe
7,France,182219,393,28289,74,64209,89721,1701,2792,433,1384633,21218,65258007,Europe
8,Germany,179713,692,8352,43,159000,12361,965,2146,100,3595059,42923,83755045,Europe
9,Turkey,154500,952,4276,27,116111,34113,800,1834,51,1767495,20982,84237509,Asia
10,Iran,131652,2311,7300,51,102276,22076,2659,1570,87,763913,9108,83871454,Asia
11,India,124794,6568,3726,142,51824,69244,,91,3,2719434,1973,1378492893,Asia
12,Peru,111698,2929,3244,96,44848,63606,886,3393,99,750526,22799,32919665,South America
13,Canada,82420,1096,6245,93,42481,33694,502,2186,166,1379731,36592,37705478,North America
14,Saudi Arabia,67719,2642,364,13,39003,28352,302,1949,10,667057,19195,34751777,Asia
15,Chile,61857,4276,630,41,25342,35885,986,3239,33,442093,23149,19098031,South America
16,Mexico,59567,2973,6510,420,40657,12400,378,463,51,201838,1567,128781349,North America
17,Belgium,56511,276,9212,26,15123,32176,268,4878,795,757328,65376,11584152,Europe
18,Pakistan,50694,2603,1067,50,15201,34426,111,230,5,445987,2024,220392002,Asia
19,Netherlands,44888,188,5788,13,N/A,N/A,252,2620,338,313755,18315,17130802,Europe
20,Qatar,40481,1830,19,2,7893,32569,175,14078,7,180642,62822,2875446,Asia
21,Ecuador,35828,522,3056,117,3557,29215,191,2034,174,104330,5924,17612428,South America
22,Belarus,34303,932,190,5,12833,21280,92,3630,20,419004,44341,9449653,Europe
23,Sweden,32809,637,3925,54,4971,23913,265,3251,389,209900,20798,10092371,Europe
24,Switzerland,30707,13,1903,5,27900,904,51,3551,220,364321,42129,8647657,Europe
25,Singapore,30426,614,23,,12995,17408,8,5205,4,294414,50368,5845265,Asia
26,Bangladesh,30205,1694,432,24,6190,23583,1,184,3,223841,1361,164506480,Asia
27,Portugal,30200,288,1289,12,7590,21321,84,2961,126,689705,67619,10199821,Europe
28,UAE,27892,994,241,4,13798,13853,1,2824,24,1600923,162087,9876944,Asia
29,Ireland,24506,115,1592,9,21060,1854,54,4969,323,295626,59945,4931601,Europe
30,Indonesia,20796,634,1326,48,5057,14413,,76,5,229334,839,273200237,Asia
31,Poland,20619,476,982,10,8731,10906,160,545,26,719571,19011,37850989,Europe
32,Ukraine,20148,442,588,9,6585,12975,256,460,13,267185,6106,43760843,Europe
33,South Africa,20125,988,397,28,10104,9624,119,340,7,543032,9169,59224262,Africa
34,Kuwait,19564,955,138,9,5515,13911,180,4589,32,264959,62148,4263365,Asia
35,Colombia,19131,801,682,30,4575,13874,136,376,13,214536,4221,50822230,South America
36,Romania,17712,127,1166,10,10777,5769,200,920,61,352647,18318,19250875,Europe
37,Israel,16690,7,279,,13915,2496,47,1815,30,531124,57746,9197590,Asia
38,Austria,16436,32,635,2,15005,796,31,1826,71,390488,43384,9000787,Europe
39,Japan,16424,,777,,12672,2975,195,130,6,261572,2067,126516956,Asia
40,Egypt,15786,783,707,11,4374,10705,41,155,7,135000,1322,102109848,Africa
41,Dominican Republic,13989,332,456,8,7572,5961,113,1291,42,61330,5660,10835780,North America
42,Philippines,13597,163,857,11,3092,9648,81,124,8,278041,2541,109415846,Asia
43,Denmark,11230,48,561,,9764,905,23,1940,97,514765,88906,5789998,Europe
44,S. Korea,11142,20,264,,10162,716,15,217,5,802418,15653,51264480,Asia
45,Serbia,11024,105,237,,5541,5246,12,1261,27,209797,24001,8741034,Europe
46,Panama,10116,,291,,6245,3580,72,2349,68,53928,12521,4306982,North America
47,Argentina,9931,,419,3,3062,6450,171,220,9,121278,2686,45149718,South America
48,Afghanistan,9216,540,205,12,996,8015,19,237,5,27889,718,38824552,Asia
49,Czechia,8770,16,312,6,6019,2439,29,819,29,387127,36157,10706852,Europe
50,Bahrain,8414,240,12,,4096,4306,7,4966,7,269179,158887,1694155,Asia
51,Norway,8322,13,235,,7727,360,13,1536,43,229769,42420,5416564,Europe
52,Algeria,7918,190,582,7,4256,3080,22,181,13,,,43759272,Africa
53,Kazakhstan,7597,363,35,,4096,3466,31,405,2,612997,32691,18751427,Asia
54,Morocco,7332,121,197,1,4377,2758,1,199,5,123402,3348,36861343,Africa
55,Malaysia,7137,78,115,1,5859,1163,9,221,4,491729,15215,32319132,Asia
56,Australia,7095,14,101,1,6479,515,7,279,4,1170682,45969,25466640,Australia/Oceania
57,Nigeria,7016,,211,,1907,4898,7,34,1,41907,204,205528166,Africa
58,Moldova,6847,143,237,4,3369,3241,251,1697,59,40565,10053,4034947,Europe
59,Oman,6794,424,34,3,1821,4939,31,1335,7,72000,14143,5091036,Asia
60,Finland,6537,44,306,,4800,1431,21,1180,55,163000,29423,5539799,Europe
61,Ghana,6486,217,31,,1951,4504,12,209,1,192194,6200,30996750,Africa
62,Armenia,5928,322,74,4,2874,2980,10,2001,25,47654,16085,2962649,Asia
63,Bolivia,5187,268,215,16,561,4411,3,445,18,14803,1270,11654953,South America
64,Cameroon,4400,112,159,3,1822,2419,28,166,6,,,26466746,Africa
65,Luxembourg,3981,1,109,,3748,124,5,6372,174,65724,105191,624808,Europe
66,Iraq,3964,87,147,7,2532,1285,,99,4,175830,4383,40115676,Asia
67,Azerbaijan,3855,106,46,2,2399,1410,42,381,5,252496,24928,10129036,Asia
68,Hungary,3678,37,476,3,1587,1615,23,381,49,155801,16124,9662923,Europe
69,Sudan,3378,240,137,16,372,2869,,77,3,394,9,43727573,Africa
70,Honduras,3204,104,156,5,397,2651,13,324,16,11820,1196,9886537,North America
71,Guinea,3067,,18,,1575,1474,18,234,1,10304,787,13089690,Africa
72,Thailand,3037,,56,,2910,71,61,44,0.8,328073,4701,69781150,Asia
73,Uzbekistan,3028,64,13,,2492,523,4,91,0.4,460000,13767,33413938,Asia
74,Senegal,2909,97,33,,1311,1565,6,174,2,32883,1970,16690729,Africa
75,Greece,2874,21,169,1,1374,1331,19,276,16,147958,14188,10428331,Europe
76,Tajikistan,2551,201,44,,1089,1418,,268,5,,,9512290,Asia
77,Guatemala,2512,247,48,3,222,2242,5,141,3,25464,1424,17877078,North America
78,Bosnia and Herzegovina,2372,22,141,1,1614,617,4,723,43,57507,17517,3282920,Europe
79,Bulgaria,2372,41,125,5,769,1478,29,341,18,71605,10297,6953796,Europe
80,Ivory Coast,2341,40,29,,1146,1166,,89,1,22233,845,26300113,Africa
81,Djibouti,2270,223,10,,1064,1196,,2301,10,22097,22403,986363,Africa
82,Croatia,2243,6,99,2,2011,133,5,546,24,59911,14584,4107874,Europe
83,DRC,1945,110,63,2,312,1570,,22,0.7,,,89226763,Africa
84,North Macedonia,1921,23,112,1,1387,422,21,922,54,24018,11528,2083383,Europe
85,Cuba,1916,8,81,1,1631,204,4,169,7,90911,8026,11327348,North America
86,Estonia,1807,7,64,,1508,235,2,1362,48,74604,56244,1326440,Europe
87,Iceland,1803,,10,,1791,2,,5287,29,58225,170748,341000,Europe
88,Gabon,1728,161,12,,402,1314,6,779,5,8622,3885,2219485,Africa
89,El Salvador,1725,85,33,,562,1130,26,266,5,67663,10438,6482643,North America
90,Lithuania,1604,11,61,,1111,432,17,588,22,259043,95025,2726052,Europe
91,Somalia,1594,,61,,204,1329,2,101,4,,,15839369,Africa
92,Mayotte,1521,46,19,,894,608,11,5591,70,5200,19116,272030,Africa
93,New Zealand,1504,1,21,,1455,28,1,312,4,250246,51941,4817906,Australia/Oceania
94,Slovakia,1503,1,28,,1256,219,2,275,5,154529,28305,5459361,Europe
95,Slovenia,1468,,106,,1340,22,3,706,51,75110,36130,2078908,Europe
96,Kyrgyzstan,1350,37,14,,939,397,5,207,2,98281,15093,6511813,Asia
97,Maldives,1274,58,4,,109,1161,9,2362,7,11775,21828,539443,Asia
98,Kenya,1161,52,50,,380,731,1,22,0.9,55074,1027,53631400,Africa
99,Guinea-Bissau,1109,,6,,42,1061,,565,3,1500,764,1962465,Africa
100,Lebanon,1086,62,26,,663,397,3,159,4,69610,10194,6828619,Asia
101,Sri Lanka,1068,20,9,,620,439,1,50,0.4,49124,2295,21403517,Asia
102,Hong Kong,1066,2,4,,1029,33,1,142,0.5,168291,22468,7490261,Asia
103,Tunisia,1046,,47,,883,116,3,89,4,45308,3838,11804800,Africa
104,Latvia,1030,5,22,,712,296,2,545,12,96366,51033,1888294,Europe
105,Albania,981,12,31,,777,173,3,341,11,12933,4494,2878129,Europe
106,Mali,969,22,62,2,560,347,,48,3,3483,173,20179688,Africa
107,Equatorial Guinea,960,57,11,1,165,784,,687,8,854,611,1397254,Africa
108,Niger,937,13,60,,764,113,,39,2,5971,248,24095961,Africa
109,Cyprus,927,4,17,,561,349,10,768,14,95349,79036,1206392,Asia
110,Zambia,920,54,7,,336,577,1,50,0.4,20011,1092,18321393,Africa
111,Costa Rica,911,8,10,,600,301,4,179,2,22554,4432,5088953,North America
112,Venezuela,882,,10,,262,610,2,31,0.4,697691,24528,28444376,South America
113,Paraguay,838,2,11,,264,563,,118,2,21987,3087,7122661,South America
114,Burkina Faso,814,2,52,,672,90,,39,2,,,20833816,Africa
115,Andorra,762,,51,,652,59,3,9864,660,3750,48542,77252,Europe
116,Uruguay,749,,20,,594,135,4,216,6,36537,10522,3472430,South America
117,Haiti,734,71,25,3,21,688,,64,2,2519,221,11386865,North America
118,Georgia,723,2,12,,495,216,6,181,3,45707,11455,3989972,Asia
119,Diamond Princess,712,,13,,651,48,4,,,,,0,
120,Jordan,700,16,9,,461,230,5,69,0.9,159320,15632,10191845,Asia
121,San Marino,661,3,41,,254,366,1,19485,1209,3873,114170,33923,Europe
122,Chad,611,23,58,,196,357,,37,4,,,16368402,Africa
123,Sierra Leone,606,21,38,3,230,338,,76,5,,,7957977,Africa
124,Malta,600,1,6,,469,125,1,1359,14,57784,130906,441416,Europe
125,South Sudan,563,82,6,2,6,551,,50,0.5,3356,300,11178970,Africa
126,Channel Islands,558,,45,,508,5,,3213,259,5342,30757,173685,Europe
127,Jamaica,534,5,9,,181,344,,180,3,9178,3101,2959765,North America
128,Nepal,516,59,3,,70,443,1,18,0.1,124604,4285,29076092,Asia
129,Tanzania,509,,21,,183,305,7,9,0.4,,,59527001,Africa
130,CAR,479,43,,,18,461,,99,,11570,2400,4820066,Africa
131,Congo,469,,16,,137,316,,85,3,,,5501846,Africa
132,Runion,449,,1,,411,37,2,502,1,17200,19226,894609,Africa
133,Madagascar,448,43,2,,135,311,2,16,0.07,5670,205,27605453,Africa
134,Taiwan,441,,7,,408,26,,19,0.3,70338,2954,23812157,Asia
135,Ethiopia,433,34,5,,128,300,,4,0.04,73205,639,114622829,Africa
136,Palestine,423,,2,,346,75,,83,0.4,44876,8821,5087326,Asia
137,Togo,363,9,12,,121,230,,44,1,14767,1789,8255653,Africa
138,Cabo Verde,362,6,3,,95,264,,652,5,892,1606,555311,Africa
139,Isle of Man,336,,24,,303,9,2,3954,282,4393,51692,84984,Europe
140,Mauritius,332,,10,,322,0,,261,8,101052,79472,1271542,Africa
141,Montenegro,324,,9,,314,1,,516,14,10167,16188,628058,Europe
142,Vietnam,324,,,,266,58,2,3,,275000,2828,97241403,Asia
143,Rwanda,321,1,,,222,99,,25,,55968,4334,12913795,Africa
144,Nicaragua,279,,17,,199,63,,42,3,,,6615686,North America
145,Sao Tome and Principe,251,,8,,4,239,,1148,37,175,800,218686,Africa
146,Liberia,249,9,24,1,136,89,,49,5,,,5043542,Africa
147,French Guiana,249,,1,,137,111,,836,3,,,297751,South America
148,Eswatini,225,5,2,,119,104,,194,2,4994,4310,1158822,Africa
149,Yemen,209,12,33,,11,165,,7,1,120,4,29748378,Asia
150,Mauritania,200,27,6,1,7,187,,43,1,2583,557,4634928,Africa
151,Myanmar,199,,6,,116,77,,4,0.1,17152,315,54369777,Asia
152,Martinique,197,5,14,,91,92,,525,37,,,375296,North America
153,Faeroe Islands,187,,,,187,0,,3829,,9084,185984,48843,Europe
154,Uganda,175,15,,,68,107,,4,,81682,1793,45562477,Africa
155,Mozambique,164,2,,,48,116,,5,,7480,240,31149023,Africa
156,Guadeloupe,155,,13,,109,33,3,387,32,2866,7163,400117,North America
157,Gibraltar,151,,,,147,4,,4482,,6101,181082,33692,Europe
158,Brunei,141,,1,,136,4,2,323,2,18193,41630,437013,Asia
159,Mongolia,141,1,,,28,113,27,43,,12153,3714,3272228,Asia
160,Benin,135,,3,,61,71,,11,0.2,26792,2217,12084945,Africa
161,Cayman Islands,129,8,1,,61,67,,1965,15,8426,128377,65635,North America
162,Bermuda,128,3,9,,81,38,2,2055,144,5784,92838,62302,North America
163,Guyana,127,,10,,57,60,3,162,13,1329,1691,786139,South America
164,Cambodia,123,,,,122,1,,7,,15830,948,16692685,Asia
165,Trinidad and Tobago,116,,8,,108,0,,83,6,2835,2026,1398999,North America
166,Aruba,101,,3,,95,3,4,946,28,2048,19191,106717,North America
167,Bahamas,97,,11,,44,42,1,247,28,1910,4862,392826,North America
168,Monaco,97,,4,,90,3,1,2474,102,,,39211,Europe
169,Barbados,90,,7,,70,13,4,313,24,4541,15804,287337,North America
170,Malawi,82,10,3,,28,51,1,4,0.2,2411,126,19070499,Africa
171,Liechtenstein,82,,1,,55,26,,2151,26,900,23612,38116,Europe
172,Comoros,78,44,1,,18,59,,90,1,,,867421,Africa
173,Sint Maarten,77,,15,,59,3,1,1798,350,437,10205,42821,North America
174,Libya,72,1,3,,38,31,,10,0.4,4351,634,6860692,Africa
175,Angola,60,2,3,,17,40,,2,0.09,6136,187,32740203,Africa
176,French Polynesia,60,,,,60,0,,214,,3686,13130,280731,Australia/Oceania
177,Syria,59,1,4,1,37,18,,3,0.2,,,17449901,Asia
178,Zimbabwe,51,,4,,18,29,,3,0.3,28019,1888,14838265,Africa
179,Macao,45,,,,45,0,,69,,,,648331,Asia
180,Burundi,42,,1,,20,21,,4,0.08,284,24,11847387,Africa
181,Saint Martin,40,,3,,33,4,1,1037,78,,,38590,North America
182,Eritrea,39,,,,39,0,,11,,,,3540846,Africa
183,Botswana,30,1,1,,19,10,,13,0.4,16100,6863,2346068,Africa
184,Antigua and Barbuda,25,,3,,19,3,1,256,31,183,1870,97839,North America
185,Gambia,25,1,1,,13,11,,10,0.4,1476,613,2408415,Africa
186,Timor-Leste,24,,,,24,0,,18,,738,561,1315521,Asia
187,Grenada,22,,,,17,5,4,196,,3007,26737,112466,North America
188,Bhutan,21,,,,6,15,,27,,14843,19260,770656,Asia
189,Laos,19,,,,14,5,,3,,5044,694,7263530,Asia
190,Namibia,19,1,,,14,5,,7,,2681,1057,2535571,Africa
191,Belize,18,,2,,16,0,,45,5,1435,3617,396791,North America
192,Fiji,18,,,,15,3,,20,,1300,1451,895730,Australia/Oceania
193,New Caledonia,18,,,,18,0,,63,,5454,19124,285193,Australia/Oceania
194,Saint Lucia,18,,,,18,0,,98,,867,4724,183536,North America
195,St. Vincent Grenadines,18,,,,14,4,,162,,175,1578,110902,North America
196,Curaao,16,,1,,14,1,,98,6,504,3073,164020,North America
197,Dominica,16,,,,16,0,,222,,433,6017,71967,North America
198,Saint Kitts and Nevis,15,,,,15,0,,282,,391,7355,53158,North America
199,Falkland Islands,13,,,,13,0,,3749,,426,122837,3468,South America
200,Turks and Caicos,12,,1,,10,1,,310,26,109,2820,38658,North America
201,Vatican City,12,,,,2,10,,14981,,,,801,Europe
202,Montserrat,11,,1,,10,0,,2204,200,36,7212,4992,North America
203,Suriname,11,,1,,9,1,,19,2,404,689,586049,South America
204,Greenland,11,,,,11,0,,194,,1767,31132,56759,North America
205,Seychelles,11,,,,11,0,,112,,,,98280,Africa
206,MS Zaandam,9,,2,,,7,,,,,,0,
207,British Virgin Islands,8,,1,,6,1,,265,33,167,5528,30209,North America
208,Papua New Guinea,8,,,,8,0,,0.9,,2402,269,8927298,Australia/Oceania
209,Caribbean Netherlands,6,,,,6,0,,229,,424,16186,26196,North America
210,St. Barth,6,,,,6,0,,608,,,,9874,North America
211,Western Sahara,6,,,,6,0,,10,,,,595583,Africa
212,Anguilla,3,,,,3,0,,200,,,,14988,North America
213,Lesotho,2,1,,,,2,,0.9,,,,2140374,Africa
214,Saint Pierre Miquelon,1,,,,1,0,,173,,,,5797,North America
215,China,82971,4,4634,,78255,82,8,58,3,,,1439323776,Asia
,Total:,1821895,26695,111512,1717,497776,1212607,18345,,,,,,North America
,Total:,1868113,19791,168419,1614,849067,850627,10477,,,,,,Europe
,Total:,565570,16946,28840,762,209241,327489,10700,,,,,,South America
,Total:,911947,24690,26655,411,531629,353663,4869,,,,,,Asia
,Total:,105593,3909,3193,78,42761,59639,290,,,,,,Africa
,Total:,8703,15,122,1,8035,546,8,,,,,,Australia/Oceania
