#,Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent
,North America,1805997,10797,110591,796,484663,1210743,19077,,,,,,North America
,Europe,1865330,17008,167611,806,848200,849519,10575,,,,,,Europe
,South America,557016,8392,28323,245,207828,320865,10700,,,,,,South America
,Asia,908933,21676,26602,358,528664,353667,4868,,,,,,Asia
,Africa,102647,963,3130,15,41191,58326,290,,,,,,Africa
,Oceania,8703,15,122,1,8035,546,8,,,,,,Australia/Oceania
,,721,,15,,651,55,4,,,,,,
,World,5249347,58851,336394,2221,2119232,2793721,45522,673,43.2,,,,All
1,USA,1627874,6972,96710,356,383743,1147421,17940,4921,292,13572761,41031,330790544,North America
2,Russia,326448,8894,3249,150,99825,223374,2300,2237,22,8126626,55689,145927804,Europe
3,Brazil,314769,3848,20267,185,125960,168542,8318,1482,95,735224,3462,212393298,South America
4,Spain,280117,,27940,,196958,55219,1152,5991,598,3037840,64977,46752851,Europe
5,UK,254195,3287,36393,351,N/A,N/A,1559,3747,536,3231921,47635,67847158,Europe
6,Italy,228658,652,32616,130,136720,59322,595,3781,539,3318778,54882,60471198,Europe
7,France,181826,,28215,,63858,89753,1745,2786,432,1384633,21218,65258007,Europe
8,Germany,179381,360,8325,16,159000,12056,1016,2142,99,3595059,42923,83755045,Europe
9,Turkey,153548,,4249,,114990,34309,820,1823,50,1729988,20537,84237509,Asia
10,Iran,131652,2311,7300,51,102276,22076,2659,1570,87,763913,9108,83871454,Asia
11,India,124073,5847,3707,123,51307,69059,,90,3,2719434,1973,1378492893,Asia
12,Peru,108769,,3148,,43587,62034,886,3304,96,736500,22373,32919665,South America
13,Canada,81324,,6152,,41715,33457,502,2157,163,1379731,36592,37705478,North America
14,Saudi Arabia,67719,2642,364,13,39003,28352,281,1949,10,667057,19195,34751777,Asia
15,Chile,61857,4276,630,41,25342,35885,986,3239,33,442093,23149,19098031,South America
16,Mexico,59567,2973,6510,420,40657,12400,378,463,51,201838,1567,128781349,North America
17,Belgium,56511,276,9212,26,15123,32176,268,4878,795,757328,65376,11584152,Europe
18,Pakistan,50694,2603,1067,50,15201,34426,111,230,5,445987,2024,220392002,Asia
19,Netherlands,44888,188,5788,13,N/A,N/A,252,2620,338,313755,18315,17130802,Europe
20,Qatar,40481,1830,19,2,7893,32569,175,14078,7,180642,62822,2875446,Asia
21,Ecuador,35306,,2939,,3557,28810,191,2005,167,101580,5768,17612428,South America
22,Belarus,34303,932,190,5,12833,21280,92,3630,20,419004,44341,9449653,Europe
23,Sweden,32809,637,3925,54,4971,23913,265,3251,389,209900,20798,10092371,Europe
24,Switzerland,30707,13,1903,5,27900,904,51,3551,220,364321,42129,8647657,Europe
25,Singapore,30426,614,23,,12995,17408,8,5205,4,294414,50368,5845265,Asia
26,Bangladesh,30205,1694,432,24,6190,23583,1,184,3,223841,1361,164506480,Asia
27,Portugal,30200,288,1289,12,7590,21321,84,2961,126,689705,67619,10199821,Europe
28,UAE,26898,,237,,12755,13906,1,2723,24,1600923,162087,9876944,Asia
29,Ireland,24391,,1583,,21060,1748,54,4946,321,295626,59945,4931601,Europe
30,Indonesia,20796,634,1326,48,5057,14413,,76,5,229334,839,273200237,Asia
31,Poland,20619,476,982,10,8731,10906,160,545,26,719571,19011,37850989,Europe
