Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Continent
North America,1343983,24946,79222,2448,246929,1017832,17420,,,,,North America
Europe,1493626,23715,144100,1957,568515,781011,16507,,,,,Europe
Asia,587017,14178,20428,350,315845,250744,5281,,,,,Asia
South America,231480,7206,11521,253,79683,140276,9959,,,,,South America
Africa,49739,1664,1907,59,16820,31012,129,,,,,Africa
Oceania,8437,23,116,1,7283,1038,29,,,,,Australia/Oceania
,721,,15,,645,61,4,,,,,
World,3715003,71732,257309,5068,1235720,2221974,49329,477,33.0,,,All
USA,1234487,21652,72054,2133,199148,963285,16174,3730,218,7686462,23222,North America
Spain,250561,2260,25613,185,154718,70230,2254,5359,548,1932455,41332,Europe
Italy,213013,1075,29315,236,85231,98467,1427,3523,485,2246666,37158,Europe
UK,194990,4406,29427,693,N/A,165219,1559,2872,433,1383842,20385,Europe
France,170551,1089,25531,330,52736,92284,3430,2613,391,1100228,16856,Europe
Germany,166706,554,6993,,135100,24613,1937,1990,83,2547052,30400,Europe
Russia,155370,10102,1451,95,19865,134054,2300,1065,10,4460357,30564,Europe
Turkey,129491,1832,3520,59,73285,52686,1338,1535,42,1204421,14281,Asia
Brazil,110156,1890,7485,142,45815,56856,8318,518,35,339552,1597,South America
Iran,99970,1323,6340,63,80475,13155,2685,1190,75,519543,6186,Asia
Canada,61981,1209,4037,183,26661,31283,557,1642,107,919368,24359,North America
Peru,51189,3817,1444,100,15413,34332,709,1553,44,406579,12331,South America
Belgium,50509,242,8016,92,12441,30052,646,4358,692,456194,39362,Europe
India,49400,2963,1693,127,14142,33565,,36,1,1191946,864,Asia
Netherlands,41087,317,5168,86,N/A,35669,644,2398,302,235909,13768,Europe
Ecuador,31881,,1569,,3433,26879,159,1807,89,80171,4544,South America
Saudi Arabia,30251,1595,200,9,5431,24620,143,869,6,376607,10818,Asia
