Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Continent
North America,1233976,9021,72474,694,201858,959644,17724,,,,,North America
Europe,1422346,23656,139142,1733,530668,752536,17785,,,,,Europe
Asia,540655,6814,19125,164,278485,243045,5535,,,,,Asia
South America,192176,2077,9525,45,64497,118154,9810,,,,,South America
Oceania,8370,22,113,1,7134,1123,30,,,,,Australia/Oceania
Africa,42294,854,1709,18,14222,26363,126,,,,,Africa
,721,,15,,645,61,4,,,,,
World,3440538,42444,242103,2655,1097509,2100926,51014,441,31.1,,,All
USA,1137374,6344,66262,509,161957,909155,16481,3436,200,6752211,20399,North America
Spain,245567,2588,25100,276,146233,74234,2386,5252,537,1528833,32699,Europe
Italy,209328,1900,28710,474,79914,100704,1539,3462,475,2108837,34879,Europe
UK,182260,4806,28131,621,N/A,153785,1559,2685,414,1129907,16644,Europe
France,167346,,24594,,50212,92540,3878,2564,377,1100228,16856,Europe
Germany,164380,303,6736,,129000,28644,2189,1962,80,2547052,30400,Europe
Russia,124054,9623,1222,53,15013,107819,2300,850,8,3945518,27036,Europe
Turkey,122392,,3258,,53808,65326,1480,1451,39,1075048,12747,Asia
Iran,96448,802,6156,65,77350,12942,2787,1148,73,484541,5769,Asia
Brazil,92630,521,6434,24,38039,48157,8318,436,30,339552,1597,South America
Canada,55572,511,3446,55,23316,28810,557,1472,91,832222,22050,North America
Belgium,49517,485,7765,62,12211,29541,689,4273,670,260996,22520,Europe
Peru,40459,,1124,,11129,28206,658,1227,34,342498,10388,South America
Netherlands,40236,445,4987,94,N/A,34999,708,2348,291,225899,13184,Europe
India,37776,519,1223,,10007,26546,,27,0.9,976363,708,Asia
Switzerland,29817,112,1760,6,23900,4157,141,3445,203,276000,31890,Europe
Ecuador,26336,,1063,,1913,23360,149,1493,60,71950,4078,South America
Saudi Arabia,25459,1362,176,7,3765,21518,139,731,5,339775,9760,Asia
Portugal,25190,203,1023,16,1671,22496,150,2470,100,426836,41860,Europe
Sweden,22082,562,2669,16,1005,18408,531,2186,264,119500,11833,Europe
Ireland,20833,,1265,,13386,6182,123,4219,256,153954,31179,Europe
Mexico,20739,1515,1972,113,12377,6390,378,161,15,91188,707,North America
Pakistan,18770,678,432,15,4753,13585,111,85,2,193859,878,Asia
Chile,18435,1427,247,13,9572,8616,386,964,13,189433,9910,South America
Singapore,17548,447,17,1,1347,16184,24,2999,3,143919,24600,Asia
Israel,16152,51,227,2,9400,6525,107,1866,26,390022,45060,Asia
Belarus,15828,911,97,4,3117,12614,92,1675,10,195430,20682,Europe
Austria,15558,27,596,7,13180,1782,114,1727,66,269619,29936,Europe
Qatar,14872,776,12,,1534,13326,72,5162,4,101728,35309,Asia
Japan,14305,,455,,2975,10875,328,113,4,174150,1377,Asia
Poland,13375,270,664,13,3762,8949,160,353,18,366013,9671,Europe
UAE,13038,,111,,2543,10384,1,1318,11,1200000,121330,Asia
Romania,12732,165,771,27,4547,7414,265,662,40,190540,9905,Europe
Ukraine,11411,550,279,7,1498,9634,151,261,6,122752,2807,Europe
Indonesia,10843,292,831,31,1665,8347,,40,3,107943,395,Asia
S. Korea,10780,6,250,2,9123,1407,55,210,5,623069,12153,Asia
Denmark,9407,96,475,15,6889,2043,60,1624,82,221912,38312,Europe
Serbia,9362,157,189,4,1426,7747,57,1071,22,96637,11060,Europe
Philippines,8928,156,603,24,1124,7201,31,81,6,115012,1050,Asia
Bangladesh,8790,552,175,5,177,8438,1,53,1,76066,462,Asia
Norway,7783,,210,,32,7541,37,1436,39,172586,31835,Europe
Czechia,7750,13,245,5,3446,4059,67,724,23,253826,23702,Europe
Dominican Republic,7578,290,326,13,1481,5771,144,699,30,30102,2775,North America
Colombia,7006,,314,,1551,5141,118,138,6,108950,2141,South America
Australia,6783,16,93,,5789,901,28,266,4,611583,23984,Australia/Oceania
Panama,6720,188,192,4,622,5906,85,1557,44,31895,7392,North America
Malaysia,6176,105,103,,4326,1747,31,191,3,184213,5692,Asia
South Africa,5951,,116,,2382,3453,36,100,2,217522,3668,Africa
Egypt,5895,,406,,1460,4029,,58,4,90000,879,Africa
Finland,5176,125,220,2,3000,1956,52,934,40,101800,18373,Europe
Morocco,4687,118,172,1,1235,3280,1,127,5,38102,1032,Africa
Kuwait,4619,242,33,3,1703,2883,69,1082,8,179000,41915,Asia
Argentina,4532,,229,4,1320,2983,157,100,5,61530,1361,South America
Algeria,4295,141,459,6,1872,1964,22,98,10,6500,148,Africa
Moldova,4052,72,124,2,1334,2594,237,1004,31,11763,2916,Europe
Luxembourg,3812,10,92,,3318,402,23,6090,147,47460,75817,Europe
Kazakhstan,3800,203,25,,985,2790,41,202,1,282862,15065,Asia
Bahrain,3273,103,8,,1567,1698,1,1924,5,138278,81265,Asia
Thailand,2966,6,54,,2732,180,61,42,0.8,178083,2551,Asia
Hungary,2942,79,335,12,625,1982,52,305,35,79551,8235,Europe
Greece,2620,8,143,3,1374,1103,37,251,14,78207,7503,Europe
Oman,2483,36,12,1,750,1721,17,486,2,40459,7923,Asia
Afghanistan,2469,134,72,4,331,2066,7,63,2,11068,284,Asia
Armenia,2273,125,33,,1010,1230,10,767,11,23142,7810,Asia
Iraq,2219,66,95,1,1473,651,,55,2,98253,2443,Asia
Nigeria,2170,,68,,351,1751,2,11,0.3,16588,80,Africa
Ghana,2169,95,18,1,229,1922,4,70,0.6,113497,3653,Africa
Uzbekistan,2113,27,9,,1271,833,8,63,0.3,242536,7247,Asia
Croatia,2088,3,77,2,1463,548,17,509,19,37557,9148,Europe
Cameroon,2077,245,64,3,953,1060,12,78,2,,,Africa
Azerbaijan,1894,40,25,,1411,458,17,187,2,152597,15050,Asia
Bosnia and Herzegovina,1839,58,72,2,779,988,4,561,22,32783,9992,Europe
Iceland,1798,,10,,1706,82,,5269,29,50002,146529,Europe
Estonia,1699,5,53,1,256,1390,7,1281,40,54464,41057,Europe
Bulgaria,1594,39,72,4,287,1235,43,229,10,47636,6856,Europe
Cuba,1537,,64,,714,759,10,136,6,49409,4362,North America
Guinea,1537,,7,,342,1188,,117,0.5,,,Africa
North Macedonia,1506,12,82,1,852,572,21,723,39,16997,8158,Europe
New Zealand,1485,6,20,1,1263,202,,308,4,145589,30191,Australia/Oceania
Slovenia,1439,5,94,2,239,1106,21,692,45,55020,26465,Europe
Slovakia,1407,4,24,1,608,775,5,258,4,94770,17358,Europe
Lithuania,1406,7,46,1,632,728,17,516,17,138270,50792,Europe
Ivory Coast,1333,,15,,597,721,,51,0.6,10073,382,Africa
Bolivia,1229,62,66,4,134,1029,3,105,6,5791,496,South America
Senegal,1115,91,9,,368,738,1,67,0.5,466,28,Africa
Djibouti,1112,15,2,,686,424,,1126,2,13856,14024,Africa
Hong Kong,1040,,4,,864,172,4,139,0.5,154989,20674,Asia
Tunisia,998,,41,,316,641,24,84,3,23526,1991,Africa
Honduras,899,95,75,,112,712,10,91,8,3643,368,North America
Latvia,871,1,16,,348,507,2,462,8,63102,33455,Europe
Cyprus,864,7,15,,296,553,15,716,12,60536,50139,Asia
Albania,789,7,31,,519,239,4,274,11,8669,3012,Europe
Kyrgyzstan,769,13,8,,527,234,12,118,1,51472,7889,Asia
Andorra,745,,43,,468,234,17,9642,557,1673,21653,Europe
Lebanon,733,4,25,1,197,511,43,107,4,37880,5550,Asia
Niger,728,,33,,478,217,,30,1,5230,216,Africa
Costa Rica,725,,6,,355,364,7,142,1,13529,2656,North America
Diamond Princess,712,,13,,645,54,4,,,,,
Sri Lanka,690,,7,,172,511,1,32,0.3,23525,1099,Asia
Burkina Faso,649,,44,,517,88,,31,2,,,Africa
Uruguay,648,,17,,435,196,10,187,5,20554,5917,South America
Guatemala,644,45,16,,72,556,5,36,0.9,7200,402,North America
DRC,604,,32,,75,497,,7,0.4,,,Africa
Somalia,601,,28,,31,542,2,38,2,,,Africa
Georgia,582,16,8,1,207,367,6,146,2,15904,3987,Asia
