Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Continent
North America,1498724,1959,90108,121,320935,1087681,17682,,,,,North America
Europe,1628576,,152740,,658498,817338,13992,,,,,Europe
South America,310189,119,16388,4,108640,185161,10114,,,,,South America
Asia,668792,59,22189,,371720,274883,4991,,,,,Asia
Africa,64752,2,2301,,22683,39768,235,,,,,Africa
Oceania,8549,10,118,,7649,782,20,,,,,Australia/Oceania
,721,,15,,651,55,4,,,,,
World,4180303,2149,283859,125,1490776,2405668,47038,536,36.4,,,All
USA,1367638,,80787,,256336,1030515,16514,4132,244,9444525,28533,North America
Spain,264663,,26621,,176439,61603,1650,5661,569,2467761,52781,Europe
UK,219183,,31855,,N/A,186984,1559,3229,469,1821280,26829,Europe
Italy,219070,,30560,,105186,83324,1027,3623,505,2565912,42439,Europe
Russia,209688,,1915,,34306,173467,2300,1437,13,5448463,37335,Europe
France,176970,,26380,,56217,94373,2776,2711,404,1384633,21213,Europe
Germany,171879,,7569,,144400,19910,1581,2051,90,2755770,32891,Europe
Brazil,162699,,11123,,64957,86619,8318,765,52,339552,1597,South America
Turkey,138657,,3786,,92691,42180,1154,1644,45,1370598,16251,Asia
Iran,107603,,6640,,86143,14820,2675,1281,79,586699,6985,Asia
Canada,68848,,4870,,32096,31882,502,1824,129,1135984,30099,North America
Peru,67307,,1889,,21349,44069,774,2041,57,504930,15314,South America
India,67161,,2212,,20969,43980,,49,2,1609037,1166,Asia
Belgium,53081,,8656,,13642,30783,476,4580,747,566101,48846,Europe
Netherlands,42627,,5440,,N/A,36937,507,2488,317,254573,14857,Europe
Saudi Arabia,39048,,246,,11457,27345,143,1122,7,449644,12916,Asia
Mexico,35022,1562,3465,112,21824,9733,378,272,27,128148,994,North America
Pakistan,30334,,659,,8063,21612,111,137,3,283517,1284,Asia
Switzerland,30305,,1833,,26600,1872,101,3502,212,309595,35772,Europe
Ecuador,29559,,2127,,3433,23999,181,1675,121,84287,4777,South America
Chile,28866,,312,,13112,15442,544,1510,16,280684,14683,South America
Portugal,27581,,1135,,2549,23897,112,2705,111,517660,50767,Europe
Sweden,26322,,3225,,4971,18126,360,2606,319,148500,14704,Europe
Singapore,23336,,20,,2721,20595,23,3989,3,175604,30016,Asia
Ireland,22996,,1458,,17110,4428,72,4657,295,214761,43493,Europe
Belarus,22973,,131,,6406,16436,92,2431,14,263543,27890,Europe
Qatar,22520,,14,,2753,19753,72,7817,5,127769,44348,Asia
UAE,18198,,198,,4804,13196,1,1840,20,1200000,121330,Asia
Israel,16477,,252,,11430,4795,74,1904,29,455267,52598,Asia
Poland,15996,,800,,5698,9498,160,423,21,476904,12601,Europe
Austria,15871,,618,,13991,1262,72,1762,69,316508,35143,Europe
Japan,15777,,624,,8127,7026,287,125,5,214256,1694,Asia
Romania,15362,,961,,7051,7350,242,799,50,256749,13346,Europe
Ukraine,15232,,391,,3060,11781,201,348,9,176403,4034,Europe
Bangladesh,14657,,228,,2650,11779,1,89,1,122657,745,Asia
Indonesia,14032,,973,,2698,10361,,51,4,158273,579,Asia
Colombia,11063,,463,,2705,7895,130,217,9,144912,2848,South America
S. Korea,10909,35,256,,9632,1021,55,213,5,668492,13039,Asia
Philippines,10794,,719,,1924,8151,31,99,7,163177,1489,Asia
Denmark,10429,,529,,8217,1683,40,1801,91,317834,54873,Europe
Dominican Republic,10347,,388,,2763,7196,134,954,36,42615,3928,North America
Serbia,10114,,215,,3006,6893,43,1158,25,140592,16091,Europe
South Africa,10015,,194,,4173,5648,77,169,3,341336,5755,Africa
Egypt,9400,,525,,2075,6800,41,92,5,90000,879,Africa
Kuwait,8688,,58,,2729,5901,114,2034,14,196397,45988,Asia
Panama,8448,166,244,7,4687,3517,87,1958,57,42657,9886,North America
Czechia,8123,,280,,4474,3369,40,759,26,302493,28247,Europe
Norway,8105,,219,,32,7854,22,1495,40,195921,36140,Europe
Australia,6948,7,97,,6167,684,17,272,4,835085,32749,Australia/Oceania
Malaysia,6656,,108,,5025,1523,18,206,3,256937,7938,Asia
Morocco,6063,,188,,2554,3321,1,164,5,65924,1786,Africa
Argentina,6034,,305,,1757,3972,148,134,7,83018,1837,South America
Finland,5962,,267,,4000,1695,45,1076,48,121500,21929,Europe
Algeria,5723,,502,,2678,2543,22,131,11,6500,148,Africa
Kazakhstan,5090,,31,,1941,3118,31,271,2,398411,21218,Asia
Bahrain,4941,,8,,2070,2863,2,2904,5,184029,108152,Asia
Moldova,4927,,169,,1958,2800,237,1221,42,20447,5069,Europe
Afghanistan,4402,,120,,558,3724,7,113,3,15560,400,Asia
Nigeria,4399,,143,,778,3478,4,21,0.7,23835,116,Africa
Ghana,4263,,22,,378,3863,5,137,0.7,155201,4995,Africa
Luxembourg,3886,,101,,3586,199,14,6208,161,55250,88262,Europe
Oman,3399,,17,,1117,2265,17,666,3,50000,9791,Asia
Armenia,3313,,45,,1325,1943,10,1118,15,31590,10661,Asia
Hungary,3263,,413,,933,1917,50,338,43,108257,11206,Europe
Thailand,3009,,56,,2794,159,61,43,0.8,227860,3264,Asia
Iraq,2767,,109,,1734,924,,69,3,127153,3161,Asia
Greece,2716,,151,,1374,1191,30,261,14,98897,9488,Europe
Cameroon,2579,,114,,1465,1000,28,97,4,,,Africa
Bolivia,2556,119,118,4,273,2165,3,219,10,7651,655,South America
Azerbaijan,2519,,32,,1650,837,33,248,3,193411,19076,Asia
Uzbekistan,2418,,10,,1881,527,8,72,0.3,325000,9710,Asia
Croatia,2187,,90,,1764,333,13,533,22,44886,10934,Europe
Guinea,2146,,11,,714,1421,,163,0.8,,,Africa
Bosnia and Herzegovina,2117,,107,,1106,904,4,645,33,41282,12583,Europe
Honduras,1972,142,108,,203,1661,10,199,11,5653,571,North America
Bulgaria,1965,,91,,444,1430,58,283,13,57231,8237,Europe
Iceland,1801,,10,,1773,18,,5278,29,54195,158816,Europe
Cuba,1766,,77,,1193,496,5,156,7,67335,5945,North America
Estonia,1739,,60,,750,929,5,1311,45,63372,47773,Europe
