Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Continent
North America,1520174,1733,91369,122,329236,1099569,17655,,,,,North America
Europe,1653055,43,153930,4,670428,828697,13885,,,,,Europe
South America,320843,726,17048,32,112867,190928,10155,,,,,South America
Asia,685021,1314,22501,41,382763,279757,5001,,,,,Asia
Africa,67778,,2355,,23989,41434,220,,,,,Africa
Oceania,8571,22,118,,7707,746,19,,,,,Australia/Oceania
,721,,15,,651,55,4,,,,,
World,4256163,3838,287336,199,1527641,2441186,46939,546,36.9,,,All
USA,1385834,,81795,,262225,1041814,16484,4187,247,9619855,29063,North America
Spain,268143,,26744,,177846,63553,1650,5735,572,2467761,52781,Europe
UK,223060,,32065,,N/A,190651,1559,3286,472,1921770,28309,Europe
Russia,221344,,2009,,39801,179534,2300,1517,14,5636763,38625,Europe
Italy,219814,,30739,,106587,82488,999,3636,508,2606652,43112,Europe
France,177423,,26643,,56724,94056,2712,2718,408,1384633,21213,Europe
Germany,172576,,7661,,145617,19298,1576,2060,91,2755770,32891,Europe
Brazil,169594,451,11653,28,67384,90557,8318,798,55,339552,1597,South America
Turkey,139771,,3841,,95780,40150,1126,1657,46,1403320,16639,Asia
Iran,109286,,6685,,87422,15179,2703,1301,80,601324,7159,Asia
India,70827,59,2294,,22549,45984,,51,2,1759579,1275,Asia
Canada,69981,,4993,,32994,31994,502,1854,132,1135984,30099,North America
Peru,68822,,1961,,22406,44455,785,2087,59,512869,15555,South America
Belgium,53449,,8707,,13697,31045,478,4612,751,584707,50451,Europe
Netherlands,42788,,5456,,N/A,37082,498,2497,318,265156,15475,Europe
Saudi Arabia,41014,,255,,12737,28022,149,1178,7,467369,13425,Asia
Mexico,36327,1305,3573,108,23100,9654,378,282,28,130956,1016,North America
Pakistan,32081,1140,706,39,8555,22820,111,145,3,305851,1385,Asia
Switzerland,30344,,1845,,26800,1699,89,3506,213,312813,36144,Europe
Chile,30063,,323,,13605,16135,574,1573,17,294057,15383,South America
Ecuador,29509,,2145,,3433,23931,181,1673,122,84287,4777,South America
Portugal,27679,,1144,,2549,23986,112,2715,112,517660,50767,Europe
Sweden,26670,,3256,,4971,18443,360,2641,322,148500,14704,Europe
