#,Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent
,North America,1800125,4925,110261,466,483622,1206242,19045,,,,,,North America
,Europe,1864182,15860,167455,650,838166,858561,10626,,,,,,Europe
,South America,550045,1421,28124,46,206448,315473,10657,,,,,,South America
,Asia,905273,18016,26493,249,526153,352627,4870,,,,,,Asia
,Africa,102325,641,3118,3,40934,58273,290,,,,,,Africa
,Oceania,8703,15,122,1,8035,546,8,,,,,,Australia/Oceania
,,721,,15,,651,55,4,,,,,,
,World,5231374,40878,335588,1415,2104009,2791777,45500,671,43.1,,,,All
1,USA,1622342,1440,96389,35,382936,1143017,17907,4904,291,13485525,40768,330790544,North America
2,Russia,326448,8894,3249,150,99825,223374,2300,2237,22,8126626,55689,145927804,Europe
3,Brazil,312074,1153,20112,30,125960,166002,8318,1469,95,735224,3462,212393298,South America
4,Spain,280117,,27940,,196958,55219,1152,5991,598,3037840,64977,46752851,Europe
5,UK,254195,3287,36393,351,N/A,N/A,1559,3747,536,3231921,47635,67847158,Europe
6,Italy,228006,,32486,,134560,60960,640,3770,537,3243398,53635,60471198,Europe
7,France,181826,,28215,,63858,89753,1745,2786,432,1384633,21218,65258007,Europe
8,Germany,179160,139,8316,7,159000,11844,1016,2139,99,3595059,42923,83755045,Europe
9,Turkey,153548,,4249,,114990,34309,820,1823,50,1729988,20537,84237509,Asia
10,Iran,131652,2311,7300,51,102276,22076,2659,1570,87,763913,9108,83871454,Asia
11,India,120532,2306,3605,21,49872,67055,,87,3,2719434,1973,1378492893,Asia
12,Peru,108769,,3148,,43587,62034,886,3304,96,736500,22373,32919665,South America
13,Canada,81324,,6152,,41715,33457,502,2157,163,1379731,36592,37705478,North America
14,Saudi Arabia,67719,2642,364,13,39003,28352,281,1949,10,651158,18737,34751777,Asia
15,Mexico,59567,2973,6510,420,40657,12400,378,463,51,201838,1567,128781349,North America
16,Chile,57581,,589,,23992,33000,943,3015,31,426003,22306,19098031,South America
17,Belgium,56511,276,9212,26,15123,32176,268,4878,795,757328,65376,11584152,Europe
18,Pakistan,50694,2603,1067,50,15201,34426,111,230,5,445987,2024,220392002,Asia
19,Netherlands,44888,188,5788,13,N/A,N/A,255,2620,338,313755,18315,17130802,Europe
20,Qatar,40481,1830,19,2,7893,32569,175,14078,7,180642,62822,2875446,Asia
21,Ecuador,35306,,2939,,3557,28810,191,2005,167,101580,5768,17612428,South America
22,Belarus,34303,932,190,5,12833,21280,92,3630,20,419004,44341,9449653,Europe
23,Sweden,32809,637,3925,54,4971,23913,265,3251,389,209900,20798,10092371,Europe
24,Switzerland,30707,13,1903,5,27900,904,51,3551,220,364321,42129,8647657,Europe
25,Singapore,30426,614,23,,12117,18286,10,5205,4,294414,50368,5845265,Asia
26,Bangladesh,30205,1694,432,24,6190,23583,1,184,3,223841,1361,164506480,Asia
27,Portugal,30200,288,1289,12,7590,21321,84,2961,126,689705,67619,10199821,Europe
28,UAE,26898,,237,,12755,13906,1,2723,24,1600923,162087,9876944,Asia
29,Ireland,24391,,1583,,21060,1748,54,4946,321,295626,59945,4931601,Europe
30,Indonesia,20796,634,1326,48,5057,14413,,76,5,229334,839,273200237,Asia
31,Poland,20379,236,973,1,8731,10675,160,538,26,719571,19011,37850989,Europe
32,Ukraine,20148,442,588,9,6585,12975,256,460,13,267185,6106,43760843,Europe
33,Kuwait,19564,955,138,9,5515,13911,180,4589,32,264959,62148,4263365,Asia
34,South Africa,19137,,369,,8950,9818,119,323,6,525433,8872,59224262,Africa
35,Colombia,18330,,652,,4431,13247,136,361,13,214536,4221,50822230,South America
36,Romania,17712,127,1159,3,10777,5776,200,920,60,352647,18318,19250875,Europe
37,Israel,16690,7,279,,13915,2496,47,1932,32,531124,61472,8640028,Asia
38,Austria,16436,32,635,2,15005,796,31,1826,71,390488,43384,9000787,Europe
39,Japan,16424,,777,,12672,2975,195,130,6,261572,2067,126516956,Asia
40,Egypt,15003,,696,,4217,10090,41,147,7,135000,1322,102109848,Africa
41,Dominican Republic,13657,,448,,7366,5843,113,1260,41,61330,5660,10835780,North America
42,Philippines,13597,163,857,11,3092,9648,81,124,8,267417,2444,109415846,Asia
43,Denmark,11230,48,561,,9764,905,23,1940,97,514765,88906,5789998,Europe
44,S. Korea,11142,20,264,,10162,716,15,217,5,802418,15653,51264480,Asia
45,Serbia,11024,105,237,,5370,5417,12,1261,27,209797,24001,8741034,Europe
46,Panama,10116,,291,,6245,3580,72,2349,68,53928,12521,4306982,North America
47,Argentina,9931,,416,,3032,6483,171,220,9,116689,2584,45149718,South America
48,Afghanistan,9216,540,205,12,996,8015,19,237,5,27889,718,38824552,Asia
49,Czechia,8757,3,306,,5932,2519,29,818,29,387127,36157,10706852,Europe
50,Bahrain,8369,195,12,,4004,4353,7,4940,7,267393,157833,1694155,Asia
51,Norway,8309,,235,,32,8042,14,1534,43,223045,41178,5416564,Europe
52,Algeria,7728,,575,,4062,3091,22,177,13,,,43759272,Africa
53,Kazakhstan,7597,363,35,,3958,3604,31,405,2,612997,32691,18751427,Asia
54,Morocco,7300,89,197,1,4347,2756,1,198,5,122870,3333,36861343,Africa
55,Malaysia,7137,78,115,1,5859,1163,9,221,4,491729,15215,32319132,Asia
56,Australia,7095,14,101,1,6479,515,7,279,4,1170682,45969,25466640,Australia/Oceania
57,Nigeria,7016,,211,,1907,4898,7,34,1,40043,195,205528166,Africa
58,Oman,6794,424,32,1,1821,4941,31,1335,6,72000,14143,5091036,Asia
59,Moldova,6704,,233,,2953,3518,251,1661,58,40565,10053,4034947,Europe
60,Finland,6537,44,306,,4800,1431,21,1180,55,163000,29423,5539799,Europe
61,Ghana,6486,217,31,,1951,4504,12,209,1,192194,6200,30996750,Africa
62,Armenia,5928,322,74,4,2874,2980,10,2001,25,47654,16085,2962649,Asia
63,Bolivia,5187,268,215,16,561,4411,3,445,18,14803,1270,11654953,South America
64,Cameroon,4288,,156,,1808,2324,28,162,6,,,26466746,Africa
65,Luxembourg,3980,,109,,3741,130,6,6370,174,64981,104002,624808,Europe
66,Iraq,3877,,140,,2483,1254,,97,3,149701,3732,40115676,Asia
67,Azerbaijan,3855,106,46,2,2399,1410,42,381,5,252496,24928,10129036,Asia
68,Hungary,3678,37,476,3,1587,1615,23,381,49,155801,16124,9662923,Europe
69,Honduras,3204,104,156,5,397,2651,13,324,16,11820,1196,9886537,North America
70,Sudan,3138,,121,,309,2708,,72,3,281,6,43727573,Africa
71,Guinea,3067,,18,,1575,1474,18,234,1,10304,787,13089690,Africa
72,Thailand,3037,,56,,2910,71,61,44,0.8,328073,4701,69781150,Asia
73,Uzbekistan,3006,42,13,,2407,586,4,90,0.4,460000,13767,33413938,Asia
74,Senegal,2909,97,33,,1311,1565,6,174,2,32883,1970,16690729,Africa
75,Greece,2853,,168,,1374,1311,21,274,16,144078,13816,10428331,Europe
76,Guatemala,2512,247,48,3,222,2242,5,141,3,25464,1424,17877078,North America
77,Bosnia and Herzegovina,2372,22,141,1,1614,617,4,723,43,57507,17517,3282920,Europe
