#,Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent
,North America,1656217,24050,101003,1370,419530,1135684,17184,,,,,,North America
,Europe,1761154,20025,161664,1182,755524,843966,11757,,,,,,Europe
,South America,419505,18433,22125,822,142286,255094,10427,,,,,,South America
,Asia,778047,20123,24290,327,445644,308113,4954,,,,,,Asia
,Africa,82906,3126,2716,77,31576,48614,289,,,,,,Africa
,Oceania,8638,17,119,,7890,629,16,,,,,,Australia/Oceania
,,721,,15,,651,55,4,,,,,,
,World,4707188,85774,311932,3778,1803101,2592155,44631,604,40.0,,,,All
1,USA,1503684,19399,89454,947,337563,1076667,16034,4546,270,11774462,35598,330758784,North America
2,Spain,276505,2138,27563,104,192253,56689,1208,5914,590,3037840,64977,46752556,Europe
3,Russia,272043,9200,2537,119,63166,206340,2300,1864,17,6656340,45614,145926781,Europe
4,UK,240161,3450,34466,468,N/A,N/A,1559,3540,508,2489563,36697,67841324,Europe
5,Brazil,229204,10981,15368,551,84970,128866,8318,1079,72,735224,3462,212368566,South America
6,Italy,224760,875,31763,153,122810,70187,775,3717,525,2944859,48697,60472650,Europe
7,France,179365,,27625,96,61066,90674,2132,2749,423,1384633,21219,65255646,Europe
8,Germany,176081,382,8019,18,152600,15462,1203,2102,96,3147771,37585,83750665,Europe
9,Turkey,148067,1610,4096,41,108137,35834,906,1758,49,1589625,18874,84222640,Asia
10,Iran,118392,1757,6937,35,93147,18308,2716,1412,83,672679,8022,83853830,Asia
11,India,90648,4864,2871,118,34224,53553,,66,2,2134277,1549,1378270651,Asia
12,Peru,88541,4046,2523,131,28272,57746,840,2690,77,630482,19157,32912133,South America
13,Canada,75864,1251,5679,117,37819,32366,502,2012,151,1225049,32495,37700059,North America
14,Belgium,54989,345,9005,46,14460,31524,364,4747,777,663755,57303,11583327,Europe
15,Saudi Arabia,52016,2840,302,10,23666,28048,166,1497,9,548023,15774,34742883,Asia
16,Mexico,45032,2437,4767,290,30451,9814,378,350,37,163691,1271,128759156,North America
17,Netherlands,43870,189,5670,27,N/A,N/A,346,2561,331,287943,16809,17130183,Europe
18,Chile,41428,1886,421,27,18014,22993,751,2170,22,350325,18346,19095344,South America
19,Pakistan,38799,1581,834,31,10880,27085,111,176,4,359264,1631,220321573,Asia
20,Ecuador,32763,1296,2688,94,3433,26642,197,1861,153,93344,5301,17608034,South America
21,Qatar,30972,1547,15,1,3788,27169,158,10774,5,152704,53121,2874647,Asia
22,Switzerland,30572,58,1879,1,27400,1293,69,3536,217,339364,39248,8646621,Europe
23,Sweden,29677,470,3674,28,4971,21032,278,2941,364,177500,17589,10091340,Europe
24,Portugal,28810,227,1203,13,3822,23785,115,2824,118,600061,58828,10200306,Europe
25,Belarus,28681,951,160,4,9498,19023,92,3035,17,335057,35457,9449703,Europe
26,Singapore,27356,465,22,1,8342,18992,16,4681,4,224262,38371,5844512,Asia
27,Ireland,24048,92,1533,15,19470,3045,69,4877,311,258808,52489,4930698,Europe
28,UAE,22627,796,214,4,7931,14482,1,2291,22,1560923,158068,9874985,Asia
29,Bangladesh,20995,930,314,16,4117,16564,1,128,2,167114,1016,164479603,Asia
30,Poland,18257,241,915,8,7175,10167,160,482,24,601394,15888,37851666,Europe
31,Ukraine,17858,528,497,21,4906,12455,231,408,11,220638,5041,43765128,Europe
32,Indonesia,17025,529,1089,13,3911,12025,,62,4,182818,669,273152851,Asia
33,Romania,16704,267,1094,24,9574,6036,206,868,57,303734,15776,19252967,Europe
34,Israel,16608,19,268,2,12855,3485,59,1923,31,498711,57736,8637807,Asia
35,Japan,16203,,713,,10338,5152,245,128,6,233144,1843,126523275,Asia
36,Austria,16201,92,629,1,14524,1048,50,1800,70,357393,39711,8999946,Europe
37,South Africa,14355,831,261,14,6478,7616,119,242,4,439559,7423,59212004,Africa
38,Colombia,14216,,546,,3460,10210,137,280,11,177050,3484,50813344,South America
39,Kuwait,13802,942,107,11,3843,9852,169,3238,25,240716,56475,4262329,Asia
40,Philippines,12305,214,817,11,2561,8927,79,112,7,215060,1966,109391934,Asia
41,Dominican Republic,12110,371,428,4,3726,7956,127,1118,40,50108,4625,10833998,North America
42,Egypt,11719,491,612,20,2950,8157,41,115,6,135000,1323,102078159,Africa
43,S. Korea,11037,19,262,2,9851,924,55,215,5,741145,14457,51263759,Asia
44,Denmark,10858,67,543,6,9107,1208,28,1875,94,444562,76785,5789665,Europe
45,Serbia,10496,58,228,3,4479,5789,18,1201,26,174746,19990,8741609,Europe
46,Panama,9268,150,266,6,6080,2922,72,2152,62,47768,11094,4305867,North America
47,Czechia,8436,30,296,1,5422,2718,39,788,28,348849,32583,10706527,Europe
