Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Continent
North America,1446354,3604,87322,232,280756,1078276,18086,,,,,North America
Europe,1599016,17760,151053,539,642566,805397,14634,,,,,Europe
South America,283471,1296,14626,49,99246,169599,10013,,,,,South America
Asia,644101,9270,21639,138,353151,269311,5101,,,,,Asia
Africa,59601,551,2172,11,19949,37480,223,,,,,Africa
Oceania,8525,17,118,,7599,808,22,,,,,Australia/Oceania
,721,,15,,645,61,4,,,,,
World,4041789,32498,276945,969,1403912,2360932,48083,519,35.5,,,All
USA,1323083,1298,78639,24,223876,1020568,16917,3997,238,8655016,26148,North America
Spain,262783,2666,26478,179,173157,63148,1741,5620,566,2467761,52781,Europe
Italy,217185,,30201,,99023,87961,1168,3592,500,2445063,40440,Europe
UK,211364,,31241,,N/A,179779,1559,3114,460,1631561,24034,Europe
Russia,198676,10817,1827,104,31916,164933,2300,1361,13,5221964,35783,Europe
France,176079,,26230,,55782,94067,2868,2698,402,1384633,21213,Europe
Germany,170643,55,7510,,143300,19833,1712,2037,90,2755770,32891,Europe
Brazil,147003,1111,10037,45,59297,77669,8318,692,47,339552,1597,South America
Turkey,135569,,3689,,86396,45484,1219,1607,44,1298806,15400,Asia
Iran,106220,1529,6589,48,85064,14567,2696,1265,78,573220,6825,Asia
Canada,66434,,4569,,30406,31459,502,1760,121,1032088,27346,North America
Peru,61847,,1714,,19012,41121,730,1876,52,473190,14351,South America
India,59881,186,1990,5,17956,39935,,43,1,1523213,1104,Asia
Belgium,52596,585,8581,60,13411,30604,502,4538,740,540643,46649,Europe
Netherlands,42382,289,5422,63,N/A,36710,564,2473,316,249655,14570,Europe
Saudi Arabia,37136,1704,239,10,10144,26753,141,1067,7,433500,12452,Asia
Mexico,31522,1906,3160,199,20314,8048,378,244,25,123446,957,North America
Switzerland,30251,44,1823,,26100,2328,101,3495,211,306223,35383,Europe
Ecuador,28818,,1704,,3433,23681,156,1633,97,82312,4665,South America
Pakistan,27474,1039,618,19,7756,19100,111,124,3,270025,1222,Asia
Portugal,27406,138,1126,12,2499,23781,120,2688,110,517660,50767,Europe
Chile,25972,,294,,12160,13518,508,1359,15,255961,13390,South America
Sweden,25921,656,3220,45,4971,17730,425,2567,319,148500,14704,Europe
Ireland,22541,,1429,,17110,4002,76,4565,289,214761,43493,Europe
Singapore,22460,753,20,,2040,20400,22,3839,3,175604,30016,Asia
Belarus,22052,951,126,5,6050,15876,92,2334,13,251771,26644,Europe
Qatar,21331,1130,13,1,2449,18869,72,7404,5,124554,43232,Asia
UAE,16793,,174,,3837,12782,1,1698,18,1200000,121330,Asia
Israel,16444,8,245,,11313,4886,78,1900,28,451028,52109,Asia
Austria,15833,59,615,1,13928,1290,79,1758,68,311690,34608,Europe
Japan,15575,,590,,5146,9839,300,123,5,202013,1597,Asia
Poland,15510,144,777,1,5437,9296,160,410,21,460686,12172,Europe
Romania,15131,320,929,6,6912,7290,245,787,48,248056,12894,Europe
Ukraine,14710,515,376,15,2909,11425,190,336,9,167107,3821,Europe
Bangladesh,13770,636,214,8,2414,11142,1,84,1,116919,710,Asia
