Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop
China,81171,78,3277,7,73159,4735,1573,56
Italy,63927,,6077,,7432,50418,3204,1057
USA,46168,2434,582,29,295,45291,1040,139
Spain,39673,4537,2696,385,3794,33183,2355,849
Germany,30150,1094,130,7,453,29567,23,360
Iran,24811,1762,1934,122,8376,14501,,295
France,19856,,860,,2200,16796,2082,304
Switzerland,9117,322,122,2,131,8864,141,1053
S. Korea,9037,76,120,9,3507,5410,59,176
UK,6650,,335,,135,6180,20,98
Austria,4767,293,25,4,9,4733,17,529
Netherlands,4749,,213,,2,4534,435,277
Belgium,4269,526,122,34,461,3686,381,368
Norway,2647,22,11,1,6,2630,42,488
Australia,2136,249,8,1,118,2010,11,84
Canada,2091,,24,,112,1955,1,55
Portugal,2060,,23,,14,2023,47,202
Sweden,2059,13,33,6,16,2010,110,204
Brazil,1960,36,34,,2,1924,18,9
Israel,1656,214,1,,49,1606,31,191
Malaysia,1624,106,15,1,183,1426,64,50
Denmark,1577,117,24,,1,1552,55,272
Turkey,1529,,37,,,1492,,18
Czechia,1289,53,2,1,7,1280,19,120
Japan,1140,12,42,,285,813,54,9
Ireland,1125,,6,,5,1114,29,228
Ecuador,981,,18,,3,960,2,56
Pakistan,908,33,7,1,13,888,,4
Luxembourg,875,,8,,6,861,3,1398
Thailand,827,106,4,3,52,771,7,12
Finland,782,82,1,,10,771,13,141
Poland,774,25,9,1,1,764,3,20
Chile,746,,2,,11,733,7,39
Diamond Princess,712,,10,2,587,115,15,
Greece,695,,17,,29,649,35,67
Indonesia,686,107,55,6,30,601,,3
Iceland,588,,2,1,51,535,14,1723
Romania,576,,8,1,73,495,15,30
Saudi Arabia,562,,,,19,543,,16
South Africa,554,152,,,4,550,2,9
Philippines,552,90,35,2,19,498,1,5
India,511,12,10,,37,464,,0.4
Singapore,509,,2,,152,355,14,87
Qatar,501,,,,37,464,6,174
Russia,444,6,1,,20,423,,3
Slovenia,442,,3,,,439,12,213
Peru,395,,5,,1,389,19,12
Bahrain,390,13,2,,164,224,3,229
Hong Kong,386,29,4,,102,280,4,51
Estonia,369,17,,,7,362,4,278
Mexico,367,51,4,1,4,359,1,3
Egypt,366,,19,,68,279,,4
Croatia,361,46,1,,5,355,6,88
Panama,345,,6,,1,338,33,80
Colombia,306,29,3,,6,297,,6
Lebanon,304,37,4,,8,292,4,45
Argentina,301,,4,,51,246,,7
Iraq,266,,23,,62,181,,7
Serbia,249,,3,,3,243,12,28
Dominican Republic,245,,3,,3,239,,23
Armenia,235,,,,2,233,6,79
Algeria,230,,17,,65,148,,5
Taiwan,215,20,2,,29,184,,9
Slovakia,204,18,,,7,197,2,37
Bulgaria,202,1,3,,3,196,8,29
UAE,198,,2,,41,155,2,20
Latvia,197,17,,,1,196,,104
Kuwait,191,2,,,39,152,5,45
San Marino,187,,20,,4,163,13,5511
Hungary,187,20,9,1,21,157,6,19
Lithuania,187,8,1,,1,185,1,69
Uruguay,162,,,,,162,3,47
Costa Rica,158,,2,,2,154,2,31
New Zealand,155,53,,,12,143,,32
Bosnia and Herzegovina,150,14,1,,2,147,1,46
Morocco,143,,4,,5,134,1,4
North Macedonia,136,,2,,1,133,1,65
Andorra,133,,1,,1,131,2,1721
Jordan,127,,,,1,126,,12
Albania,123,19,5,1,10,108,2,43
Vietnam,123,,,,17,106,3,1
Faeroe Islands,122,4,,,23,99,,2497
Cyprus,116,,1,,3,112,3,96
Burkina Faso,114,15,4,,7,103,,5
Moldova,109,,1,,2,106,10,27
Malta,107,,,,2,105,1,242
Brunei,104,13,,,2,102,2,238
Sri Lanka,100,3,,,2,98,2,5
Ukraine,97,24,3,,1,93,,2
Tunisia,90,1,3,,1,86,11,8
Cambodia,87,,,,2,85,1,5
Senegal,86,7,,,8,78,,5
Oman,84,18,,,17,67,,16
Venezuela,84,,,,15,69,2,3
Belarus,81,,,,22,59,,9
Runion,75,4,,,1,74,,84
Azerbaijan,72,,1,,10,61,3,7
Kazakhstan,68,6,,,,68,,4
Georgia,67,6,,,9,58,1,17
Cameroon,66,10,,,2,64,,2
Guadeloupe,62,,1,,,61,4,155
Palestine,60,1,,,17,43,,12
Martinique,53,,1,,,52,7,141
Trinidad and Tobago,52,1,,,,52,,37
Liechtenstein,51,,,,,51,,1338
Uzbekistan,49,3,,,,49,,1
DRC,45,9,2,,,43,,0.5
Afghanistan,42,2,1,,1,40,,1
Kyrgyzstan,42,26,,,,42,,6
Cuba,40,,1,,,39,3,4
Nigeria,40,,1,,2,37,,0.2
Bangladesh,39,6,4,1,5,30,,0.2
Mauritius,36,,2,,,34,1,28
Channel Islands,36,,,,,36,,207
Mayotte,36,12,,,,36,,132
Rwanda,36,,,,,36,,3
Puerto Rico,31,,2,,1,28,,11
Honduras,30,,,,,30,,3
Guam,29,,1,,,28,,172
