Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop
China,80824,11,3189,13,65569,12066,4020,56.2
Italy,17660,,1266,,1439,14955,1328,292.1
Iran,11364,,514,,3529,7321,,135.3
S. Korea,8086,107,72,5,714,7300,59,157.7
Spain,5232,,133,,193,4906,272,111.9
Germany,3758,83,8,,46,3704,9,44.9
France,3661,,79,,12,3570,154,56.1
USA,2329,82,50,1,41,2238,10,7.0
Switzerland,1375,236,13,2,4,1358,,158.9
Norway,1003,7,1,,1,1001,27,185.0
Denmark,827,23,,,1,826,2,142.8
Sweden,821,7,2,1,1,818,2,81.3
Netherlands,804,,10,,2,792,45,46.9
UK,798,,11,,18,769,20,11.8
Japan,738,4,21,,118,599,29,5.8
Diamond Princess,696,,7,,325,364,32,
Austria,602,98,1,,6,595,1,66.8
Belgium,559,,3,,1,555,2,48.2
Qatar,320,,,,,320,,111.1
Australia,226,27,3,,26,197,1,8.9
Bahrain,211,1,,,60,151,1,124.0
Canada,200,2,1,,11,188,1,5.3
Singapore,200,,,,97,103,11,34.2
Malaysia,197,,,,32,165,4,6.1
Greece,190,,3,2,2,185,2,18.2
Finland,156,1,,,1,155,,28.2
Israel,154,11,,,4,150,3,17.8
Brazil,151,,,,1,150,2,0.7
Czechia,150,9,,,,150,2,14.0
Slovenia,141,,,,,141,4,67.8
Hong Kong,138,6,4,,78,56,4,18.4
Iceland,138,4,,,,138,,
Portugal,112,,,,1,111,1,11.0
Estonia,109,30,,,,109,,82.2
Iraq,101,,9,,24,68,,2.5
Kuwait,100,,,,5,95,4,23.4
Philippines,98,34,8,3,2,88,1,0.9
Romania,97,2,,,7,90,1,5.0
Indonesia,96,27,4,,5,87,,0.4
Lebanon,93,16,3,,1,89,3,13.6
Egypt,93,,2,,27,64,,0.9
Ireland,90,,1,,,89,6,18.2
Saudi Arabia,86,,,,1,85,,2.5
UAE,85,,,,20,65,2,8.6
Poland,84,16,2,,,82,3,2.2
India,83,1,2,,10,71,,0.1
Thailand,82,7,1,,35,46,1,1.2
San Marino,80,,5,,2,73,3,
Taiwan,53,3,1,,20,32,,2.2
Vietnam,53,9,,,16,37,,0.5
Russia,45,,,,8,37,,0.3
Chile,43,,,,,43,,2.2
Serbia,41,6,,,,41,1,4.7
Luxembourg,38,,1,,,37,,
Peru,38,,,,,38,,1.2
Algeria,37,11,3,1,10,24,,0.8
Croatia,37,5,,,1,36,,9.0
Brunei,37,,,,,37,,
Panama,36,9,1,,,35,,8.3
Palestine,35,,,,,35,,6.9
Argentina,34,,2,,,32,1,0.8
Albania,33,,1,,,32,,11.5
Slovakia,32,,,,,32,,5.9
Bulgaria,31,,2,1,,29,,4.5
Georgia,30,5,,,,30,1,7.5
Pakistan,28,,,,2,26,,0.1
Belarus,27,,,,3,24,,2.9
Ecuador,26,3,1,,,25,1,1.5
Latvia,26,9,,,1,25,,13.8
Costa Rica,26,3,,,,26,1,5.1
Hungary,25,6,,,1,24,,2.6
South Africa,24,,,,,24,,0.4
Senegal,21,,,,2,19,,1.3
Cyprus,21,7,,,,21,,17.4
Oman,19,,,,9,10,,3.7
Bosnia and Herzegovina,18,,,,,18,,5.5
Malta,18,6,,,1,17,,
Tunisia,16,,,,,16,2,1.4
Colombia,16,,,,,16,,0.3
Azerbaijan,15,,1,,3,11,,1.5
Armenia,15,7,,,,15,,5.1
Mexico,15,,,,4,11,1,0.1
North Macedonia,14,,,,1,13,,6.7
Afghanistan,10,3,,,,10,,0.3
Macao,10,,,,10,0,,
Bolivia,10,,,,,10,,0.9
Faeroe Islands,9,6,,,,9,,
Maldives,9,,,,,9,,
Morocco,8,1,1,,1,6,1,0.2
Sri Lanka,8,2,,,1,7,,0.4
Jamaica,8,,,,,8,,2.7
Cambodia,7,,,,1,6,,0.4
Lithuania,7,1,,,,7,,2.6
New Zealand,6,,,,,6,,1.2
French Guiana,6,,,,,6,,
Kazakhstan,6,2,,,,6,,0.3
Martinique,6,3,,,,6,,
Moldova,6,,,,,6,,1.5
Paraguay,6,,,,,6,1,0.8
Dominican Republic,5,,,,,5,,0.5
Runion,5,,,,,5,,
Turkey,5,,,,,5,,0.1
Cuba,4,,,,,4,,0.4
Liechtenstein,4,,,,,4,,
Uruguay,4,,,,,4,,1.2
Ukraine,3,,1,,,2,,0.1
Bangladesh,3,,,,2,1,,
Channel Islands,3,,,,,3,,
French Polynesia,3,,,,,3,,
Puerto Rico,3,,,,,3,,1.0
Monaco,2,,,,,2,,
Nigeria,2,,,,,2,,
Aruba,2,,,,,2,,
Burkina Faso,2,,,,,2,,0.1
Cameroon,2,,,,,2,,0.1
DRC,2,,,,,2,,
