Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,Reported1st case
USA,145443,1952,2613,31,4574,138256,2972,439,8,Jan 20
Italy,101739,4050,11591,812,14620,75528,3981,1683,192,Jan 29
Spain,85195,5085,7340,537,16780,61075,5231,1822,157,Jan 30
Germany,63929,1494,560,19,9211,54158,1979,763,7,Jan 26
Iran,41495,3186,2757,117,13911,24827,3511,494,33,Feb 18
France,40174,,2606,,7202,30366,4632,615,40,Jan 23
UK,22141,2619,1408,180,135,20598,163,326,21,Jan 30
Switzerland,15526,697,333,33,1823,13370,301,1794,38,Feb 24
Belgium,11899,1063,513,82,1527,9859,927,1027,44,Feb 03
Netherlands,11750,884,864,93,250,10636,1053,686,50,Feb 26
Turkey,10827,1610,168,37,105,10554,568,128,2,Mar 09
S. Korea,9661,78,158,6,5228,4275,59,188,3,Jan 19
Austria,9520,732,108,22,636,8776,193,1057,12,Feb 24
Canada,6671,351,67,2,1014,5590,120,177,2,Jan 24
Portugal,6408,446,140,21,43,6225,164,628,14,Mar 01
Norway,4436,152,32,6,12,4392,97,818,6,Feb 25
Brazil,4362,106,141,5,120,4101,296,21,0.7,Feb 24
Israel,4347,100,16,1,134,4197,80,502,2,Feb 20
Australia,4245,82,18,1,244,3983,28,166,0.7,Jan 24
Sweden,4028,328,146,36,16,3866,306,399,14,Jan 30
Czechia,2896,79,17,1,11,2868,52,270,2,Feb 29
Malaysia,2626,156,37,2,479,2110,94,81,1,Jan 24
Ireland,2615,,46,,5,2564,59,530,9,Feb 28
Denmark,2577,182,77,5,1,2499,137,445,13,Feb 26
Chile,2449,310,8,1,156,2285,14,128,0.4,Mar 02
Luxembourg,1988,38,22,1,40,1926,25,3176,35,Feb 28
Poland,1984,122,26,4,7,1951,3,52,0.7,Mar 03
Romania,1952,137,47,4,209,1696,33,101,2,Feb 25
Ecuador,1924,,58,,3,1863,58,109,3,Feb 28
Japan,1866,,54,,424,1388,56,15,0.4,Jan 14
Russia,1836,302,9,1,66,1761,8,13,0.06,Jan 30
Pakistan,1690,93,21,7,29,1640,11,8,0.10,Feb 25
