Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop
China,81054,46,3261,6,72440,5353,1845,56
Italy,53578,,4825,,6072,42681,2857,886
Spain,28572,3076,1753,372,2125,24694,1785,611
USA,27031,2824,349,47,178,26504,708,82
Germany,23937,1573,93,9,266,23578,2,286
Iran,21638,1028,1685,129,7635,12318,,258
France,14459,,562,,1587,12310,1525,222
S. Korea,8897,98,104,2,2909,5884,59,174
Switzerland,7225,362,80,,131,7014,141,835
UK,5018,,243,10,93,4682,20,74
Netherlands,4204,573,179,43,2,4023,354,245
Belgium,3401,586,75,8,263,3063,288,293
Austria,3289,297,9,1,9,3271,15,365
Norway,2250,86,7,,6,2237,28,415
Sweden,1906,136,21,1,16,1869,68,189
Portugal,1600,320,14,2,5,1581,26,157
Denmark,1395,69,13,,1,1381,42,241
Australia,1353,281,7,,46,1300,2,53
Canada,1331,3,20,1,14,1297,1,35
Malaysia,1306,123,10,2,139,1157,26,40
Brazil,1209,31,18,,2,1189,18,6
Japan,1054,,36,,235,783,57,8
Czechia,1047,52,,,6,1041,7,98
Turkey,947,,21,,,926,,11
Israel,945,62,1,,37,907,20,109
Luxembourg,798,128,8,,6,784,3,1275
Ireland,785,,3,,5,777,13,159
Pakistan,730,85,3,,13,714,,3
Diamond Princess,712,,8,,567,137,15,
Chile,632,95,1,,8,623,7,33
Finland,626,103,1,,10,615,12,113
Thailand,599,188,1,,44,554,7,9
Iceland,568,95,1,,5,562,1,1665
Poland,563,27,7,2,13,543,3,15
Ecuador,532,,7,,3,522,2,30
Greece,530,,13,,19,498,18,51
Indonesia,514,64,48,10,29,437,,2
Saudi Arabia,511,119,,,17,494,,15
Qatar,481,,,,27,454,6,167
Singapore,455,23,2,,144,309,14,78
Romania,433,66,2,2,64,367,14,23
Slovenia,414,31,1,,,413,12,199
India,391,59,7,2,24,360,,0.3
Philippines,380,73,25,6,15,340,1,3
Russia,367,61,1,,16,350,,3
Bahrain,332,22,2,1,149,181,4,195
Estonia,326,20,,,4,322,2,246
Peru,318,,5,,1,312,5,10
Egypt,294,,10,,42,242,,3
Hong Kong,274,,4,,100,170,4,37
Mexico,251,48,2,,4,245,1,2
Lebanon,248,18,4,,8,236,4,36
Panama,245,,3,,1,241,7,57
South Africa,240,,,,2,238,,4
Croatia,235,29,1,,5,229,5,57
Iraq,233,19,20,3,57,156,,6
Argentina,225,67,4,,27,194,,5
Colombia,210,14,1,1,3,206,,4
Dominican Republic,202,90,3,,,199,,19
Armenia,190,30,,,2,188,6,64
Serbia,188,17,2,1,2,184,4,22
Kuwait,188,12,,,27,161,5,44
Slovakia,178,,,,7,171,2,33
San Marino,175,15,20,,4,151,13,5158
Bulgaria,174,11,3,,3,168,3,25
Taiwan,169,16,2,,28,139,,7
UAE,153,,2,,38,113,2,15
Algeria,139,,15,,65,59,,3
Latvia,139,15,,,1,138,,74
Uruguay,135,25,,,,135,2,39
Hungary,131,28,6,2,16,109,6,14
Lithuania,131,32,1,,1,129,1,48
Costa Rica,117,,2,,2,113,2,23
North Macedonia,115,30,1,1,1,113,1,55
Faeroe Islands,115,23,,,3,112,,2354
Andorra,113,25,1,1,1,111,2,1462
Morocco,109,13,3,,3,103,1,3
Vietnam,106,12,,,17,89,2,1
Jordan,100,,,,1,99,,10
Bosnia and Herzegovina,94,1,1,,2,91,1,29
Malta,90,17,,,2,88,1,204
Albania,89,13,2,,2,85,2,31
Brunei,88,5,,,2,86,2,201
Cyprus,84,,1,,3,80,3,70
Sri Lanka,82,5,,,3,79,2,4
Moldova,80,,1,,1,78,3,20
Belarus,76,,,,15,61,,8
Burkina Faso,75,11,4,1,5,66,,4
Tunisia,75,15,3,2,1,71,7,6
Venezuela,70,,,,15,55,2,2
New Zealand,66,14,,,,66,,14
Azerbaijan,65,12,1,,11,53,,6
Palestine,59,6,,,17,42,,12
Kazakhstan,58,4,,,,58,,3
Guadeloupe,56,,1,,,55,4,140
Senegal,56,,,,5,51,,3
Oman,55,3,,,17,38,,11
Georgia,54,5,,,1,53,1,14
Cambodia,53,,,,2,51,,3
Trinidad and Tobago,50,1,,,,50,,36
Ukraine,47,,3,,1,43,,1
Runion,47,,,,1,46,,52
Uzbekistan,43,2,,,,43,,1
Cameroon,40,,,,2,38,,2
Martinique,37,,1,,,36,7,99
Liechtenstein,37,,,,,37,,970
Afghanistan,34,10,,,1,33,,0.9
Channel Islands,32,,,,,32,,184
Bangladesh,27,3,2,,3,22,,0.2
Guam,27,12,1,1,,26,,160
Nigeria,27,5,,,2,25,,0.1
Honduras,26,2,,,,26,,3
Bolivia,24,5,,,,24,,2
DRC,23,,1,,,22,,0.3
Puerto Rico,23,2,1,,,22,,8
Paraguay,22,,1,,,21,1,3
Cuba,21,,1,,,20,,2
Ghana,21,,1,,,20,,0.7
Macao,20,1,,,10,10,,31
Jamaica,19,,1,,2,16,,6
Guyana,18,,1,,,17,,23
Mauritius,18,4,1,,,17,,14
Monaco,18,,,,1,17,,459
French Guiana,18,,,,,18,,60
Guatemala,17,,1,,,16,,0.9
Rwanda,17,,,,,17,,1
Montenegro,16,,,,,16,,25
Togo,16,,,,,16,,2
French Polynesia,15,,,,,15,,53
Kenya,15,8,,,,15,,0.3
Barbados,14,,,,,14,,49
Ivory Coast,14,,,,1,13,,0.5
Kyrgyzstan,14,,,,,14,,2
Maldives,13,,,,3,10,,24
Tanzania,12,6,,,,12,,0.2
Ethiopia,11,2,,,,11,,0.10
Mayotte,11,,,,,11,,40
Gibraltar,10,,,,2,8,,297
Mongolia,10,,,,,10,,3
Aruba,8,3,,,1,7,,75
Seychelles,7,,,,,7,,71
Equatorial Guinea,6,,,,,6,,4
U.S. Virgin Islands,6,,,,,6,,57
Gabon,5,,1,,,4,,2
Isle of Man,5,3,,,,5,,59
Saint Martin,5,,,,,5,,129
Suriname,5,,,,,5,,9
Bahamas,4,,,,,4,,10
New Caledonia,4,,,,,4,,14
Eswatini,4,3,,,,4,,3
Cayman Islands,3,,1,,,2,,46
Curaao,3,,1,,,2,,18
Cabo Verde,3,,,,,3,,5
CAR,3,,,,,3,,0.6
Congo,3,,,,,3,,0.5
El Salvador,3,,,,,3,,0.5
Liberia,3,,,,,3,,0.6
Madagascar,3,,,,,3,,0.1
Namibia,3,,,,,3,,1
St. Barth,3,,,,,3,,304
Zambia,3,1,,,,3,,0.2
Zimbabwe,3,,,,,3,,0.2
Sudan,2,,1,,,1,,0.05
Nepal,2,1,,,1,1,,0.07
Angola,2,,,,,2,,0.06
Benin,2,,,,,2,,0.2
Bermuda,2,,,,,2,,32
Bhutan,2,,,,,2,,3
Fiji,2,,,,,2,,2
Greenland,2,,,,,2,,35
Guinea,2,,,,,2,,0.2
Haiti,2,,,,,2,,0.2
Mauritania,2,,,,,2,,0.4
Nicaragua,2,,,,,2,,0.3
Niger,2,1,,,,2,,0.08
Saint Lucia,2,,,,,2,,11
Antigua and Barbuda,1,,,,,1,,10
Chad,1,,,,,1,,0.06
Djibouti,1,,,,,1,,1
Eritrea,1,,,,,1,,0.3
Gambia,1,,,,,1,,0.4
Vatican City,1,,,,,1,,1248
Montserrat,1,,,,,1,,200
Papua New Guinea,1,,,,,1,,0.1
St. Vincent Grenadines,1,,,,,1,,9
Sint Maarten,1,,,,,1,,23
Somalia,1,,,,,1,,0.06
Timor-Leste,1,,,,,1,,0.8
Uganda,1,,,,,1,,0.02
