Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop
China,80824,11,3189,13,65573,12062,3610,56.2
Italy,17660,,1266,,1439,14955,1328,292.1
Iran,12729,1365,611,97,4339,7779,,151.5
S. Korea,8086,107,72,5,714,7300,59,157.7
Spain,6023,791,191,58,517,5315,272,128.8
Germany,3953,278,8,,46,3899,9,47.2
France,3661,,79,,12,3570,154,56.1
USA,2340,93,51,2,49,2240,10,7.1
Switzerland,1375,236,13,2,4,1358,,158.9
UK,1140,342,21,10,18,1101,20,16.8
Norway,1035,39,1,,1,1033,27,190.9
Netherlands,959,155,12,2,2,945,45,56.0
Sweden,941,127,2,1,1,938,2,93.2
Denmark,827,23,,,1,826,2,142.8
Japan,788,54,22,1,122,644,32,6.2
Diamond Princess,696,,7,,325,364,32,
Belgium,689,130,4,1,1,684,2,59.4
Austria,655,151,1,,6,648,1,72.7
Qatar,337,17,,,,337,,117.0
Australia,248,49,3,,27,218,1,9.7
Malaysia,238,41,,,35,203,4,7.4
Finland,215,60,,,1,214,,38.8
Bahrain,211,1,,,60,151,1,124.0
Canada,200,2,1,,11,188,1,5.3
Singapore,200,,,,97,103,11,34.2
Greece,190,,3,2,2,185,2,18.2
Slovenia,181,40,,,,181,4,87.1
Portugal,169,57,,,2,167,10,16.6
Israel,164,21,,,4,160,3,18.9
Iceland,156,22,,,,156,,
Brazil,151,,,,1,150,2,0.7
Czechia,150,9,,,,150,2,14.0
Hong Kong,138,6,4,,78,56,4,18.4
Philippines,111,47,8,3,2,101,1,1.0
Estonia,109,30,,,,109,,82.2
Kuwait,104,4,,,5,99,4,24.4
Romania,102,7,,,6,96,1,5.3
Iraq,101,,10,1,24,67,,2.5
San Marino,101,21,5,,4,92,3,
Indonesia,96,27,5,1,8,83,,0.4
Lebanon,93,16,3,,1,89,3,13.6
Egypt,93,,2,,27,64,,0.9
Poland,93,25,2,,,91,3,2.5
Ireland,90,,1,,,89,6,18.2
Saudi Arabia,86,,,,1,85,,2.5
UAE,85,,,,20,65,2,8.6
India,84,2,2,,10,72,,0.1
Thailand,82,7,1,,35,46,1,1.2
Taiwan,53,3,1,,20,32,,2.2
Vietnam,53,9,,,16,37,,0.5
Luxembourg,51,13,1,,,50,,
Russia,47,2,,,8,39,,0.3
Chile,43,,,,,43,,2.2
Serbia,41,6,,,,41,1,4.7
Albania,38,5,1,,,37,2,13.2
Peru,38,,,,,38,,1.2
Algeria,37,11,3,1,10,24,,0.8
Croatia,37,5,,,1,36,,9.0
Brunei,37,,,,,37,,
Panama,36,9,1,,,35,,8.3
Palestine,35,,,,,35,,6.9
Argentina,34,,2,,,32,1,0.8
Slovakia,32,,,,,32,,5.9
Bulgaria,31,,2,1,,29,,4.5
Georgia,30,5,,,,30,1,7.5
Pakistan,30,2,,,2,28,,0.1
Belarus,27,,,,3,24,,2.9
Latvia,26,9,,,1,25,,13.8
Mexico,26,11,,,4,22,1,0.2
Costa Rica,26,3,,,,26,1,5.1
Hungary,25,6,,,1,24,,2.6
South Africa,24,,,,,24,,0.4
Ecuador,23,,1,,,22,1,1.3
Colombia,22,6,,,,22,,0.4
Senegal,21,,,,2,19,,1.3
Cyprus,21,7,,,,21,,17.4
Oman,19,,,,9,10,,3.7
Bosnia and Herzegovina,18,,,,,18,,5.5
Malta,18,6,,,1,17,,
Morocco,17,10,1,,1,15,1,0.5
Tunisia,16,,,,,16,2,1.4
Azerbaijan,15,,1,,3,11,,1.5
Armenia,15,7,,,,15,,5.1
North Macedonia,13,,,,1,12,,6.2
Dominican Republic,11,6,,,,11,,1.0
Afghanistan,10,3,,,,10,,0.3
Macao,10,,,,10,0,,
Bolivia,10,,,,,10,,0.9
Maldives,10,1,,,,10,,
Sri Lanka,9,3,,,1,8,,0.4
Faeroe Islands,9,6,,,,9,,
Lithuania,8,2,,,,8,,2.9
