Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,TotDeaths/1M pop
China,81285,67,3287,6,74051,3947,1235,56,2
Italy,74386,,7503,,9362,57521,3489,1230,124
USA,68905,694,1037,10,428,67440,1455,208,3
Spain,56188,6673,4089,442,7015,45084,3166,1202,87
Germany,40585,3262,229,23,5669,34687,23,484,3
Iran,29406,2389,2234,157,10457,16715,2746,350,27
France,25233,,1331,,3900,20002,2827,387,20
Switzerland,11575,678,172,19,131,11272,141,1337,20
UK,9529,,465,,135,8929,163,140,7
S. Korea,9241,104,131,5,4144,4966,59,180,3
Netherlands,7431,1019,434,78,3,6994,582,434,25
Austria,6398,810,49,18,112,6237,28,710,5
Belgium,6235,1298,220,42,675,5340,605,538,19
Portugal,3544,549,60,17,43,3441,61,348,6
Canada,3409,,36,,185,3188,35,90,1.0
Norway,3279,195,14,,6,3259,70,605,3
Sweden,2840,314,70,8,16,2754,176,281,7
Australia,2806,130,13,2,170,2623,11,110,0.5
Israel,2666,297,8,3,68,2590,39,308,0.9
Brazil,2589,35,61,2,6,2522,18,12,0.3
Turkey,2433,,59,,26,2348,136,29,0.7
Malaysia,2031,235,23,3,215,1793,45,63,0.7
Denmark,1851,127,41,7,1,1809,94,320,7
Czechia,1775,121,6,,10,1759,34,166,0.6
Ireland,1564,,9,,5,1550,39,317,2
Luxembourg,1333,,8,,6,1319,3,2129,13
Japan,1307,,45,,310,952,57,10,0.4
Chile,1306,164,4,1,22,1280,7,68,0.2
Ecuador,1211,,29,,3,1179,2,69,2
Pakistan,1130,67,9,1,21,1100,5,5,0.04
Poland,1120,69,14,,7,1099,3,30,0.4
Thailand,1045,111,4,,88,953,4,15,0.06
Romania,1029,123,18,1,94,917,29,53,0.9
Saudi Arabia,1012,112,3,1,33,976,6,29,0.09
Finland,958,78,5,2,10,943,24,173,0.9
Indonesia,893,103,78,20,35,780,,3,0.3
Russia,840,182,3,,38,799,8,6,0.02
Greece,821,,23,1,36,762,53,79,2
Iceland,802,65,2,,68,732,11,2350,6
India,719,62,16,4,45,658,,0.5,0.01
Diamond Princess,712,,10,,597,105,15,,
South Africa,709,,,,12,697,2,12,
Philippines,707,71,45,7,28,634,1,6,0.4
Singapore,683,52,2,,172,509,17,117,0.3
Panama,558,,8,,2,548,20,129,2
Estonia,538,134,1,,8,529,6,406,0.8
Qatar,537,,,,41,496,6,186,
Slovenia,528,,6,1,10,512,14,254,3
Argentina,502,,8,,52,442,,11,0.2
Croatia,481,39,2,1,22,457,14,117,0.5
Peru,480,,9,,1,470,9,15,0.3
Mexico,475,70,6,1,4,465,1,4,0.05
Colombia,470,,4,,8,458,,9,0.08
Serbia,457,73,7,3,15,435,21,52,0.8
Bahrain,457,38,4,,204,249,1,269,2
Egypt,456,,21,,95,340,,4,0.2
Hong Kong,453,42,4,,110,339,5,60,0.5
Dominican Republic,392,,10,,3,379,,36,0.9
Iraq,382,36,36,7,105,241,,9,0.9
Lebanon,368,35,6,,20,342,3,54,0.9
UAE,333,,2,,52,279,2,34,0.2
Algeria,302,,21,,24,257,,7,0.5
Lithuania,290,16,4,,1,285,1,107,1
Armenia,290,25,1,1,18,271,6,98,0.3
New Zealand,283,,,,27,256,,59,
Hungary,261,35,10,,28,223,6,27,1
Taiwan,252,17,2,,29,221,,11,0.08
Latvia,244,23,,,1,243,,129,
Bulgaria,243,1,3,,4,236,8,35,0.4
Slovakia,226,10,,,2,224,2,41,
Morocco,225,,6,,7,212,1,6,0.2
Andorra,224,36,3,2,1,220,6,2899,39
Uruguay,217,,,,,217,3,62,
San Marino,208,,21,,4,183,12,6130,619
Kuwait,208,13,,,49,159,7,49,
North Macedonia,201,24,3,,3,195,1,96,1
Costa Rica,201,,2,,2,197,4,39,0.4
Tunisia,200,27,6,1,2,192,10,17,0.5
Bosnia and Herzegovina,185,9,3,,2,180,1,56,0.9
Albania,174,28,6,1,17,151,3,60,2
Jordan,172,,,,1,171,,17,
Ukraine,162,17,5,,1,156,,4,0.1
Vietnam,153,5,,,20,133,3,2,
Moldova,149,,1,,2,146,28,37,0.2
Burkina Faso,146,,4,,10,132,,7,0.2
Faeroe Islands,140,8,,,47,93,,2865,
Malta,134,5,,,2,132,1,303,
Ghana,132,64,4,,1,127,,4,0.1
Cyprus,132,,3,,4,125,3,109,2
Azerbaijan,122,29,3,1,15,104,6,12,0.3
Runion,115,4,,,1,114,,128,
Brunei,114,5,,,5,109,1,261,
Kazakhstan,109,28,1,1,2,106,,6,0.05
Oman,109,10,,,23,86,,21,
Venezuela,106,,,,15,91,2,4,
Senegal,105,6,,,9,96,,6,
Sri Lanka,104,2,,,7,97,3,5,
Cambodia,96,,,,10,86,1,6,
Belarus,86,,,,29,57,2,9,
Afghanistan,84,,2,,2,80,,2,0.05
Palestine,84,13,1,,17,66,,16,0.2
Mauritius,81,33,2,,,79,1,64,2
Ivory Coast,80,,,,3,77,,3,
Georgia,79,4,,,10,69,1,20,
Cameroon,75,,1,,2,72,,3,0.04
Guadeloupe,73,,1,,,72,4,182,2
Montenegro,67,14,1,,,66,1,107,2
Martinique,66,,1,,,65,7,176,3
Uzbekistan,65,5,,,,65,4,2,
Trinidad and Tobago,60,,1,,,59,,43,0.7
Cuba,57,,1,,1,55,2,5,0.09
Honduras,52,,,,,52,,5,
DRC,51,3,3,1,,48,,0.6,0.03
Nigeria,51,,1,,2,48,,0.2,0.00
Liechtenstein,51,,,,,51,,1338,
Channel Islands,46,,1,1,,45,,265,6
Bangladesh,44,5,5,,11,28,1,0.3,0.03
Kyrgyzstan,44,,,,,44,,7,
Paraguay,41,4,3,,,38,1,6,0.4
Rwanda,41,,,,,41,,3,
Bolivia,39,7,,,,39,,3,
Mayotte,36,,,,,36,,132,
Macao,31,,,,10,21,,48,
Monaco,31,,,,1,30,,790,
Kenya,31,3,,,1,30,,0.6,
French Guiana,28,,,,6,22,,94,
Jamaica,26,,1,,2,23,,9,0.3
Gibraltar,26,,,,5,21,,772,
French Polynesia,25,,,,,25,,89,
Isle of Man,25,2,,,,25,,294,
Guatemala,24,,1,,4,19,,1,0.06
Madagascar,23,4,,,,23,,0.8,
Togo,23,,,,1,22,,3,
Aruba,19,,,,1,18,,178,
Barbados,18,,,,,18,,63,
Zambia,16,4,,,,16,,0.9,
New Caledonia,14,,,,,14,,49,
Uganda,14,,,,,14,,0.3,
El Salvador,13,4,,,,13,,2,
Maldives,13,,,,8,5,,24,
Tanzania,13,,,,,13,,0.2,
Ethiopia,12,,,,,12,,0.1,
Djibouti,11,,,,,11,,11,
Dominica,11,,,,,11,,153,
Mongolia,11,1,,,,11,,3,
Saint Martin,11,,,,,11,,284,
Equatorial Guinea,9,,,,,9,,6,
Cayman Islands,8,,1,,,7,,122,15
Haiti,8,,,,,8,,0.7,
Suriname,8,,,,,8,,14,
Gabon,7,1,1,,,6,,3,0.4
Niger,7,,1,,,6,,0.3,0.04
Bermuda,7,,,,2,5,,112,
Namibia,7,,,,2,5,,3,
Seychelles,7,,,,,7,,71,
Curaao,6,,1,,2,3,,37,6
Benin,6,,,,,6,,0.5,
Greenland,6,,,,2,4,,106,
Laos,6,3,,,,6,,0.8,
Guyana,5,,1,,,4,,6,1
Bahamas,5,,,,1,4,,13,
Fiji,5,,,,,5,,6,
Mozambique,5,,,,,5,,0.2,
Syria,5,,,,,5,,0.3,
Cabo Verde,4,,1,,,3,,7,2
Congo,4,,,,,4,,0.7,
Eritrea,4,,,,,4,,1,
Guinea,4,,,,,4,,0.3,
Vatican City,4,,,,,4,,4994,
Eswatini,4,,,,,4,,3,
Gambia,3,,1,,,2,,1,0.4
Sudan,3,,1,,,2,,0.07,0.02
Zimbabwe,3,,1,,,2,,0.2,0.07
Nepal,3,,,,1,2,,0.1,
Angola,3,,,,,3,,0.09,
Antigua and Barbuda,3,,,,,3,,31,
CAR,3,,,,,3,,0.6,
Chad,3,,,,,3,,0.2,
Liberia,3,,,,,3,,0.6,
Mauritania,3,1,,,,3,,0.6,
Myanmar,3,,,,,3,,0.06,
St. Barth,3,,,,,3,,304,
Saint Lucia,3,,,,,3,,16,
Sint Maarten,3,,,,,3,,70,
Belize,2,,,,,2,,5,
Bhutan,2,,,,,2,,3,
British Virgin Islands,2,,,,,2,,66,
Guinea-Bissau,2,,,,,2,,1,
Mali,2,,,,,2,,0.10,
Nicaragua,2,,,,,2,,0.3,
Saint Kitts and Nevis,2,,,,,2,,38,
Somalia,2,1,,,,2,,0.1,
Grenada,1,,,,,1,,9,
Libya,1,,,,,1,,0.1,
Montserrat,1,,,,,1,,200,
Papua New Guinea,1,,,,,1,,0.1,
St. Vincent Grenadines,1,,,,,1,,9,
Timor-Leste,1,,,,,1,,0.8,
Turks and Caicos,1,,,,,1,,26,
