Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,Reported1st case
USA,164359,515,3173,17,5507,155679,3512,497,10,Jan 20
Italy,101739,,11591,,14620,75528,3981,1683,192,Jan 29
Spain,94417,6461,8189,473,19259,66969,5607,2019,175,Jan 30
Germany,67051,166,650,5,13500,52901,1979,800,8,Jan 26
France,44550,,3024,,7927,33599,5056,683,46,Jan 23
Iran,41495,,2757,,13911,24827,3511,494,33,Feb 18
UK,22141,,1408,,135,20598,163,326,21,Jan 30
Switzerland,15922,,359,,1823,13740,301,1840,41,Feb 24
Belgium,12775,876,705,192,1696,10374,1021,1102,61,Feb 03
Netherlands,11750,,864,,250,10636,1053,686,50,Feb 26
Turkey,10827,,168,,162,10497,568,128,2,Mar 09
Austria,9825,207,128,20,1095,8602,198,1091,14,Feb 24
S. Korea,9786,125,162,4,5408,4216,55,191,3,Jan 19
Canada,7474,26,92,3,1114,6268,120,198,2,Jan 24
Portugal,6408,,140,,43,6225,164,628,14,Mar 01
Israel,4831,136,17,1,163,4651,83,558,2,Feb 20
Brazil,4661,31,165,2,127,4369,296,22,0.8,Feb 24
Australia,4557,97,19,,337,4201,28,179,0.7,Jan 24
Norway,4494,49,34,2,12,4448,97,829,6,Feb 25
Sweden,4028,,146,,16,3866,306,399,14,Jan 30
Czechia,3002,1,24,1,25,2953,64,280,2,Feb 29
Ireland,2910,,54,,5,2851,84,589,11,Feb 28
Denmark,2815,238,77,,1,2737,137,486,13,Feb 26
Malaysia,2766,140,43,6,537,2186,94,85,1,Jan 24
Chile,2449,,8,,156,2285,14,128,0.4,Mar 02
Russia,2337,501,17,8,121,2199,8,16,0.1,Jan 30
Poland,2132,77,31,,7,2094,3,56,0.8,Mar 03
Romania,2109,,69,4,209,1831,33,110,4,Feb 25
Philippines,2084,538,88,10,49,1947,1,19,0.8,Jan 29
Luxembourg,1988,,22,,80,1886,31,3176,35,Feb 28
Ecuador,1966,,62,,54,1850,58,111,4,Feb 28
Japan,1953,,56,,424,1473,56,15,0.4,Jan 14
Pakistan,1865,148,25,4,76,1764,12,8,0.1,Feb 25
Thailand,1651,127,10,1,342,1299,23,24,0.1,Jan 12
Indonesia,1528,114,136,14,81,1311,,6,0.5,Mar 01
Saudi Arabia,1453,,8,,115,1330,12,42,0.2,Mar 01
Finland,1384,32,13,,10,1361,49,250,2,Jan 28
South Africa,1326,,3,,31,1292,7,22,0.05,Mar 04
India,1251,,32,,102,1117,,0.9,0.02,Jan 29
Greece,1212,,46,,52,1114,72,116,4,Feb 25
Mexico,1094,101,28,8,35,1031,1,8,0.2,Feb 27
Iceland,1086,,2,,157,927,25,3182,6,Feb 27
Panama,1075,,27,,9,1039,43,249,6,Mar 09
Argentina,966,146,24,1,228,714,,21,0.5,Mar 02
Peru,950,,24,,53,873,49,29,0.7,Mar 05
Dominican Republic,901,,42,,4,855,,83,4,Feb 29
Singapore,879,,3,,228,648,19,150,0.5,Jan 22
Slovenia,802,46,12,1,10,780,28,386,6,Mar 03
Colombia,798,,14,,15,769,29,16,0.3,Mar 05
Croatia,790,,6,,67,717,27,192,1,Feb 24
Serbia,785,,16,,42,727,62,90,2,Mar 05
Estonia,745,30,4,1,26,715,13,562,3,Feb 26
Hong Kong,714,31,4,,128,582,5,95,0.5,Jan 22
Diamond Princess,712,,10,,603,99,15,,,Feb 04
Qatar,693,,1,,51,641,6,241,0.3,Feb 28
Egypt,656,,41,,150,465,,6,0.4,Feb 13
New Zealand,647,58,1,,74,572,2,134,0.2,Feb 27
Iraq,630,,46,,152,432,,16,1,Feb 21
UAE,611,,5,,61,545,2,62,0.5,Jan 28
Algeria,584,,35,,37,512,,13,0.8,Feb 24
Morocco,574,18,33,,15,526,1,16,0.9,Mar 01
Ukraine,549,1,13,,8,528,,13,0.3,Mar 02
Lithuania,533,42,7,,7,519,27,196,3,Feb 27
Armenia,532,50,3,,30,499,15,180,1,Feb 29
Bahrain,515,,4,,295,216,2,303,2,Feb 23
Hungary,492,45,16,1,37,439,6,51,2,Mar 03
Lebanon,463,17,12,1,35,416,7,68,2,Feb 20
Bosnia and Herzegovina,411,43,10,,17,384,1,125,3,Mar 04
Latvia,398,22,,,1,397,3,211,,Mar 01
Bulgaria,379,20,8,,17,354,13,55,1,Mar 06
Andorra,370,,8,,10,352,10,4789,104,Mar 01
Slovakia,363,27,,,7,356,1,66,,Mar 05
Tunisia,362,,9,,3,350,10,31,0.8,Mar 01
Kazakhstan,336,34,2,1,22,312,,18,0.1,Mar 12
Costa Rica,330,,2,,4,324,7,65,0.4,Mar 04
Taiwan,322,16,5,,39,278,,14,0.2,Jan 20
Uruguay,320,,1,,25,294,9,92,0.3,Mar 12
Moldova,298,,2,,18,278,44,74,0.5,Mar 06
Kuwait,289,23,,,73,216,13,68,,Feb 23
North Macedonia,285,,7,,12,266,1,137,3,Feb 25
Azerbaijan,273,,4,,26,243,23,27,0.4,Feb 27
Jordan,268,,5,,26,237,3,26,0.5,Mar 01
Burkina Faso,246,,12,,31,203,,12,0.6,Mar 08
Albania,243,20,13,2,52,178,8,84,5,Mar 07
San Marino,230,,25,,13,192,16,6778,737,Feb 26
Cyprus,230,,7,,22,201,3,190,6,Mar 08
Runion,224,,,,1,223,,250,,Mar 10
Vietnam,204,,,,55,149,3,2,,Jan 22
Cameroon,193,54,6,,5,182,,7,0.2,Mar 05
Oman,192,13,,,34,158,3,38,,Feb 23
Afghanistan,174,4,4,,5,165,,4,0.1,Feb 23
Cuba,170,,4,,4,162,2,15,0.4,Mar 10
Faeroe Islands,169,1,,,74,95,3,3459,,Mar 03
Ivory Coast,168,,1,,6,161,,6,0.04,Mar 10
Senegal,162,,,,28,134,,10,,Mar 01
Uzbekistan,158,9,2,,7,149,8,5,0.06,Mar 14
Malta,156,,,,2,154,4,353,,Mar 06
Ghana,152,,5,,2,145,1,5,0.2,Mar 11
Belarus,152,,,,47,105,2,16,,Feb 27
Mauritius,143,15,3,,,140,1,112,2,Mar 17
Honduras,141,2,7,,3,131,4,14,0.7,Mar 10
Channel Islands,141,,3,1,,138,,811,17,Mar 08
Venezuela,135,,3,,39,93,6,5,0.1,Mar 12
Nigeria,131,,2,,8,121,,0.6,0.01,Feb 27
Brunei,129,2,1,,45,83,3,295,2,Mar 08
Sri Lanka,122,,2,,16,104,5,6,0.09,Jan 26
Palestine,117,,1,,18,98,,23,0.2,Mar 04
Georgia,110,7,,,21,89,6,28,,Feb 25
Cambodia,109,2,,,23,86,1,7,,Jan 26
Bolivia,107,10,6,2,,101,3,9,0.5,Mar 09
Kyrgyzstan,107,13,,,3,104,,16,,Mar 17
Guadeloupe,106,,4,,17,85,10,265,10,Mar 12
Montenegro,105,14,1,,,104,1,167,2,Mar 16
DRC,98,17,8,,2,88,,1,0.09,Mar 09
Martinique,93,,1,,,92,12,248,3,Mar 04
Trinidad and Tobago,85,2,3,,1,81,,61,2,Mar 11
Mayotte,82,,,,10,72,3,301,,Mar 13
Rwanda,70,,,,,70,,5,,Mar 13
Gibraltar,69,,,,34,35,,2048,,Mar 02
Paraguay,65,1,3,,1,61,3,9,0.4,Mar 06
Liechtenstein,64,2,,,,64,,1679,,Mar 02
Isle of Man,60,11,,,,60,,706,,Mar 18
Bangladesh,51,2,5,,25,21,1,0.3,0.03,Mar 07
Kenya,50,,1,,1,48,2,0.9,0.02,Mar 12
Aruba,50,,,,1,49,,468,,Mar 12
Monaco,49,,1,,1,47,,1249,25,Feb 27
Madagascar,46,3,,,,46,6,2,,Mar 19
French Guiana,43,,,,6,37,,144,,Mar 06
Macao,38,,,,10,28,,59,,Jan 21
Guatemala,36,,1,,10,25,1,2,0.06,Mar 12
Jamaica,36,,1,,2,33,,12,0.3,Mar 09
French Polynesia,36,,,,,36,2,128,,Mar 10
Zambia,35,,,,,35,,2,,Mar 17
Barbados,34,1,,,,34,,118,,Mar 16
Uganda,33,,,,,33,,0.7,,Mar 20
El Salvador,32,2,,,,32,5,5,,Mar 18
Togo,30,,1,,1,28,,4,0.1,Mar 05
Niger,27,,3,,,24,,1,0.1,Mar 18
