Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop
China,80880,36,3213,14,67819,9848,3226,56.2
Italy,24747,,1809,,2335,20603,1672,409.3
Iran,14991,1053,853,129,4590,9548,,178.5
Spain,9191,1203,309,15,530,8352,272,196.6
S. Korea,8236,74,75,,1137,7024,59,160.6
Germany,6672,859,14,1,58,6600,2,79.6
France,5423,,127,,12,5284,400,83.1
USA,3814,134,70,2,73,3671,12,11.5
Switzerland,2221,4,18,4,4,2199,,256.6
UK,1543,152,35,,20,1488,20,22.7
Netherlands,1413,278,24,4,2,1387,45,82.5
Norway,1308,52,3,,1,1304,27,241.3
Sweden,1103,63,6,3,1,1096,2,109.2
Belgium,1058,172,5,1,1,1052,33,91.3
Austria,1018,158,3,2,8,1007,12,113.0
Denmark,898,34,4,2,1,893,10,155.0
Japan,845,6,27,3,144,674,36,6.7
Diamond Princess,696,,7,,456,233,15,
Malaysia,566,138,,,42,524,9,17.5
Qatar,439,38,,,4,435,,152.4
Australia,375,75,5,,27,343,1,14.7
Canada,341,,1,,11,329,1,9.0
Greece,331,,4,,8,319,5,31.8
Portugal,331,86,,,3,328,9,32.5
Czechia,298,5,,,,298,2,27.8
Finland,278,34,,,10,268,1,50.2
Israel,255,42,,,4,251,4,29.5
Slovenia,253,34,1,,,252,3,121.7
Singapore,243,17,,,109,134,11,41.5
Bahrain,221,7,1,1,77,143,1,129.9
Estonia,205,34,,,1,204,,154.5
Brazil,203,3,,,2,201,2,1.0
Iceland,180,,,,,180,1,
Ireland,170,,2,,5,163,6,34.4
Romania,158,19,,,9,149,1,8.2
Chile,155,80,,,,155,,8.1
Poland,150,25,3,,,147,3,4.0
Hong Kong,149,,4,,81,64,4,19.9
Thailand,147,33,1,,35,111,1,2.1
Philippines,142,2,12,,5,125,1,1.3
Pakistan,136,83,,,2,134,,0.6
Indonesia,134,17,5,,8,121,,0.5
India,129,15,2,,13,114,,0.1
Egypt,126,,2,,32,92,,1.2
Iraq,124,,10,,26,88,,3.1
Kuwait,123,11,,,9,114,4,28.8
Saudi Arabia,118,,,,6,112,,3.4
San Marino,109,,7,,4,98,11,
Lebanon,109,,3,,1,105,3,16.0
UAE,98,,,,23,75,2,9.9
Russia,93,30,,,8,85,,0.6
Peru,86,15,,,1,85,8,2.6
Luxembourg,81,4,1,,,80,10,
Taiwan,67,8,1,,20,46,,2.8
South Africa,64,3,,,,64,,1.1
Slovakia,63,2,,,,63,,11.5
Vietnam,61,4,,,16,45,,0.6
Croatia,57,8,,,3,54,,13.9
Argentina,56,,2,,3,51,1,1.2
Panama,55,,1,,,54,,12.7
Serbia,55,7,,,1,54,2,6.3
Algeria,54,,4,,10,40,,1.2
Brunei,54,4,,,,54,1,
Colombia,54,20,,,1,53,,1.1
Mexico,53,10,,,4,49,1,0.4
Bulgaria,52,1,2,,,50,,7.5
Albania,51,9,1,,,50,2,17.7
Hungary,39,7,1,,1,37,,4.0
Palestine,39,1,,,,39,,7.6
Ecuador,37,,2,,,35,1,2.1
Belarus,36,9,,,3,33,,3.8
Costa Rica,35,,,,,35,3,6.9
Latvia,34,4,,,1,33,,18.0
Georgia,33,,,,1,32,1,8.3
Cyprus,33,,,,,33,1,27.3
Armenia,30,2,,,1,29,2,10.1
Malta,30,9,,,2,28,,
Morocco,29,1,1,,1,27,1,0.8
Azerbaijan,25,2,1,,6,18,,2.5
Senegal,24,,,,2,22,,1.4
Bosnia and Herzegovina,24,,,,,24,,7.3
Moldova,23,,,,,23,1,5.7
