Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,TotDeaths/1M pop
China,81218,47,3281,4,73650,4287,1399,56,2
Italy,69176,,6820,,8326,54030,3393,1144,113
USA,55081,225,785,5,379,53917,1175,166,2
Spain,47610,5552,3434,443,5367,38809,2636,1018,73
Germany,35714,2723,181,22,3540,31993,23,426,2
Iran,27017,2206,2077,143,9625,15315,,322,25
France,22304,,1100,,3281,17923,2516,342,17
Switzerland,10537,660,149,27,131,10257,141,1217,17
S. Korea,9137,100,126,6,3730,5281,59,178,2
UK,8227,150,433,11,135,7659,20,121,6
Netherlands,6412,852,356,80,3,6053,582,374,21
Austria,5588,305,30,2,9,5549,28,620,3
Belgium,4937,668,178,56,547,4212,474,426,15
Portugal,2995,633,43,10,22,2930,61,294,4
Norway,2971,105,14,2,6,2951,57,548,3
Canada,2792,,26,,185,2581,1,74,0.7
Sweden,2526,227,44,4,16,2466,158,250,4
Australia,2431,114,9,1,118,2304,11,95,0.4
Brazil,2274,27,47,1,2,2225,18,11,0.2
Israel,2170,240,5,2,58,2107,37,251,0.6
Turkey,1874,2,44,,,1830,,22,0.5
Malaysia,1796,172,19,3,199,1578,64,55,0.6
Denmark,1715,124,34,2,1,1680,69,296,6
Czechia,1497,103,5,2,10,1482,19,140,0.5
Ireland,1329,,7,,5,1317,29,269,1
Japan,1193,,43,,285,865,54,9,0.3
Chile,1142,220,3,1,22,1117,7,60,0.2
Luxembourg,1099,,8,,6,1085,3,1756,13
Ecuador,1082,,27,,3,1052,2,61,2
Pakistan,1022,50,8,1,21,993,5,5,0.04
Poland,957,56,13,3,2,942,3,25,0.3
Thailand,934,107,4,,70,860,11,13,0.06
Romania,906,112,13,1,86,807,18,47,0.7
Saudi Arabia,900,133,2,1,29,869,,26,0.06
Finland,880,88,3,2,10,867,22,159,0.5
Indonesia,790,104,58,3,31,701,,3,0.2
Greece,743,,20,,29,694,35,71,2
Iceland,737,89,2,,56,679,11,2160,6
Diamond Princess,712,,10,,587,115,15,,
South Africa,709,155,,,12,697,2,12,
Russia,658,163,1,,29,628,8,5,0.01
Philippines,636,84,38,3,26,572,1,6,0.3
Singapore,631,73,2,,160,469,17,108,0.3
India,606,70,10,,42,554,,0.4,0.01
Slovenia,528,48,5,1,10,513,14,254,2
Qatar,526,,,,41,485,6,183,
Panama,443,,6,,1,436,33,103,1
Egypt,442,40,21,1,93,328,,4,0.2
Bahrain,419,27,3,,177,239,2,246,2
Croatia,418,36,1,,16,401,6,102,0.2
Peru,416,,7,,1,408,9,13,0.2
Hong Kong,410,23,4,,102,304,4,55,0.5
Mexico,405,38,5,1,4,396,1,3,0.04
Estonia,404,35,,,8,396,5,305,
Dominican Republic,392,80,10,4,3,379,,36,0.9
Argentina,387,,8,2,52,327,,9,0.2
Serbia,384,81,4,1,15,365,21,44,0.5
Colombia,378,,3,,6,369,,7,0.06
Iraq,346,30,29,2,103,214,,9,0.7
