Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,TotDeaths/1M pop
China,81218,47,3281,4,73650,4287,1399,56,2
Italy,74386,5210,7503,683,9362,57521,3489,1230,124
USA,62627,7771,881,101,387,61359,1382,189,3
Spain,47610,5552,3434,443,5367,38809,2636,1018,73
Germany,37098,4107,206,47,3547,33345,23,443,2
Iran,27017,2206,2077,143,9625,15315,,322,25
France,25233,2929,1331,231,3900,20002,2827,387,20
Switzerland,10897,1020,153,31,131,10613,141,1259,18
S. Korea,9137,100,126,6,3730,5281,59,178,2
UK,8264,187,435,13,135,7694,20,122,6
Netherlands,6412,852,356,80,3,6053,582,374,21
Austria,5588,305,30,2,9,5549,28,620,3
Belgium,4937,668,178,56,547,4212,474,426,15
Canada,3290,498,30,4,185,3075,1,87,0.8
Norway,3052,186,14,2,6,3032,57,563,3
Portugal,2995,633,43,10,22,2930,61,294,4
Sweden,2526,227,44,4,16,2466,158,250,4
Australia,2431,114,9,1,118,2304,11,95,0.4
Israel,2369,439,5,2,58,2306,37,274,0.6
Brazil,2274,27,47,1,2,2225,18,11,0.2
Turkey,1872,,44,,26,1802,136,22,0.5
Malaysia,1796,172,20,4,199,1577,64,55,0.6
Denmark,1724,133,34,2,1,1689,69,298,6
Czechia,1654,260,6,3,10,1638,19,154,0.6
Luxembourg,1333,234,8,,6,1319,3,2129,13
Ireland,1329,,7,,5,1317,29,269,1
Japan,1307,114,45,2,310,952,57,10,0.4
Ecuador,1173,91,28,1,3,1142,2,66,2
Chile,1142,220,3,1,22,1117,7,60,0.2
Poland,1031,130,14,4,2,1015,3,27,0.4
Pakistan,1022,50,8,1,21,993,5,5,0.04
Thailand,934,107,4,,70,860,11,13,0.06
Romania,906,112,14,2,86,806,18,47,0.7
Saudi Arabia,900,133,2,1,29,869,,26,0.06
Finland,880,88,3,2,10,867,22,159,0.5
Greece,821,78,22,2,36,763,53,79,2
Indonesia,790,104,58,3,31,701,,3,0.2
Iceland,737,89,2,,56,679,11,2160,6
Diamond Princess,712,,10,,587,115,15,,
South Africa,709,155,,,12,697,2,12,
Russia,658,163,3,2,29,626,8,5,0.02
Philippines,636,84,38,3,26,572,1,6,0.3
Singapore,631,73,2,,160,469,17,108,0.3
India,606,70,11,1,42,553,,0.4,0.01
Qatar,537,11,,,41,496,6,186,
Slovenia,528,48,5,1,10,513,14,254,2
Peru,480,64,9,2,1,470,9,15,0.3
Colombia,470,92,3,,6,461,,9,0.06
Panama,443,,8,2,1,434,33,103,2
Egypt,442,40,21,1,93,328,,4,0.2
Croatia,442,60,1,,22,419,6,108,0.2
Bahrain,419,27,4,1,177,238,2,246,2
Hong Kong,410,23,4,,102,304,4,55,0.5
Mexico,405,38,5,1,4,396,1,3,0.04
Estonia,404,35,1,1,8,395,5,305,0.8
Dominican Republic,392,80,10,4,3,379,,36,0.9
Argentina,387,,8,2,52,327,,9,0.2
Serbia,384,81,4,1,15,365,21,44,0.5
Iraq,346,30,29,2,103,214,,9,0.7
Lebanon,333,15,4,,8,321,4,49,0.6
UAE,333,85,2,,52,279,2,34,0.2
Algeria,302,38,21,2,65,216,,7,0.5
Lithuania,274,65,4,2,1,269,1,101,1
Armenia,265,16,,,16,249,6,89,
Bulgaria,242,24,3,,4,235,8,35,0.4
Taiwan,235,19,2,,29,204,,10,0.08
Hungary,226,39,10,1,21,195,6,23,1
Morocco,225,55,6,1,7,212,1,6,0.2
Latvia,221,24,,,1,220,,117,
Slovakia,216,12,,,7,209,2,40,
New Zealand,205,,,,22,183,,43,
Kuwait,195,4,,,43,152,6,46,
Uruguay,189,,,,,189,3,54,
Andorra,188,24,1,,1,186,6,2433,13
San Marino,187,,21,,4,162,12,5511,619
North Macedonia,177,29,3,1,1,173,1,85,1
Costa Rica,177,,2,,2,173,4,35,0.4
Tunisia,173,59,5,1,2,166,11,15,0.4
Bosnia and Herzegovina,173,5,3,,2,168,1,53,0.9
