Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,Tot Cases/1M pop
China,80703,52,3098,28,57333,20272,5264,56.1
S. Korea,7313,272,50,2,130,7133,36,142.6
Iran,6566,743,194,49,2134,4238,,78.2
Italy,5883,,233,,589,5061,567,97.3
Germany,951,151,,,18,933,9,11.4
France,949,,16,,12,921,45,14.5
Diamond Princess,696,,7,,245,444,32,
Spain,613,88,17,7,30,566,9,13.1
Japan,502,41,6,,76,420,28,4.0
USA,447,12,19,,15,413,8,1.4
Switzerland,337,69,2,1,3,332,,38.9
UK,273,64,2,,18,253,,4.0
Netherlands,265,77,3,2,,262,1,15.5
Sweden,203,42,,,1,202,,20.1
Belgium,200,31,,,1,199,1,17.3
Norway,159,3,,,1,158,,29.3
Singapore,150,12,,,90,60,9,25.6
Hong Kong,110,2,2,,55,53,6,14.7
Austria,104,23,,,2,102,1,11.5
Malaysia,99,6,,,24,75,,3.1
Bahrain,85,,,,6,79,,50.0
Australia,80,6,3,,22,55,1,3.1
Greece,66,,,,,66,1,6.3
Kuwait,64,3,,,1,63,3,15.0
Canada,60,,,,8,52,1,1.6
Iraq,54,,4,,1,49,,1.3
Thailand,50,,1,,31,18,1,0.7
Iceland,50,,,,1,49,,
Egypt,48,,,,1,47,,
Taiwan,45,,1,,15,29,,1.9
UAE,45,,,,7,38,2,4.5
India,39,5,,,3,36,,
San Marino,36,10,1,,,35,5,
Denmark,35,8,,,1,34,,6.0
Vietnam,30,10,,,16,14,,
Lebanon,28,,,,1,27,3,4.1
Czechia,26,,,,,26,,2.4
Israel,25,,,,3,22,1,2.9
Portugal,25,4,,,,25,,2.5
Finland,23,4,,,1,22,,4.2
Algeria,19,,,,,19,,
Brazil,19,,,,,19,,
Ireland,19,,,,,19,,3.8
Palestine,19,,,,,19,,3.7
Oman,16,,,,2,14,,3.1
Russia,15,,,,3,12,,
Ecuador,14,,,,,14,1,0.8
Romania,14,1,,,4,10,,0.7
Georgia,13,,,,,13,1,3.3
Croatia,12,,,,,12,,2.9
Qatar,12,,,,,12,,4.2
Slovenia,12,,,,,12,,5.8
Saudi Arabia,11,4,,,1,10,,
Macao,10,,,,10,0,,
Estonia,10,,,,,10,,7.5
Argentina,9,,1,,,8,,
Azerbaijan,9,,,,,9,,0.9
Poland,8,2,,,,8,,
Mexico,7,1,,,1,6,1,
Chile,7,,,,,7,,
Hungary,7,2,,,,7,,0.7
Philippines,6,,1,,2,3,1,
Belarus,6,,,,,6,,0.6
Indonesia,6,2,,,,6,,
Pakistan,6,,,,1,5,,
Peru,6,,,,,6,,
New Zealand,5,,,,,5,,1.0
Costa Rica,5,4,,,,5,1,1.0
French Guiana,5,,,,,5,,
Afghanistan,4,,,,,4,,
Luxembourg,4,,,,,4,,
Senegal,4,,,,1,3,,
Bulgaria,4,2,,,,4,,0.6
North Macedonia,3,,,,,3,,1.4
Bangladesh,3,3,,,,3,,
Bosnia and Herzegovina,3,,,,,3,,0.9
Malta,3,,,,,3,,
Slovakia,3,,,,,3,,0.5
South Africa,3,1,,,,3,,
Cambodia,2,,,,1,1,,
Dominican Republic,2,,,,,2,,
Latvia,2,1,,,1,1,,1.1
Morocco,2,,,,,2,1,
Cameroon,2,,,,,2,,
Faeroe Islands,2,,,,,2,,
Maldives,2,,,,,2,,
Andorra,1,,,,,1,,
Armenia,1,,,,,1,,
Jordan,1,,,,,1,,
Lithuania,1,,,,,1,,
Monaco,1,,,,,1,,
Nepal,1,,,,1,0,,
Nigeria,1,,,,,1,,
Sri Lanka,1,,,,1,0,,
Tunisia,1,,,,,1,,
Ukraine,1,,,,,1,,
Bhutan,1,,,,,1,,
Colombia,1,,,,,1,,
Gibraltar,1,,,,,1,1,
Vatican City,1,,,,,1,,
Liechtenstein,1,,,,,1,,
Moldova,1,,,,,1,,
Paraguay,1,,,,,1,,
Serbia,1,,,,,1,,
Togo,1,,,,,1,,
