Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop
China,80928,34,3245,8,70420,7263,2274,56
Italy,41035,5322,3405,427,4440,33190,2498,679
Iran,18407,1046,1284,149,5979,11144,,219
Spain,17395,2626,803,165,1107,15485,800,372
Germany,14602,2275,44,16,113,14445,2,174
USA,11355,2096,171,21,108,11076,64,34
France,10995,1861,372,108,602,10021,931,168
S. Korea,8565,152,91,7,1947,6527,59,167
Switzerland,3944,829,41,8,15,3888,,456
UK,3269,643,144,40,65,3060,20,48
Netherlands,2460,409,76,18,2,2382,45,144
Austria,2013,367,6,2,9,1998,12,224
Belgium,1795,309,21,7,165,1609,130,155
Norway,1758,167,7,1,1,1750,27,324
Sweden,1439,138,11,1,16,1412,21,142
Denmark,1151,94,6,2,1,1144,30,199
Japan,923,9,32,3,191,700,46,7
Malaysia,900,110,2,,75,823,15,28
Canada,801,74,10,1,11,780,1,21
Portugal,785,143,3,1,4,778,20,77
Diamond Princess,712,,7,,527,178,14,
Australia,709,113,6,,46,657,1,28
Czechia,694,172,,,3,691,6,65
Israel,573,140,,,13,560,6,66
Ireland,557,191,3,1,5,549,6,113
Brazil,534,5,6,2,2,526,18,3
Greece,464,46,6,1,19,439,16,45
Qatar,460,8,,,10,450,6,160
Pakistan,453,146,2,,13,438,,2
Finland,400,41,,,10,390,2,72
Poland,355,68,5,,13,337,3,9
Singapore,345,32,,,124,221,14,59
Chile,342,104,,,,342,6,18
Luxembourg,335,132,4,2,,331,1,535
Iceland,330,80,,,5,325,1,967
Slovenia,319,33,1,,,318,6,153
Indonesia,308,81,25,6,15,268,,1
Bahrain,277,21,1,,100,176,4,163
Romania,277,17,,,25,252,5,14
Saudi Arabia,274,36,,,8,266,,8
Thailand,272,60,1,,42,229,1,4
Estonia,267,9,,,1,266,1,201
Egypt,256,46,7,1,28,221,,3
Peru,234,89,,,1,233,7,7
Philippines,217,15,17,,8,192,1,2
Hong Kong,208,15,4,,98,106,4,28
Ecuador,199,31,3,,1,195,2,11
Russia,199,52,1,1,8,190,,1
India,194,25,4,1,20,170,,0.1
Turkey,192,1,3,1,,189,,2
Iraq,177,13,12,,49,116,,4
Lebanon,157,24,4,,4,149,3,23
South Africa,150,34,,,,150,,3
Kuwait,148,6,,,18,130,5,35
San Marino,140,,14,,4,122,11,4126
UAE,140,27,,,31,109,2,14
Slovakia,124,19,,,,124,2,23
Armenia,122,12,,,1,121,2,41
Mexico,118,25,1,1,4,113,1,0.9
Croatia,110,21,1,1,5,104,,27
Panama,109,,1,,,108,7,25
Taiwan,108,8,1,,26,81,,5
Colombia,108,15,,,1,107,,2
Bulgaria,107,15,3,1,,104,,15
Serbia,103,14,,,1,102,4,12
Argentina,97,,3,1,3,91,,2
Algeria,90,15,9,2,32,49,,2
Latvia,86,15,,,1,85,,46
Vietnam,85,9,,,16,69,,0.9
Uruguay,79,,,,,79,,23
Hungary,73,15,1,,2,70,4,8
Brunei,73,5,,,,73,2,167
Faeroe Islands,72,14,,,1,71,,1474
Costa Rica,69,,1,,,68,2,14
Jordan,69,13,,,1,68,,7
Cyprus,67,9,,,,67,1,55
Albania,64,5,2,,,62,2,22
Bosnia and Herzegovina,63,24,,,2,61,,19
Morocco,61,7,2,,2,57,1,2
Sri Lanka,60,9,,,3,57,,3
Andorra,53,,,,1,52,,686
Malta,53,5,,,2,51,,120
Belarus,51,,,,5,46,,5
Moldova,49,13,1,,1,47,3,12
North Macedonia,49,6,,,1,48,1,24
Oman,48,9,,,13,35,,9
Palestine,47,3,,,,47,,9
Azerbaijan,44,10,1,,7,36,,4
Kazakhstan,44,8,,,,44,,2
Venezuela,42,6,,,,42,,1
Lithuania,41,7,,,1,40,1,15
Georgia,40,2,,,1,39,1,10
Tunisia,39,10,1,1,1,37,2,3
Cambodia,37,,,,1,36,,2
Senegal,36,,,,2,34,,2
Dominican Republic,34,,2,,,32,,3
Burkina Faso,33,6,1,,,32,,2
Guadeloupe,33,,,,,33,,82
New Zealand,28,8,,,,28,,6
Liechtenstein,28,,,,,28,,734
Martinique,23,,1,,,22,,61
Uzbekistan,23,5,,,,23,,0.7
Afghanistan,22,,,,1,21,,0.6
Ukraine,21,5,3,1,,18,,0.5
Runion,19,5,,,,19,,21
Bangladesh,18,4,1,,3,14,,0.1
Macao,17,,,,10,7,,26
Jamaica,15,,1,,2,12,,5
Bolivia,15,3,,,,15,,1
French Guiana,15,,,,,15,,50
DRC,14,7,,,,14,,0.2
