Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,Reported1st case
USA,142735,275,2488,4,4559,135688,2970,431,8,Jan 20
Italy,97689,,10779,,13030,73880,3906,1616,178,Jan 29
Spain,80110,,6803,,14709,58598,4165,1713,146,Jan 30
Germany,62435,,541,,9211,52683,1979,745,6,Jan 26
France,40174,,2606,,7202,30366,4632,615,40,Jan 23
Iran,38309,,2640,,12391,23278,3206,456,31,Feb 18
UK,19522,,1228,,135,18159,163,288,18,Jan 30
Switzerland,14829,,300,,1595,12934,301,1713,35,Feb 24
Netherlands,10866,,771,,250,9845,972,634,45,Feb 26
Belgium,10836,,431,,1359,9046,867,935,37,Feb 03
S. Korea,9661,78,158,6,5228,4275,59,188,3,Jan 19
Turkey,9217,,131,,105,8981,568,109,2,Mar 09
Austria,8788,,86,,479,8223,187,976,10,Feb 24
Canada,6320,,65,,573,5682,120,167,2,Jan 24
Portugal,5962,,119,,43,5800,89,585,12,Mar 01
Norway,4284,,26,,7,4251,91,790,5,Feb 25
Brazil,4256,,136,,6,4114,296,20,0.6,Feb 24
Israel,4247,,15,,132,4100,74,491,2,Feb 20
Australia,4163,,18,1,244,3901,28,163,0.7,Jan 24
Sweden,3700,,110,,16,3574,281,366,11,Jan 30
Czechia,2817,,16,,11,2790,45,263,1,Feb 29
Ireland,2615,,46,,5,2564,59,530,9,Feb 28
Malaysia,2470,,35,,388,2047,73,76,1,Jan 24
Denmark,2395,,72,,1,2322,113,413,12,Feb 26
Chile,2139,,7,,75,2057,7,112,0.4,Mar 02
Luxembourg,1950,,21,,40,1889,25,3115,34,Feb 28
Ecuador,1924,,58,,3,1863,58,109,3,Feb 28
Japan,1866,,54,,424,1388,56,15,0.4,Jan 14
Poland,1862,,22,,7,1833,3,49,0.6,Mar 03
Romania,1815,,43,,206,1566,31,94,2,Feb 25
Pakistan,1625,28,18,4,29,1578,11,7,0.08,Feb 25
Russia,1534,,8,,64,1462,8,11,0.05,Jan 30
Thailand,1524,136,7,,229,1288,11,22,0.1,Jan 12
Philippines,1418,,71,,42,1305,1,13,0.6,Jan 29
Saudi Arabia,1299,,8,,66,1225,12,37,0.2,Mar 01
Indonesia,1285,,114,,64,1107,,5,0.4,Mar 01
South Africa,1280,,2,,31,1247,7,22,0.03,Mar 04
Finland,1240,,11,,10,1219,32,224,2,Jan 28
Greece,1156,,39,,52,1065,66,111,4,Feb 25
India,1071,47,29,2,100,942,,0.8,0.02,Jan 29
Iceland,1020,,2,,135,883,25,2989,6,Feb 27
Mexico,993,145,20,4,35,938,1,8,0.2,Feb 27
Panama,989,,24,,4,961,36,229,6,Mar 09
Dominican Republic,859,,39,,3,817,,79,4,Feb 29
Peru,852,,18,,16,818,40,26,0.5,Mar 05
Singapore,844,,3,,212,629,19,144,0.5,Jan 22
Argentina,820,,20,,91,709,,18,0.4,Mar 02
Serbia,741,,13,,42,686,25,85,1,Mar 05
Slovenia,730,,11,,10,709,23,351,5,Mar 03
Croatia,713,,6,,55,652,26,174,1,Feb 24
Diamond Princess,712,,10,,603,99,15,,,Feb 04
Colombia,702,,10,,10,682,29,14,0.2,Mar 05
Estonia,679,,3,,20,656,10,512,2,Feb 26
Hong Kong,642,,4,,118,520,5,86,0.5,Jan 22
Qatar,634,,1,,48,585,6,220,0.3,Feb 28
Egypt,609,,40,,132,437,,6,0.4,Feb 13
New Zealand,589,75,1,,63,525,2,122,0.2,Feb 27
UAE,570,,3,,58,509,2,58,0.3,Jan 28
Iraq,547,,42,,143,362,,14,1,Feb 21
Algeria,511,,31,,31,449,,12,0.7,Feb 24
Bahrain,499,,4,,272,223,1,293,2,Feb 23
Morocco,479,,26,,13,440,1,13,0.7,Mar 01
Ukraine,475,,10,,6,459,,11,0.2,Mar 02
Lithuania,460,,7,,1,452,2,169,3,Feb 27
Hungary,447,39,15,2,34,398,6,46,2,Mar 03
Lebanon,438,,10,,30,398,4,64,1,Feb 20
Armenia,424,,3,,30,391,6,143,1,Feb 29
Latvia,347,,,,1,346,3,184,,Mar 01
Bulgaria,346,,8,,14,324,8,50,1,Mar 06
Andorra,334,,6,,1,327,10,4323,78,Mar 01
Bosnia and Herzegovina,323,,6,,8,309,1,98,2,Mar 04
Costa Rica,314,,2,,3,309,6,62,0.4,Mar 04
Slovakia,314,,,,2,312,1,58,,Mar 05
Tunisia,312,,8,,2,302,10,26,0.7,Mar 01
Uruguay,304,,1,,,303,9,88,0.3,Mar 12
Taiwan,298,,3,,39,256,,13,0.1,Jan 20
Kazakhstan,284,,1,,20,263,,15,0.05,Mar 12
Moldova,263,,2,,2,259,33,65,0.5,Mar 06
North Macedonia,259,,6,,3,250,1,124,3,Feb 25
Jordan,259,,3,,18,238,3,25,0.3,Mar 01
Kuwait,255,,,,67,188,12,60,,Feb 23
San Marino,224,,22,,6,196,16,6602,648,Feb 26
Burkina Faso,222,,12,,23,187,,11,0.6,Mar 08
Cyprus,214,,6,,15,193,3,177,5,Mar 08
Albania,212,,10,,33,169,3,74,3,Mar 07
Azerbaijan,209,,4,,15,190,23,21,0.4,Feb 27
Vietnam,194,,,,52,142,3,2,,Jan 22
Runion,183,,,,1,182,,204,,Mar 10
Oman,167,,,,23,144,3,33,,Feb 23
Ivory Coast,165,,1,,4,160,,6,0.04,Mar 10
Faeroe Islands,159,,,,70,89,1,3254,,Mar 03
Ghana,152,,5,,2,145,1,5,0.2,Mar 11
Malta,151,,,,2,149,4,342,,Mar 06
Uzbekistan,144,,2,,7,135,8,4,0.06,Mar 14
Senegal,142,,,,27,115,,8,,Mar 01
Cameroon,139,,6,,5,128,,5,0.2,Mar 05
Cuba,139,,3,,4,132,2,12,0.3,Mar 10
Honduras,139,29,3,,3,133,4,14,0.3,Mar 10
Brunei,126,,1,,34,91,1,288,2,Mar 08
Afghanistan,120,,4,,2,114,,3,0.1,Feb 23
Sri Lanka,120,3,1,,11,108,5,6,0.05,Jan 26
Venezuela,119,,3,,39,77,6,4,0.1,Mar 12
Nigeria,111,,1,,3,107,,0.5,0.00,Feb 27
Mauritius,110,3,3,,,107,1,86,2,Mar 17
Palestine,109,,1,,18,90,,21,0.2,Mar 04
Channel Islands,108,,2,,,106,,621,12,Mar 08
Guadeloupe,106,,4,,17,85,10,265,10,Mar 12
Cambodia,103,,,,21,82,1,6,,Jan 26
Bolivia,96,15,1,,,95,3,8,0.09,Mar 09
Belarus,94,,,,32,62,2,10,,Feb 27
Martinique,93,,1,,,92,12,248,3,Mar 04
Georgia,91,,,,18,73,1,23,,Feb 25
Montenegro,85,,1,,,84,1,135,2,Mar 16
Kyrgyzstan,84,,,,,84,,13,,Mar 17
DRC,81,,8,,2,71,,0.9,0.09,Mar 09
Trinidad and Tobago,78,,3,,1,74,,56,2,Mar 11
Rwanda,70,,,,,70,,5,,Mar 13
Gibraltar,65,,,,14,51,,1929,,Mar 02
Paraguay,64,5,3,,1,60,3,9,0.4,Mar 06
Mayotte,63,,,,,63,,231,,Mar 13
Liechtenstein,56,,,,,56,,1469,,Mar 02
Aruba,50,,,,1,49,,468,,Mar 12
Bangladesh,48,,5,,15,28,1,0.3,0.03,Mar 07
Monaco,46,,1,,1,44,,1172,25,Feb 27
French Guiana,43,,,,6,37,,144,,Mar 06
Kenya,42,,1,,1,40,2,0.8,0.02,Mar 12
Isle of Man,42,,,,,42,,494,,Mar 18
Madagascar,39,,,,,39,,1,,Mar 19
Macao,37,,,,10,27,,57,,Jan 21
Guatemala,34,,1,,10,23,1,2,0.06,Mar 12
Barbados,33,,,,,33,,115,,Mar 16
Uganda,33,,,,,33,,0.7,,Mar 20
Jamaica,32,,1,,2,29,,11,0.3,Mar 09
Togo,30,5,1,,1,28,,4,0.1,Mar 05
El Salvador,30,6,,,,30,,5,,Mar 18
French Polynesia,30,,,,,30,,107,,Mar 10
Zambia,29,,,,,29,,2,,Mar 17
Bermuda,22,,,,2,20,,353,,Mar 17
Ethiopia,21,,,,1,20,,0.2,,Mar 12
Congo,19,,,,,19,,3,,Mar 14
Mali,18,,1,,,17,,0.9,0.05,Mar 24
Niger,18,,1,,,17,,0.7,0.04,Mar 18
Djibouti,18,,,,,18,,18,,Mar 17
Maldives,17,,,,13,4,,31,,Mar 06
Guinea,16,,,,,16,,1,,Mar 12
Haiti,15,,,,1,14,,1,,Mar 19
New Caledonia,15,,,,,15,,53,,Mar 17
Bahamas,14,,,,1,13,,36,,Mar 14
Tanzania,14,,,,1,13,,0.2,,Mar 15
Cayman Islands,12,,1,,,11,,183,15,Mar 12
Equatorial Guinea,12,,,,,12,,9,,Mar 13
Eritrea,12,,,,,12,,3,,Mar 20
Mongolia,12,,,,2,10,,4,,Mar 09
Dominica,11,,,,,11,,153,,Mar 21
Namibia,11,,,,2,9,,4,,Mar 13
Saint Martin,11,,,,,11,,284,,Feb 29
Greenland,10,,,,2,8,,176,,Mar 15
Myanmar,10,,,,,10,,0.2,,Mar 22
Syria,9,,1,,,8,,0.5,0.06,Mar 21
Grenada,9,,,,,9,,80,,Mar 21
Saint Lucia,9,,,,1,8,,49,,Mar 12
Eswatini,9,,,,,9,,8,,Mar 13
Curaao,8,,1,,2,5,,49,6,Mar 12
Guyana,8,,1,,,7,,10,1,Mar 11
Laos,8,,,,,8,,1,,Mar 23
Libya,8,,,,,8,,1,,Mar 23
Mozambique,8,,,,,8,,0.3,,Mar 21
Seychelles,8,,,,,8,,81,,Mar 13
Suriname,8,,,,,8,,14,,Mar 12
Angola,7,,2,,,5,,0.2,0.06,Mar 19
Gabon,7,,1,,,6,,3,0.4,Mar 12
Zimbabwe,7,,1,,,6,,0.5,0.07,Mar 19
Antigua and Barbuda,7,,,,,7,,71,,Mar 12
Cabo Verde,6,,1,,,5,,11,2,Mar 19
Sudan,6,,1,,,5,,0.1,0.02,Mar 12
Benin,6,,,,,6,,0.5,,Mar 15
Vatican City,6,,,,,6,,7491,,Mar 05
Sint Maarten,6,,,,,6,,140,,Mar 17
Nepal,5,,,,1,4,,0.2,,Jan 23
Fiji,5,,,,,5,,6,,Mar 18
Mauritania,5,,,,2,3,,1,,Mar 12
Montserrat,5,,,,,5,,1002,,Mar 17
St. Barth,5,,,,,5,,506,,Feb 29
Gambia,4,,1,,,3,,2,0.4,Mar 16
Nicaragua,4,,1,,,3,,0.6,0.2,Mar 18
Bhutan,4,,,,,4,,5,,Mar 05
Turks and Caicos,4,,,,,4,,103,,Mar 22
CAR,3,,,,,3,,0.6,,Mar 14
Chad,3,,,,,3,,0.2,,Mar 18
Liberia,3,,,,,3,,0.6,,Mar 15
Somalia,3,,,,,3,,0.2,,Mar 15
MS Zaandam,2,,,,,2,,,,Mar 26
Anguilla,2,,,,,2,,133,,Mar 25
Belize,2,,,,,2,,5,,Mar 22
British Virgin Islands,2,,,,,2,,66,,Mar 24
Guinea-Bissau,2,,,,,2,,1,,Mar 24
Saint Kitts and Nevis,2,,,,,2,,38,,Mar 24
Papua New Guinea,1,,,,,1,,0.1,,Mar 19
St. Vincent Grenadines,1,,,,1,0,,9,,Mar 10
Timor-Leste,1,,,,,1,,0.8,,Mar 20
China,81470,31,3304,4,75700,2466,633,57,2,Jan 10
