Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop
China,80894,13,3237,11,69614,8043,2622,56
Italy,35713,4207,2978,475,4025,28710,2257,591
Iran,17361,1192,1135,147,5710,10516,,207
Spain,13910,2084,623,90,1081,12206,563,298
Germany,11973,2606,28,2,86,11859,2,143
S. Korea,8413,93,84,3,1540,6789,59,164
France,7730,,175,,602,6953,699,118
USA,7687,1276,117,8,106,7464,12,23
Switzerland,3076,334,33,6,15,3028,,355
UK,2626,676,104,33,65,2457,20,39
Netherlands,2051,346,58,15,2,1991,45,120
Austria,1646,314,4,,9,1633,12,183
Norway,1557,86,6,3,1,1550,27,287
Belgium,1486,243,14,4,31,1441,33,128
Sweden,1292,96,10,2,1,1281,12,128
Denmark,1057,80,4,,1,1052,24,182
Japan,899,21,29,,144,726,41,7
Malaysia,790,117,2,,60,728,15,24
Diamond Princess,712,,7,,456,249,14,
Portugal,642,194,2,1,4,636,18,63
Canada,598,,8,,12,578,1,16
Australia,565,110,6,1,43,516,1,22
Czechia,464,30,,,3,461,5,43
Qatar,442,,,,4,438,,153
Israel,433,96,,,11,422,6,50
Greece,418,31,5,,14,399,13,40
Brazil,367,21,1,,2,364,18,2
Finland,359,37,,,10,349,2,65
Singapore,313,47,,,114,199,14,54
Ireland,292,,2,,5,285,6,59
Poland,287,49,5,,1,281,3,8
Slovenia,286,11,1,,,285,4,138
Pakistan,272,25,1,1,2,269,,1
Romania,260,43,,,19,241,5,14
Estonia,258,33,,,1,257,1,194
Bahrain,255,14,1,,95,159,3,150
Iceland,250,3,,,5,245,1,733
Saudi Arabia,238,67,,,6,232,,7
Chile,238,37,,,,238,3,12
Indonesia,227,55,19,12,11,197,,0.8
Thailand,212,35,1,,41,170,1,3
Luxembourg,203,63,2,1,,201,1,324
Philippines,202,15,17,3,4,181,1,2
Egypt,196,,6,,26,164,,2
Hong Kong,181,13,4,,92,85,4,24
Iraq,164,10,12,1,41,111,,4
India,155,12,3,,14,138,,0.1
Ecuador,155,44,2,,,153,2,9
Russia,147,33,,,8,139,,1
Peru,145,28,,,1,144,8,4
Kuwait,142,12,,,15,127,4,33
Lebanon,133,9,4,,4,125,3,19
San Marino,119,,11,,4,104,11,3507
South Africa,116,31,,,,116,,2
UAE,113,,,,26,87,2,11
Slovakia,105,8,,,,105,2,19
Armenia,102,24,,,1,101,2,34
Taiwan,100,23,1,,20,79,,4
Turkey,98,,1,,,97,,1
Mexico,93,11,,,4,89,1,0.7
Colombia,93,28,,,1,92,,2
Bulgaria,92,11,2,,,90,,13
Serbia,89,17,,,1,88,4,10
Croatia,87,18,,,5,82,,21
Panama,86,17,1,,,85,7,20
Argentina,79,,2,,3,74,1,2
Vietnam,75,9,,,16,59,,0.8
Algeria,72,11,6,1,10,56,,2
Latvia,71,11,,,1,70,,38
Brunei,68,12,,,,68,2,155
Albania,59,4,2,1,,57,2,21
Hungary,58,8,1,,2,55,4,6
Faeroe Islands,58,11,,,1,57,,1187
Jordan,52,4,,,1,51,,5
Belarus,51,15,,,5,46,,5
Sri Lanka,51,7,,,3,48,,2
Costa Rica,50,,,,,50,3,10
Uruguay,50,,,,,50,,14
Morocco,49,5,2,,1,46,1,1
Cyprus,49,,,,,49,1,41
Malta,48,10,,,2,46,,109
Palestine,44,,,,,44,,9
Andorra,39,,,,1,38,,505
Bosnia and Herzegovina,39,5,,,2,37,,12
Georgia,38,4,,,1,37,1,10
Kazakhstan,36,3,,,,36,,2
Venezuela,36,3,,,,36,,1
Cambodia,35,2,,,1,34,,2
North Macedonia,35,4,,,1,34,1,17
Azerbaijan,34,,1,,6,27,,3
Lithuania,33,7,,,1,32,1,12
Oman,33,,,,12,21,,6
Senegal,31,4,,,2,29,,2
Moldova,30,,1,1,1,28,2,7
Tunisia,29,2,,,1,28,2,2
