Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop
Croatia,168,38,1,,5,162,,41
Armenia,160,24,,,1,159,2,54
Argentina,158,,3,,3,152,,3
Colombia,158,13,,,1,157,,3
Taiwan,153,18,2,,28,123,,6
San Marino,151,,14,,4,133,12,4450
Serbia,149,14,1,,2,146,4,17
Bulgaria,142,15,3,,3,136,3,20
UAE,140,,2,,31,107,2,14
Slovakia,137,,,,7,130,2,25
Latvia,124,13,,,1,123,,66
Costa Rica,113,,2,,2,109,2,22
Uruguay,110,,,,,110,,32
Hungary,103,18,4,,7,92,6,11
Algeria,95,1,11,,32,52,,2
Vietnam,92,1,,,17,75,2,0.9
Faeroe Islands,92,12,,,3,89,,1883
Bosnia and Herzegovina,90,1,,,2,88,1,27
Morocco,86,,3,,2,81,1,2
Jordan,85,,,,1,84,,8
Brunei,83,5,,,1,82,2,190
North Macedonia,77,1,,,1,76,1,37
Albania,76,6,2,,2,72,2,26
Sri Lanka,76,3,,,3,73,2,4
Andorra,75,,,,1,74,2,971
Cyprus,75,,,,,75,1,62
Dominican Republic,72,,2,,,70,,7
Lithuania,69,,1,,1,67,1,25
Belarus,69,,,,15,54,,7
Moldova,66,,1,,1,64,3,16
Venezuela,65,,,,1,64,,2
Burkina Faso,64,24,3,2,5,56,,3
Malta,64,,,,2,62,1,145
Tunisia,60,6,1,,1,58,7,5
Kazakhstan,53,1,,,,53,,3
New Zealand,52,,,,,52,,11
Oman,52,4,,,13,39,,10
Palestine,52,4,,,17,35,,10
Guadeloupe,51,,1,,,50,4,127
Cambodia,51,,,,1,50,,3
Georgia,47,3,,,1,46,1,12
Senegal,47,,,,5,42,,3
Runion,45,7,,,,45,,50
Azerbaijan,44,,1,,7,36,,4
Ukraine,41,,3,,1,37,,0.9
Liechtenstein,37,9,,,,37,,970
Uzbekistan,37,4,,,,37,,1
Martinique,32,,1,,,31,7,85
Cameroon,27,,,,2,25,,1
Bangladesh,24,4,2,1,3,19,,0.1
Afghanistan,24,,,,1,23,,0.6
Honduras,24,,,,,24,,2
DRC,23,5,1,1,,22,,0.3
Cuba,21,,1,,,20,,2
Jamaica,19,,1,,2,16,,6
Bolivia,19,3,,,,19,,2
Ghana,19,3,,,,19,,0.6
Paraguay,18,,1,1,,17,1,3
Macao,17,,,,10,7,,26
Rwanda,17,,,,,17,,1
Guyana,15,,1,,,14,,19
French Guiana,15,,,,,15,,50
French Polynesia,15,4,,,,15,,53
Mauritius,14,2,1,1,,13,,11
Channel Islands,14,2,,,,14,,81
Ivory Coast,14,5,,,1,13,,0.5
Guam,14,,,,,14,,83
Montenegro,14,,,,,14,,22
Puerto Rico,14,,,,,14,,5
Maldives,13,,,,2,11,,24
Guatemala,12,,1,,,11,,0.7
Nigeria,12,,,,1,11,,0.06
Kyrgyzstan,12,6,,,,12,,2
Monaco,11,,,,,11,,280
Gibraltar,10,,,,2,8,,297
Mongolia,10,4,,,,10,,3
Ethiopia,9,,,,,9,,0.08
Togo,9,,,,,9,,1
Trinidad and Tobago,9,,,,,9,,6
Kenya,7,,,,,7,,0.1
Mayotte,7,,,,,7,,26
Seychelles,7,,,,,7,,71
Barbados,6,,,,,6,,21
Equatorial Guinea,6,,,,,6,,4
Tanzania,6,,,,,6,,0.1
U.S. Virgin Islands,6,3,,,,6,,57
Aruba,5,,,,1,4,,47
Gabon,4,,1,,,3,,2
Bahamas,4,,,,,4,,10
New Caledonia,4,2,,,,4,,14
Saint Martin,4,,,,,4,,103
Suriname,4,,,,,4,,7
Cayman Islands,3,,1,,,2,,46
Curaao,3,,1,,,2,,18
CAR,3,,,,,3,,0.6
Congo,3,,,,,3,,0.5
El Salvador,3,2,,,,3,,0.5
Liberia,3,1,,,,3,,0.6
Madagascar,3,,,,,3,,0.1
Namibia,3,,,,,3,,1
St. Barth,3,,,,,3,,304
Zimbabwe,3,2,,,,3,,0.2
Sudan,2,,1,,,1,,0.05
Angola,2,1,,,,2,,0.06
Benin,2,,,,,2,,0.2
Bermuda,2,,,,,2,,32
Bhutan,2,,,,,2,,3
Fiji,2,1,,,,2,,2
Greenland,2,,,,,2,,35
Guinea,2,,,,,2,,0.2
Haiti,2,,,,,2,,0.2
Isle of Man,2,,,,,2,,24
Mauritania,2,,,,,2,,0.4
Nicaragua,2,,,,,2,,0.3
Saint Lucia,2,,,,,2,,11
Zambia,2,,,,,2,,0.1
Nepal,1,,,,1,0,,0.03
Antigua and Barbuda,1,,,,,1,,10
Cabo Verde,1,,,,,1,,2
Chad,1,,,,,1,,0.06
Djibouti,1,,,,,1,,1
Gambia,1,,,,,1,,0.4
Vatican City,1,,,,,1,,1248
Montserrat,1,,,,,1,,200
Niger,1,,,,,1,,0.04
Papua New Guinea,1,,,,,1,,0.1
St. Vincent Grenadines,1,,,,,1,,9
Sint Maarten,1,,,,,1,,23
Somalia,1,,,,,1,,0.06
Eswatini,1,,,,,1,,0.9
Timor-Leste,1,1,,,,1,,0.8
