Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop
China,81054,46,3261,6,72440,5353,1845,56
Italy,59138,5560,5476,651,7024,46638,3000,978
USA,35746,11539,392,90,178,35176,708,108
Spain,28603,3107,1756,375,2125,24722,1785,612
Germany,24714,2350,92,8,266,24356,2,295
Iran,21638,1028,1685,129,7635,12318,,258
France,14459,,562,,1587,12310,1525,222
S. Korea,8897,98,104,2,2909,5884,59,174
Switzerland,7230,367,85,5,131,7014,141,835
UK,5683,665,281,48,93,5309,20,84
Netherlands,4204,573,179,43,2,4023,354,245
Belgium,3401,586,75,8,263,3063,288,293
Austria,3302,310,16,8,9,3277,15,367
Norway,2263,99,7,,6,2250,28,417
Sweden,1931,161,21,1,16,1894,68,191
Portugal,1600,320,14,2,5,1581,26,157
Denmark,1395,69,13,,1,1381,42,241
Canada,1385,57,20,1,14,1351,1,37
Australia,1353,281,7,,46,1300,2,53
Malaysia,1306,123,10,2,139,1157,26,40
Brazil,1209,31,18,,2,1189,18,6
Japan,1086,32,36,,235,815,57,9
Czechia,1047,52,,,6,1041,19,98
Turkey,947,,21,,,926,,11
Israel,945,62,1,,37,907,20,109
Luxembourg,798,128,8,,6,784,3,1275
Ecuador,789,257,14,7,3,772,2,45
Ireland,785,,3,,5,777,13,159
Diamond Princess,712,,8,,567,137,15,
Pakistan,646,1,3,,13,630,,3
Chile,632,95,1,,8,623,7,33
Poland,627,91,7,2,13,607,3,17
Finland,626,103,1,,10,615,12,113
Greece,624,94,15,2,19,590,18,60
Thailand,599,188,1,,44,554,7,9
Iceland,568,95,1,,5,562,1,1665
Indonesia,514,64,48,10,29,437,,2
Saudi Arabia,511,119,,,17,494,,15
Qatar,481,,,,27,454,6,167
Singapore,455,23,2,,144,309,14,78
Romania,433,66,2,2,64,367,14,23
Slovenia,414,31,2,1,,412,12,199
India,391,59,7,2,24,360,,0.3
Philippines,380,73,25,6,15,340,1,3
Russia,367,61,1,,16,350,,3
Bahrain,332,22,2,1,149,181,4,195
Estonia,326,20,,,4,322,2,246
Peru,318,,5,,1,312,5,10
Hong Kong,317,43,4,,100,213,4,42
Egypt,294,,10,,42,242,,3
Croatia,254,48,1,,5,248,5,62
Mexico,251,48,2,,4,245,1,2
Lebanon,248,18,4,,8,236,4,36
Panama,245,,3,,1,241,7,57
South Africa,240,,,,2,238,,4
Iraq,233,19,20,3,57,156,,6
Colombia,231,35,2,2,3,226,,5
Argentina,225,67,4,,27,194,,5
Serbia,222,51,2,1,2,218,4,25
Dominican Republic,202,90,3,,,199,,19
Algeria,201,62,17,2,65,119,,5
Armenia,190,30,,,2,188,6,64
Kuwait,188,12,,,27,161,5,44
Bulgaria,185,22,3,,3,179,3,27
Slovakia,178,,,,7,171,2,33
San Marino,175,15,20,,4,151,13,5158
Taiwan,169,16,2,,28,139,,7
UAE,153,,2,,38,113,2,15
Latvia,139,15,,,1,138,,74
Uruguay,135,25,,,,135,2,39
Hungary,131,28,6,2,16,109,6,14
Lithuania,129,30,1,,1,127,1,47
Costa Rica,117,,2,,2,113,2,23
North Macedonia,115,30,1,1,1,113,1,55
Faeroe Islands,115,23,,,3,112,,2354
Andorra,113,25,1,1,1,111,2,1462
Vietnam,113,19,,,17,96,2,1
Morocco,109,13,3,,3,103,1,3
Jordan,100,,,,1,99,,10
Cyprus,95,11,1,,3,91,3,79
Bosnia and Herzegovina,94,1,1,,2,91,1,29
Moldova,94,14,1,,1,92,3,23
Malta,90,17,,,2,88,1,204
Albania,89,13,2,,2,85,2,31
Brunei,88,5,,,2,86,2,201
Cambodia,84,31,,,2,82,,5
Sri Lanka,82,5,,,3,79,2,4
Belarus,76,,,,15,61,,8
Burkina Faso,75,11,4,1,5,66,,4
Tunisia,75,15,3,2,1,71,7,6
Venezuela,70,,,,15,55,2,2
New Zealand,66,14,,,,66,,14
Azerbaijan,65,12,1,,11,53,,6
Kazakhstan,59,5,,,,59,,3
Palestine,59,6,,,17,42,,12
Guadeloupe,56,,1,,,55,4,140
Senegal,56,,,,5,51,,3
Oman,55,3,,,17,38,,11
Georgia,54,5,,,1,53,1,14
Trinidad and Tobago,50,1,,,,50,,36
Ukraine,47,,3,,1,43,,1
Runion,47,,,,1,46,,52
Uzbekistan,43,2,,,,43,,1
Cameroon,40,,,,2,38,,2
