Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop
China,80894,13,3237,11,69614,8043,2622,56
Italy,31506,,2503,,2941,26062,2060,521
Iran,16169,,988,,5389,9792,,193
Spain,13716,1890,533,,1028,12155,563,293
Germany,9877,510,26,,71,9780,2,118
S. Korea,8413,93,84,3,1540,6789,59,164
France,7730,,175,,602,6953,699,118
USA,6524,113,116,7,106,6302,12,20
Switzerland,2742,,27,,15,2700,,317
UK,1950,,71,,65,1814,20,29
Netherlands,1705,,43,,2,1660,45,100
Norway,1492,21,4,1,1,1487,27,275
Belgium,1486,243,10,,14,1462,33,128
Austria,1471,139,4,,9,1458,12,163
Sweden,1196,,8,,1,1187,12,118
Denmark,1044,67,4,,1,1039,18,180
Japan,889,11,29,,144,716,41,7
Malaysia,790,117,2,,60,728,15,24
Diamond Princess,712,,7,,456,249,14,
Canada,598,,8,,12,578,1,16
Australia,565,110,6,1,43,516,1,22
Czechia,464,30,,,3,461,3,43
Portugal,448,,2,1,3,443,18,44
Qatar,442,,,,4,438,,153
Israel,427,90,,,11,416,5,49
Greece,387,,5,,14,368,11,37
Brazil,349,3,2,1,2,345,18,2
Finland,333,11,,,10,323,2,60
Ireland,292,,2,,5,285,6,59
Slovenia,275,,1,,,274,4,132
Singapore,266,,,,114,152,14,45
Estonia,258,33,,,1,257,1,194
Bahrain,255,14,1,,88,166,3,150
Pakistan,254,7,1,1,2,251,,1
Iceland,247,,,,5,242,1,724
Poland,246,8,5,,1,240,3,6
Romania,246,29,,,19,227,5,13
Indonesia,227,55,19,12,11,197,,0.8
Thailand,212,35,1,,41,170,1,3
Luxembourg,203,63,2,1,,201,1,324
Philippines,202,15,17,3,4,181,1,2
Chile,201,,,,,201,3,11
Egypt,196,,6,,26,164,,2
Hong Kong,181,13,4,,92,85,4,24
Saudi Arabia,171,,,,6,165,,5
Iraq,154,,11,,41,102,,4
India,152,9,3,,14,135,,0.1
Kuwait,142,12,,,12,130,4,33
Lebanon,133,9,4,,4,125,3,19
San Marino,119,,11,,4,104,11,3507
Peru,117,,,,1,116,8,4
South Africa,116,31,,,,116,,2
Russia,114,,,,8,106,,0.8
UAE,113,,,,26,87,2,11
Ecuador,111,,2,,,109,2,6
Slovakia,105,8,,,,105,2,19
Taiwan,100,23,1,,20,79,,4
Turkey,98,,1,,,97,,1
Mexico,93,11,,,4,89,1,0.7
Panama,86,17,1,,,85,7,20
Armenia,84,6,,,1,83,2,28
Serbia,83,11,,,1,82,4,9
Bulgaria,81,,2,,,79,,12
Croatia,81,12,,,5,76,,20
Argentina,79,,2,,3,74,1,2
Colombia,75,10,,,1,74,,1
Latvia,71,11,,,1,70,,38
Vietnam,68,2,,,16,52,,0.7
Brunei,68,12,,,,68,2,155
Algeria,67,6,5,,10,52,,2
Albania,59,4,2,1,,57,2,21
Hungary,58,8,1,,2,55,,6
Faeroe Islands,58,11,,,1,57,,1187
Belarus,51,15,,,5,46,,5
Costa Rica,50,,,,,50,3,10
Uruguay,50,,,,,50,,14
Morocco,49,5,2,,1,46,1,1
Sri Lanka,49,5,,,3,46,,2
Cyprus,49,,,,,49,1,41
Jordan,48,,,,1,47,,5
Palestine,44,,,,,44,,9
Andorra,39,,,,1,38,,505
Georgia,38,4,,,1,37,1,10
Bosnia and Herzegovina,38,4,,,2,36,,12
Malta,38,,,,2,36,,86
Venezuela,36,3,,,,36,,1
Cambodia,35,2,,,1,34,,2
Kazakhstan,35,2,,,,35,,2
Azerbaijan,34,,1,,6,27,,3
Oman,33,,,,12,21,,6
North Macedonia,31,,,,1,30,1,15
Senegal,31,4,,,2,29,,2
Moldova,30,,1,1,1,28,1,7
Tunisia,29,2,,,1,28,2,2
Lithuania,27,1,,,1,26,1,10
Guadeloupe,27,9,,,,27,,67
Afghanistan,22,,,,1,21,,0.6
Dominican Republic,21,,1,,,20,,2
New Zealand,20,,,,,20,,4
Burkina Faso,20,5,,,,20,,1.0
Martinique,19,4,1,,,18,,51
Liechtenstein,19,,,,,19,,498
Macao,15,2,,,10,5,,23
Uzbekistan,15,4,,,,15,,0.4
Ukraine,14,,2,,,12,,0.3
Bangladesh,14,4,1,1,3,10,,0.09
Jamaica,13,,,,2,11,,4
Maldives,13,,,,,13,,24
Bolivia,12,,,,,12,,1
Runion,12,3,,,,12,,13
Guyana,11,4,1,,,10,,14
French Guiana,11,,,,,11,,37
Paraguay,11,2,,,,11,1,2
Cameroon,10,,,,,10,,0.4
Monaco,9,,,,,9,,229
Honduras,9,1,,,,9,,0.9
Guatemala,8,,1,,,7,,0.4
Guam,8,3,,,,8,,47
Rwanda,8,1,,,,8,,0.6
Cuba,7,,,,,7,,0.6
DRC,7,4,,,,7,,0.08
Ghana,7,,,,,7,,0.2
