Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,1stcase
USA,113677,9551,1903,207,3219,108555,2666,343,6,Jan 20
Italy,92472,5974,10023,889,12384,70065,3856,1529,166,Jan 29
Spain,72248,6529,5812,674,12285,54151,4165,1545,124,Jan 30
Germany,56202,5331,403,52,6658,49141,1581,671,5,Jan 26
Iran,35408,3076,2517,139,11679,21212,3206,422,30,Feb 18
France,32964,,1995,,5700,25269,3787,505,31,Jan 23
UK,17089,2546,1019,260,135,15935,163,252,15,Jan 30
Switzerland,13377,449,242,11,1530,11605,280,1546,28,Feb 24
Netherlands,9762,1159,639,93,3,9120,761,570,37,Feb 26
S. Korea,9478,146,144,5,4811,4523,59,185,3,Jan 19
Belgium,9134,1850,353,64,1063,7718,789,788,30,Feb 03
Austria,8122,425,68,10,225,7829,128,902,8,Feb 24
Turkey,7402,1704,108,16,42,7252,309,88,1,Mar 09
Portugal,5170,902,100,24,43,5027,89,507,10,Mar 01
Canada,4933,176,55,,354,4524,120,131,1,Jan 24
Norway,3973,202,20,1,7,3946,76,733,4,Feb 25
Australia,3635,257,14,1,170,3451,23,143,0.5,Jan 24
Brazil,3477,60,93,1,6,3378,296,16,0.4,Feb 24
Israel,3460,425,12,,89,3359,50,400,1,Feb 20
Sweden,3447,378,105,,16,3326,239,341,10,Jan 30
Czechia,2541,262,9,,11,2521,34,237,0.8,Feb 29
Malaysia,2320,159,27,1,320,1973,54,72,0.8,Jan 24
Denmark,2201,155,65,13,1,2135,109,380,11,Feb 26
Ireland,2121,,22,,5,2094,59,430,4,Feb 28
Chile,1909,299,6,1,61,1842,7,100,0.3,Mar 02
Luxembourg,1831,226,18,3,40,1773,25,2925,29,Feb 28
Ecuador,1823,196,48,7,3,1772,58,103,3,Feb 28
Japan,1499,,49,,404,1046,56,12,0.4,Jan 14
Poland,1481,92,17,1,7,1457,3,39,0.4,Mar 03
Romania,1452,160,30,4,139,1283,34,75,2,Feb 25
Pakistan,1420,47,12,1,29,1379,7,6,0.05,Feb 25
Russia,1264,228,4,,49,1211,8,9,0.03,Jan 30
Thailand,1245,109,6,1,97,1142,11,18,0.09,Jan 12
Saudi Arabia,1203,99,4,1,37,1162,6,35,0.1,Mar 01
South Africa,1170,,1,,31,1138,7,20,0.02,Mar 04
Finland,1167,126,9,2,10,1148,32,211,2,Jan 28
Indonesia,1155,109,102,15,59,994,,4,0.4,Mar 01
Philippines,1075,272,68,14,35,972,1,10,0.6,Jan 29
Greece,1061,95,32,4,52,977,66,102,3,Feb 25
Iceland,963,73,2,,114,847,18,2822,6,Feb 27
India,933,46,20,,84,829,,0.7,0.01,Jan 29
Singapore,802,70,2,,198,602,19,137,0.3,Jan 22
Panama,786,,14,,2,770,20,182,3,Mar 09
Dominican Republic,719,138,28,8,3,688,,66,3,Feb 29
Mexico,717,132,12,4,4,701,1,6,0.09,Feb 27
Diamond Princess,712,,10,,597,105,15,,,Feb 04
Argentina,690,101,17,4,72,601,,15,0.4,Mar 02
Slovenia,684,52,9,,10,665,25,329,4,Mar 03
Serbia,659,131,10,2,42,607,25,75,1,Mar 05
Croatia,657,71,5,2,45,607,14,160,1,Feb 24
Estonia,645,70,1,,20,624,10,486,0.8,Feb 26
Peru,635,,11,,16,608,21,19,0.3,Mar 05
Qatar,590,28,1,1,45,544,6,205,0.3,Feb 28
Hong Kong,560,41,4,,112,444,5,75,0.5,Jan 22
Colombia,539,,6,,10,523,,11,0.1,Mar 05
Egypt,536,,30,,116,390,,5,0.3,Feb 13
Iraq,506,48,42,2,131,333,,13,1,Feb 21
Bahrain,476,10,4,,265,207,1,280,2,Feb 23
UAE,468,63,2,,52,414,2,47,0.2,Jan 28
Algeria,454,45,29,3,29,396,,10,0.7,Feb 24
New Zealand,451,83,,,50,401,2,94,,Feb 27
Lebanon,412,21,8,,27,377,3,60,1,Feb 20
Lithuania,382,24,5,,1,376,2,140,2,Feb 27
Armenia,372,43,1,,28,343,6,126,0.3,Feb 29
Morocco,358,13,23,,11,324,1,10,0.6,Mar 01
Hungary,343,43,11,1,34,298,6,36,1,Mar 03
Bulgaria,331,38,6,3,11,314,8,48,0.9,Mar 06
Ukraine,311,1,8,3,5,298,,7,0.2,Mar 02
Andorra,308,41,3,,1,304,10,3986,39,Mar 01
Latvia,305,25,,,1,304,3,162,,Mar 01
Slovakia,292,23,,,2,290,1,53,,Mar 05
Taiwan,283,16,2,,30,251,,12,0.08,Jan 20
Uruguay,274,36,,,,274,8,79,,Mar 12
Costa Rica,263,,2,,3,258,5,52,0.4,Mar 04
Bosnia and Herzegovina,258,21,5,1,5,248,1,79,2,Mar 04
Jordan,246,11,1,,18,227,3,24,0.10,Mar 01
North Macedonia,241,22,4,1,3,234,1,116,2,Feb 25
Kuwait,235,10,,,64,171,11,55,,Feb 23
Moldova,231,32,2,,2,227,33,57,0.5,Mar 06
Kazakhstan,228,78,1,,16,211,,12,0.05,Mar 12
Tunisia,227,,7,,2,218,10,19,0.6,Mar 01
San Marino,223,,21,,6,196,15,6572,619,Feb 26
Burkina Faso,207,27,11,2,21,175,,10,0.5,Mar 08
Albania,197,11,10,2,31,156,3,68,3,Mar 07
Azerbaijan,182,17,4,1,15,163,23,18,0.4,Feb 27
Cyprus,179,17,5,,15,159,3,148,4,Mar 08
Vietnam,174,11,,,21,153,3,2,,Jan 22
Faeroe Islands,155,11,,,54,101,2,3172,,Mar 03
Oman,152,21,,,23,129,,30,,Feb 23
Malta,149,10,,,2,147,1,337,,Mar 06
Runion,145,,,,1,144,,162,,Mar 10
Ghana,141,4,5,1,2,134,1,5,0.2,Mar 11
Senegal,130,11,,,18,112,,8,,Mar 01
Brunei,120,5,1,1,25,94,1,274,2,Mar 08
Cuba,119,39,3,1,4,112,2,11,0.3,Mar 10
Venezuela,113,,2,,39,72,2,4,0.07,Mar 12
Sri Lanka,113,7,1,1,9,103,5,5,0.05,Jan 26
Afghanistan,110,,4,,2,104,,3,0.1,Feb 23
Uzbekistan,104,16,2,1,5,97,8,3,0.06,Mar 14
Mauritius,102,8,2,,,100,1,80,2,Mar 17
Ivory Coast,101,,,,3,98,,4,,Mar 10
Cambodia,99,,,,13,86,1,6,,Jan 26
Palestine,97,6,1,,18,78,,19,0.2,Mar 04
Guadeloupe,96,23,2,1,17,77,4,240,5,Mar 12
Honduras,95,27,1,,3,91,4,10,0.1,Mar 10
Belarus,94,,,,32,62,2,10,,Feb 27
Martinique,93,,1,,,92,12,248,3,Mar 04
Cameroon,91,,2,,2,87,,3,0.08,Mar 05
Georgia,90,7,,,14,76,1,23,,Feb 25
Nigeria,89,19,1,,3,85,,0.4,0.00,Feb 27
Channel Islands,88,,1,,,87,,506,6,Mar 08
Montenegro,82,,1,,,81,1,131,2,Mar 16
Trinidad and Tobago,74,8,2,,1,71,,53,1,Mar 11
Bolivia,74,13,,,,74,,6,,Mar 09
Mayotte,63,13,,,,63,,231,,Mar 13
DRC,58,7,6,3,2,50,,0.6,0.07,Mar 09
Kyrgyzstan,58,,,,,58,,9,,Mar 17
Paraguay,56,4,3,,1,52,1,8,0.4,Mar 06
Gibraltar,56,1,,,14,42,,1662,,Mar 02
Liechtenstein,56,,,,,56,,1469,,Mar 02
Rwanda,54,,,,,54,,4,,Mar 13
Bangladesh,48,,5,,15,28,1,0.3,0.03,Mar 07
Monaco,42,,,,1,41,,1070,,Feb 27
Aruba,40,7,,,1,39,,375,,Mar 12
Kenya,38,7,1,,1,36,2,0.7,0.02,Mar 12
Macao,34,,,,10,24,,52,,Jan 21
Guatemala,32,4,1,,4,27,1,2,0.06,Mar 12
Isle of Man,32,3,,,,32,,376,,Mar 18
Jamaica,30,4,1,,2,27,,10,0.3,Mar 09
French Polynesia,30,,,,,30,,107,,Mar 10
French Guiana,28,,,,6,22,,94,,Mar 06
Zambia,28,6,,,,28,,2,,Mar 17
Barbados,26,,,,,26,,90,,Mar 16
Madagascar,26,,,,,26,,0.9,,Mar 19
Togo,25,,1,,1,23,,3,0.1,Mar 05
Uganda,23,,,,,23,,0.5,,Mar 20
El Salvador,19,6,,,,19,,3,,Mar 18
Mali,18,7,,,,18,,0.9,,Mar 24
Bermuda,17,,,,2,15,,273,,Mar 17
Ethiopia,16,,,,1,15,,0.1,,Mar 12
Maldives,16,,,,9,7,,30,,Mar 06
New Caledonia,15,,,,,15,,53,,Mar 17
Tanzania,13,,,,1,12,,0.2,,Mar 15
Djibouti,12,,,,,12,,12,,Mar 17
Equatorial Guinea,12,,,,,12,,9,,Mar 13
Mongolia,12,1,,,,12,,4,,Mar 09
Dominica,11,,,,,11,,153,,Mar 21
Saint Martin,11,,,,,11,,284,,Feb 29
Niger,10,,1,,,9,,0.4,0.04,Mar 18
Bahamas,10,,,,1,9,,25,,Mar 14
Greenland,10,,,,2,8,,176,,Mar 15
Eswatini,9,,,,,9,,8,,Mar 13
Cayman Islands,8,,1,,,7,,122,15,Mar 12
Curaao,8,,1,,2,5,,49,6,Mar 12
Guinea,8,,,,,8,,0.6,,Mar 12
Haiti,8,,,,,8,,0.7,,Mar 19
Mozambique,8,1,,,,8,,0.3,,Mar 21
Myanmar,8,,,,,8,,0.1,,Mar 22
Namibia,8,,,,2,6,,3,,Mar 13
Suriname,8,,,,,8,,14,,Mar 12
Gabon,7,,1,,,6,,3,0.4,Mar 12
Zimbabwe,7,2,1,,,6,,0.5,0.07,Mar 19
Antigua and Barbuda,7,,,,,7,,71,,Mar 12
Grenada,7,,,,,7,,62,,Mar 21
Seychelles,7,,,,,7,,71,,Mar 13
Benin,6,,,,,6,,0.5,,Mar 15
Eritrea,6,,,,,6,,2,,Mar 20
Vatican City,6,2,,,,6,,7491,,Mar 05
Laos,6,,,,,6,,0.8,,Mar 23
Cabo Verde,5,,1,,,4,,9,2,Mar 19
Guyana,5,,1,,,4,,6,1,Mar 11
Sudan,5,2,1,,,4,,0.1,0.02,Mar 12
Nepal,5,1,,,1,4,,0.2,,Jan 23
