Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,Reported1st case
USA,164266,422,3170,14,5507,155589,3512,496,10,Jan 20
Italy,101739,,11591,,14620,75528,3981,1683,192,Jan 29
Spain,87956,,7716,,16780,63460,5231,1881,165,Jan 30
Germany,66885,,645,,13500,52740,1979,798,8,Jan 26
France,44550,,3024,,7927,33599,5056,683,46,Jan 23
Iran,41495,,2757,,13911,24827,3511,494,33,Feb 18
UK,22141,,1408,,135,20598,163,326,21,Jan 30
Switzerland,15922,,359,,1823,13740,301,1840,41,Feb 24
Belgium,11899,,513,,1527,9859,927,1027,44,Feb 03
Netherlands,11750,,864,,250,10636,1053,686,50,Feb 26
Turkey,10827,,168,,162,10497,568,128,2,Mar 09
S. Korea,9786,125,162,4,5408,4216,55,191,3,Jan 19
Austria,9618,,108,,636,8874,193,1068,12,Feb 24
Canada,7474,26,92,3,1114,6268,120,198,2,Jan 24
Portugal,6408,,140,,43,6225,164,628,14,Mar 01
Israel,4695,,18,2,161,4516,79,542,2,Feb 20
Brazil,4661,31,165,2,127,4369,296,22,0.8,Feb 24
Australia,4514,54,19,,244,4251,28,177,0.7,Jan 24
Norway,4462,17,32,,12,4418,97,823,6,Feb 25
Sweden,4028,,146,,16,3866,306,399,14,Jan 30
Czechia,3001,,23,,25,2953,52,280,2,Feb 29
Ireland,2910,,54,,5,2851,84,589,11,Feb 28
Malaysia,2626,,37,,479,2110,94,81,1,Jan 24
Denmark,2577,,77,,1,2499,137,445,13,Feb 26
Chile,2449,,8,,156,2285,14,128,0.4,Mar 02
Romania,2109,,65,,209,1835,33,110,3,Feb 25
Poland,2055,,31,,7,2017,3,54,0.8,Mar 03
Luxembourg,1988,,22,,40,1926,25,3176,35,Feb 28
Ecuador,1966,,62,,54,1850,58,111,4,Feb 28
Japan,1953,,56,,424,1473,56,15,0.4,Jan 14
Russia,1836,,9,,66,1761,8,13,0.06,Jan 30
Pakistan,1717,,21,,76,1620,11,8,0.10,Feb 25
Philippines,1546,,78,,42,1426,1,14,0.7,Jan 29
Thailand,1524,,9,,229,1286,11,22,0.1,Jan 12
Saudi Arabia,1453,,8,,115,1330,12,42,0.2,Mar 01
Indonesia,1414,,122,,75,1217,,5,0.4,Mar 01
Finland,1355,3,13,,10,1332,49,245,2,Jan 28
South Africa,1326,,3,,31,1292,7,22,0.05,Mar 04
India,1251,,32,,102,1117,,0.9,0.02,Jan 29
Greece,1212,,46,,52,1114,72,116,4,Feb 25
Mexico,1094,101,28,8,35,1031,1,8,0.2,Feb 27
Iceland,1086,,2,,157,927,25,3182,6,Feb 27
Panama,1075,,27,,9,1039,43,249,6,Mar 09
Argentina,966,146,24,1,228,714,,21,0.5,Mar 02
Peru,950,,24,,53,873,49,29,0.7,Mar 05
Dominican Republic,901,,42,,4,855,,83,4,Feb 29
Singapore,879,,3,,228,648,19,150,0.5,Jan 22
Colombia,798,,14,,15,769,29,16,0.3,Mar 05
Croatia,790,,6,,67,717,27,192,1,Feb 24
Serbia,785,,16,,42,727,62,90,2,Mar 05
Slovenia,756,,11,,10,735,28,364,5,Mar 03
Estonia,715,,3,,20,692,10,539,2,Feb 26
Diamond Princess,712,,10,,603,99,15,,,Feb 04
Qatar,693,,1,,51,641,6,241,0.3,Feb 28
Hong Kong,683,,4,,118,561,5,91,0.5,Jan 22
Egypt,656,,41,,150,465,,6,0.4,Feb 13
New Zealand,647,58,1,,74,572,2,134,0.2,Feb 27
Iraq,630,,46,,152,432,,16,1,Feb 21
UAE,611,,5,,61,545,2,62,0.5,Jan 28
Algeria,584,,35,,37,512,,13,0.8,Feb 24
Morocco,556,,33,,15,508,1,15,0.9,Mar 01
Ukraine,548,,13,,8,527,,13,0.3,Mar 02
Bahrain,515,,4,,295,216,2,303,2,Feb 23
Lithuania,491,,7,,7,477,5,180,3,Feb 27
Armenia,482,,3,,30,449,15,163,1,Feb 29
Hungary,447,,15,,34,398,6,46,2,Mar 03
Lebanon,446,,11,,35,400,3,65,2,Feb 20
Latvia,376,,,,1,375,3,199,,Mar 01
Andorra,370,,8,,10,352,10,4789,104,Mar 01
Bosnia and Herzegovina,368,,10,,17,341,1,112,3,Mar 04
Tunisia,362,,9,,3,350,10,31,0.8,Mar 01
Bulgaria,359,,8,,17,334,13,52,1,Mar 06
Slovakia,336,,,,7,329,1,62,,Mar 05
Costa Rica,330,,2,,4,324,7,65,0.4,Mar 04
Kazakhstan,325,23,1,,21,303,,17,0.05,Mar 12
Uruguay,320,,1,,25,294,9,92,0.3,Mar 12
Taiwan,306,,5,,39,262,,13,0.2,Jan 20
Moldova,298,,2,,15,281,44,74,0.5,Mar 06
North Macedonia,285,,7,,12,266,1,137,3,Feb 25
Azerbaijan,273,,4,,26,243,23,27,0.4,Feb 27
Jordan,268,,5,,26,237,3,26,0.5,Mar 01
Kuwait,266,,,,72,194,13,62,,Feb 23
Burkina Faso,246,,12,,31,203,,12,0.6,Mar 08
San Marino,230,,25,,13,192,16,6778,737,Feb 26
Cyprus,230,,7,,22,201,3,190,6,Mar 08
Runion,224,,,,1,223,,250,,Mar 10
Albania,223,,11,,44,168,7,77,4,Mar 07
Vietnam,204,,,,55,149,3,2,,Jan 22
Oman,179,,,,29,150,3,35,,Feb 23
Afghanistan,170,,4,,2,164,,4,0.1,Feb 23
Cuba,170,,4,,4,162,2,15,0.4,Mar 10
Ivory Coast,168,,1,,6,161,,6,0.04,Mar 10
Faeroe Islands,168,,,,70,98,1,3438,,Mar 03
Senegal,162,,,,27,135,,10,,Mar 01
Malta,156,,,,2,154,4,353,,Mar 06
Ghana,152,,5,,2,145,1,5,0.2,Mar 11
Belarus,152,,,,32,120,2,16,,Feb 27
Uzbekistan,150,1,2,,7,141,8,4,0.06,Mar 14
Honduras,141,2,7,,3,131,4,14,0.7,Mar 10
Channel Islands,141,,2,,,139,,811,12,Mar 08
Cameroon,139,,6,,5,128,,5,0.2,Mar 05
Venezuela,135,,3,,39,93,6,5,0.1,Mar 12
Nigeria,131,,2,,8,121,,0.6,0.01,Feb 27
Mauritius,128,,3,,,125,1,101,2,Mar 17
Brunei,127,,1,,38,88,3,290,2,Mar 08
Sri Lanka,122,,2,,15,105,5,6,0.09,Jan 26
Palestine,117,,1,,18,98,,23,0.2,Mar 04
Bolivia,107,10,6,2,,101,3,9,0.5,Mar 09
Cambodia,107,,,,21,86,1,6,,Jan 26
Guadeloupe,106,,4,,17,85,10,265,10,Mar 12
Georgia,103,,,,20,83,6,26,,Feb 25
Kyrgyzstan,94,,,,3,91,,14,,Mar 17
Martinique,93,,1,,,92,12,248,3,Mar 04
Montenegro,91,,1,,,90,1,145,2,Mar 16
Trinidad and Tobago,85,2,3,,1,81,,61,2,Mar 11
Mayotte,82,,,,10,72,3,301,,Mar 13
DRC,81,,8,,2,71,,0.9,0.09,Mar 09
Rwanda,70,,,,,70,,5,,Mar 13
Gibraltar,69,,,,34,35,,2048,,Mar 02
Paraguay,65,1,3,,1,61,3,9,0.4,Mar 06
Liechtenstein,64,2,,,,64,,1679,,Mar 02
Kenya,50,,1,,1,48,2,0.9,0.02,Mar 12
Aruba,50,,,,1,49,,468,,Mar 12
Bangladesh,49,,5,,19,25,1,0.3,0.03,Mar 07
Monaco,49,,1,,1,47,,1249,25,Feb 27
Isle of Man,49,,,,,49,,576,,Mar 18
French Guiana,43,,,,6,37,,144,,Mar 06
Madagascar,43,,,,,43,,2,,Mar 19
Macao,38,,,,10,28,,59,,Jan 21
Guatemala,36,,1,,10,25,1,2,0.06,Mar 12
Jamaica,36,,1,,2,33,,12,0.3,Mar 09
French Polynesia,36,,,,,36,2,128,,Mar 10
Zambia,35,,,,,35,,2,,Mar 17
Barbados,34,1,,,,34,,118,,Mar 16
Uganda,33,,,,,33,,0.7,,Mar 20
El Salvador,32,2,,,,32,5,5,,Mar 18
Togo,30,,1,,1,28,,4,0.1,Mar 05
Niger,27,,3,,,24,,1,0.1,Mar 18
Bermuda,27,,,,2,25,,434,,Mar 17
Mali,25,,2,,,23,,1,0.10,Mar 24
Ethiopia,23,,,,4,19,1,0.2,,Mar 12
Guinea,22,,,,,22,,2,,Mar 12
Congo,19,,,,,19,,3,,Mar 14
