Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop
Nigeria,2,,,,1,1,,
Aruba,2,,,,,2,,
Curaao,2,,,,,2,,
DRC,2,,,,,2,,
Namibia,2,,,,,2,,0.8
Saint Lucia,2,1,,,,2,,
Saint Martin,2,,,,,2,,
Trinidad and Tobago,2,,,,,2,,1.4
Guatemala,1,,1,1,,0,,0.1
Sudan,1,,1,,,0,,
Nepal,1,,,,1,0,,
Antigua and Barbuda,1,,,,,1,,
Bahamas,1,1,,,,1,,
Bhutan,1,,,,,1,,
Cayman Islands,1,,,,,1,,
CAR,1,1,,,,1,,0.2
Congo,1,1,,,,1,,0.2
Equatorial Guinea,1,,,,,1,,0.7
Gabon,1,,,,,1,,0.4
Gibraltar,1,,,,1,0,,
Guinea,1,,,,,1,,0.1
Vatican City,1,,,,,1,,
Mauritania,1,,,,,1,,0.2
Mayotte,1,,,,,1,,
Mongolia,1,,,,,1,,0.3
St. Barth,1,,,,,1,,
St. Vincent Grenadines,1,,,,,1,,
Suriname,1,,,,,1,,
Eswatini,1,,,,,1,,0.9
Togo,1,,,,,1,,0.1
U.S. Virgin Islands,1,,,,,1,,
