Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,TotDeaths/1M pop
China,81285,67,3287,6,74051,3947,1235,56,2
Italy,74386,,7503,,9362,57521,3489,1230,124
USA,68581,370,1036,9,428,67117,1455,207,3
Spain,56188,6673,4089,442,7015,45084,3166,1202,87
Germany,39457,2134,222,16,3547,35688,23,471,3
Iran,29406,2389,2234,157,10457,16715,,350,27
France,25233,,1331,,3900,20002,2827,387,20
Switzerland,11125,228,165,12,131,10829,141,1285,19
UK,9529,,465,,135,8929,163,140,7
S. Korea,9241,104,131,5,4144,4966,59,180,3
Netherlands,6412,,356,,3,6053,582,374,21
Belgium,6235,1298,220,42,675,5340,605,538,19
Austria,6001,413,42,11,9,5950,28,666,5
Canada,3409,,36,,185,3188,1,90,1.0
Norway,3191,107,14,,6,3171,57,589,3
Portugal,2995,,43,,22,2930,61,294,4
Australia,2799,123,13,2,170,2616,11,110,0.5
Brazil,2554,,59,,6,2489,18,12,0.3
Sweden,2526,,62,,16,2448,158,250,6
Israel,2495,126,5,,66,2424,41,288,0.6
Turkey,2433,,59,,26,2348,136,29,0.7
Malaysia,2031,235,23,3,199,1809,45,63,0.7
Denmark,1851,127,34,,1,1816,87,320,6
Czechia,1775,121,6,,10,1759,34,166,0.6
Ireland,1564,,9,,5,1550,39,317,2
Luxembourg,1333,,8,,6,1319,3,2129,13
Japan,1307,,45,,310,952,57,10,0.4
Ecuador,1211,,29,,3,1179,2,69,2
Chile,1142,,3,,22,1117,7,60,0.2
Pakistan,1106,43,8,,21,1077,5,5,0.04
Poland,1085,34,14,,7,1064,3,29,0.4
Thailand,1045,111,4,,88,953,4,15,0.06
Finland,915,35,4,1,10,901,22,165,0.7
Romania,906,,17,,86,803,18,47,0.9
Saudi Arabia,900,,2,,29,869,,26,0.06
Indonesia,893,103,78,20,35,780,,3,0.3
Russia,840,182,3,,38,799,8,6,0.02
Greece,821,,23,1,36,762,53,79,2
Iceland,737,,2,,56,679,11,2160,6
Diamond Princess,712,,10,,597,105,15,,
South Africa,709,,,,12,697,2,12,
Philippines,707,71,45,7,28,634,1,6,0.4
India,694,37,14,2,45,635,,0.5,0.01
Singapore,631,,2,,160,469,17,108,0.3
Panama,558,,8,,2,548,20,129,2
Estonia,538,134,1,,8,529,6,406,0.8
Qatar,537,,,,41,496,6,186,
Slovenia,528,,5,,10,513,14,254,2
Argentina,502,,8,,52,442,,11,0.2
Croatia,481,39,1,,22,458,14,117,0.2
Peru,480,,9,,1,470,9,15,0.3
Mexico,475,70,6,1,4,465,1,4,0.05
Colombia,470,,4,,8,458,,9,0.08
Egypt,456,,21,,95,340,,4,0.2
Hong Kong,453,42,4,,110,339,4,60,0.5
Bahrain,419,,4,,190,225,2,246,2
Dominican Republic,392,,10,,3,379,,36,0.9
Serbia,384,,6,2,15,363,21,44,0.7
Iraq,346,,29,,103,214,,9,0.7
Lebanon,333,,6,,20,307,4,49,0.9
UAE,333,,2,,52,279,2,34,0.2
Algeria,302,,21,,65,216,,7,0.5
Lithuania,290,16,4,,1,285,1,107,1
Armenia,290,25,,,18,272,6,98,
New Zealand,283,,,,27,256,,59,
Hungary,261,35,10,,28,223,6,27,1
Taiwan,252,17,2,,29,221,,11,0.08
Latvia,244,23,,,1,243,,129,
Bulgaria,243,1,3,,4,236,8,35,0.4
Slovakia,226,10,,,7,219,2,41,
Morocco,225,,6,,7,212,1,6,0.2
Uruguay,217,,,,,217,3,62,
San Marino,208,,21,,4,183,12,6130,619
Kuwait,208,13,,,49,159,7,49,
Costa Rica,201,,2,,2,197,4,39,0.4
Andorra,188,,1,,1,186,6,2433,13
Bosnia and Herzegovina,185,9,3,,2,180,1,56,0.9
North Macedonia,177,,3,,1,173,1,85,1
Albania,174,28,6,1,17,151,3,60,2
Tunisia,173,,6,1,2,165,11,15,0.5
Jordan,172,,,,1,171,,17,
Ukraine,156,11,5,,1,150,,4,0.1
Moldova,149,,1,,2,146,28,37,0.2
Vietnam,148,,,,17,131,3,2,
Burkina Faso,146,,4,,10,132,,7,0.2
Faeroe Islands,140,8,,,47,93,,2865,
Cyprus,132,,3,,4,125,3,109,2
Malta,129,,,,2,127,1,292,
Runion,115,4,,,1,114,,128,
Brunei,114,5,,,5,109,1,261,
Kazakhstan,109,28,,,2,107,,6,
Oman,109,10,,,23,86,,21,
Venezuela,106,,,,15,91,2,4,
Senegal,105,6,,,9,96,,6,
Sri Lanka,102,,,,7,95,3,5,
Cambodia,96,,,,10,86,1,6,
Azerbaijan,93,,2,,10,81,6,9,0.2
Belarus,86,,,,29,57,2,9,
Afghanistan,84,,2,,2,80,,2,0.05
Palestine,84,13,1,,17,66,,16,0.2
Ivory Coast,80,,,,3,77,,3,
Georgia,77,2,,,10,67,1,19,
Cameroon,75,,1,,2,72,,3,0.04
Guadeloupe,73,,1,,,72,4,182,2
Ghana,68,,4,,1,63,,2,0.1
Montenegro,67,14,1,,,66,1,107,2
Martinique,66,,1,,,65,7,176,3
Uzbekistan,65,5,,,,65,4,2,
Trinidad and Tobago,60,,1,,,59,,43,0.7
Cuba,57,,1,,1,55,2,5,0.09
Mauritius,52,4,2,,,50,1,41,2
Honduras,52,,,,,52,,5,
DRC,51,3,3,1,,48,,0.6,0.03
Nigeria,51,,1,,2,48,,0.2,0.00
Liechtenstein,51,,,,,51,,1338,
Channel Islands,46,,1,1,,45,,265,6
Bangladesh,44,5,5,,11,28,1,0.3,0.03
Kyrgyzstan,44,,,,,44,,7,
Paraguay,41,4,3,,,38,1,6,0.4
Rwanda,41,,,,,41,,3,
Bolivia,38,6,,,,38,,3,
Mayotte,36,,,,,36,,132,
Macao,31,,,,10,21,,48,
Monaco,31,,,,1,30,,790,
French Guiana,28,,,,6,22,,94,
Kenya,28,,,,1,27,,0.5,
Jamaica,26,,1,,2,23,,9,0.3
Gibraltar,26,,,,5,21,,772,
French Polynesia,25,,,,,25,,89,
Isle of Man,25,2,,,,25,,294,
Guatemala,24,,1,,4,19,,1,0.06
Togo,23,,,,1,22,,3,
Aruba,19,,,,1,18,,178,
Madagascar,19,,,,,19,,0.7,
Barbados,18,,,,,18,,63,
New Caledonia,14,,,,,14,,49,
Uganda,14,,,,,14,,0.3,
El Salvador,13,4,,,,13,,2,
Maldives,13,,,,8,5,,24,
Tanzania,13,,,,,13,,0.2,
Ethiopia,12,,,,,12,,0.1,
Zambia,12,,,,,12,,0.7,
Djibouti,11,,,,,11,,11,
Dominica,11,,,,,11,,153,
Mongolia,11,1,,,,11,,3,
Saint Martin,11,,,,,11,,284,
Equatorial Guinea,9,,,,,9,,6,
Cayman Islands,8,,1,,,7,,122,15
Haiti,8,,,,,8,,0.7,
Suriname,8,,,,,8,,14,
Gabon,7,1,1,,,6,,3,0.4
Niger,7,,1,,,6,,0.3,0.04
Bermuda,7,,,,2,5,,112,
Namibia,7,,,,2,5,,3,
Seychelles,7,,,,,7,,71,
Curaao,6,,1,,2,3,,37,6
Benin,6,,,,,6,,0.5,
Greenland,6,,,,2,4,,106,
Laos,6,3,,,,6,,0.8,
Guyana,5,,1,,,4,,6,1
Bahamas,5,,,,1,4,,13,
Fiji,5,,,,,5,,6,
Mozambique,5,,,,,5,,0.2,
Syria,5,,,,,5,,0.3,
Cabo Verde,4,,1,,,3,,7,2
Congo,4,,,,,4,,0.7,
Eritrea,4,,,,,4,,1,
Guinea,4,,,,,4,,0.3,
Vatican City,4,,,,,4,,4994,
Eswatini,4,,,,,4,,3,
Gambia,3,,1,,,2,,1,0.4
Sudan,3,,1,,,2,,0.07,0.02
Zimbabwe,3,,1,,,2,,0.2,0.07
Nepal,3,,,,1,2,,0.1,
Angola,3,,,,,3,,0.09,
Antigua and Barbuda,3,,,,,3,,31,
CAR,3,,,,,3,,0.6,
Chad,3,,,,,3,,0.2,
Liberia,3,,,,,3,,0.6,
Mauritania,3,1,,,,3,,0.6,
Myanmar,3,,,,,3,,0.06,
St. Barth,3,,,,,3,,304,
Saint Lucia,3,,,,,3,,16,
Sint Maarten,3,,,,,3,,70,
Belize,2,,,,,2,,5,
Bhutan,2,,,,,2,,3,
British Virgin Islands,2,,,,,2,,66,
Guinea-Bissau,2,,,,,2,,1,
Mali,2,,,,,2,,0.10,
Nicaragua,2,,,,,2,,0.3,
Saint Kitts and Nevis,2,,,,,2,,38,
Somalia,2,1,,,,2,,0.1,
Grenada,1,,,,,1,,9,
Libya,1,,,,,1,,0.1,
Montserrat,1,,,,,1,,200,
Papua New Guinea,1,,,,,1,,0.1,
St. Vincent Grenadines,1,,,,,1,,9,
Timor-Leste,1,,,,,1,,0.8,
Turks and Caicos,1,,,,,1,,26,
